proposal_uid,source_type,source_group,title,global_nn_index,global_nn_proposal_uid,global_nn_source_type,global_nn_source_group,global_nn_distance,global_mean_5nn_distance,global_nn_same_source_type,global_nn_same_source_group,is_global_nn_outlier_top10,is_global_mean5nn_outlier_top10
persona::gemini-3.1-pro-preview::08,ai,Gemini,AI-Driven Synthesis of Mesoscale Chromatin and Protein Networks to Decode Emergent Cellular Plasticity and Immune Evasion,16,y2::3,human,Human,0.09730756282806396,0.1315488338470459,False,False,False,False
persona::gemini-3.1-pro-preview::09,ai,Gemini,Uncovering Emergent Rules of Mesoscale Organelle Remodeling by Integrating Volumetric Imaging Atlases and Stochastic Biophysical Models via Optimal Transport,54,persona::gpt-5.5::09,ai,GPT,0.02843332290649414,0.03233958482742309,True,False,False,False
persona::gemini-3.1-pro-preview::10,ai,Gemini,Decoding the Emergence of Mesoscale Regulatory Networks Driven by Transposable Elements through Cross-Species Epigenomic Data Synthesis,85,persona::gemini-3.1-pro-preview::17,ai,Gemini,0.03593039512634277,0.03987140655517578,True,True,False,False
persona::gemini-3.1-pro-preview::11,ai,Gemini,Mapping Emergent Mesoscale Architectures by Synthesizing the Global Crosslinking Mass Spectrometry and Genetic Interactome Archives,56,persona::gpt-5.5::11,ai,GPT,0.025117039680480957,0.030764281749725342,True,False,False,False
persona::gemini-3.1-pro-preview::12,ai,Gemini,Uncovering Mesoscale Emergence in Microbial Dark Matter through AI-Driven Synthesis of Metagenomic and Mass Spectrometry Data,34,persona::claude-sonnet-5::12,ai,Claude,0.0271415114402771,0.03324846029281616,True,False,False,False
persona::gemini-3.1-pro-preview::13,ai,Gemini,Evolutionary Origins of Mesoscale Signaling: An AI-Driven Synthesis of Exascale Dynamics and Ancestral Allosteric Networks,63,persona::gpt-5.5::18,ai,GPT,0.14388704299926758,0.1669468879699707,True,False,True,True
persona::gemini-3.1-pro-preview::14,ai,Gemini,Emergent Topologies at the Mesoscale: Synthesizing Protein Entanglement and 3D Genome Architecture through AI and Polymer Physics,59,persona::gpt-5.5::14,ai,GPT,0.025268852710723877,0.029170191287994383,True,False,False,False
persona::gemini-3.1-pro-preview::15,ai,Gemini,Deciphering the Mesoscale Emergence of Skeletal Muscle Adaptation: A GPU-Accelerated Multi-Omic and Mathematical Synthesis of Ribosome Dynamics under Competing Stresses,37,persona::claude-sonnet-5::15,ai,Claude,0.03390371799468994,0.038873279094696046,True,False,False,False
persona::gemini-3.1-pro-preview::16,ai,Gemini,Deciphering the Grammar of Emergence: Predicting Mesoscale Condensate Properties from Evolutionary Constraints and Polymer Physics in Intrinsically Disordered Regions,61,persona::gpt-5.5::16,ai,GPT,0.024283289909362793,0.026748597621917725,True,False,False,False
persona::gemini-3.1-pro-preview::17,ai,Gemini,Evolutionary Synthesis of Multi-Omics Data to Uncover Mesoscale Emergence in Mammalian Metabolic Suppression,62,persona::gpt-5.5::17,ai,GPT,0.034269094467163086,0.03827383518218994,True,False,False,False
persona::gemini-3.1-pro-preview::18,ai,Gemini,Synthesizing Evolutionary and Biophysical Landscapes to Predict the Emergence of Mesoscale Biomolecular Condensates,38,persona::claude-sonnet-5::16,ai,Claude,0.027242422103881836,0.029039227962493898,True,False,False,False
persona::gemini-3.1-pro-preview::19,ai,Gemini,Emergent Metabolic Landscapes: Synthesizing Deep Learning and Genome-Scale Modeling to Decode the Evolutionary Rewiring of Cellular Metabolism,41,persona::claude-sonnet-5::19,ai,Claude,0.029549837112426758,0.03370224237442017,True,False,False,False
persona::gemini-3.1-pro-preview::20,ai,Gemini,Mapping the Emergent Collapse of Mesoscale Proteostasis Networks in Aging and Stress,7,y1::5,human,Human,0.13949233293533325,0.1597127914428711,False,False,False,False
persona::gemini-3.1-pro-preview::21,ai,Gemini,A Bayesian Synthesis Framework for Predicting the Emergence of Mesoscale Ribonucleoprotein Compartmentalization from Public Spatial Transcriptomic and Single-Molecule Datasets,66,persona::gpt-5.5::21,ai,GPT,0.028320670127868652,0.029967677593231202,True,False,False,False
persona::gemini-3.1-pro-preview::22,ai,Gemini,Synthesizing Multi-Omic and Structural Data to Decode the Emergent Mesoscale Organization of Epigenetic and Epitranscriptomic Networks,70,persona::gemini-3.1-pro-preview::02,ai,Gemini,0.02689826488494873,0.028187096118927002,True,True,False,False
persona::gemini-3.1-pro-preview::23,ai,Gemini,"Synthesizing the Global Repertoire of Microbial Mesoscale Compartments: Emergence, Pathogenesis, and Bioengineering Potential from Public Omics Data",64,persona::gpt-5.5::19,ai,GPT,0.034751176834106445,0.03573011159896851,True,False,False,False
