title,group_binary,ward_cluster,ward_cluster_name,ward_cluster_display_label,proposal_bertopic_topic,proposal_bertopic_display_label
Decoding the Emergent Membrane Scission Dynamics of the ESCRT Machinery,AI,1,Cluster_B,"data understand, decoding emergent, integrating structural, multi scale",0,"data understand, decoding emergent, integrating structural, multi scale"
Synthesizing the Emergent Architecture of the Cellular Glycocalyx Meshwork,AI,1,Cluster_B,"data understand, decoding emergent, integrating structural, multi scale",0,"data understand, decoding emergent, integrating structural, multi scale"
Emergent Contractility from Myosin II Thick Filament Assembly in Non-Muscle Cells,AI,1,Cluster_B,"data understand, decoding emergent, integrating structural, multi scale",0,"data understand, decoding emergent, integrating structural, multi scale"
Decoding the Emergent Dynamics of Proteasome Clustering and Localized Degradation,AI,1,Cluster_B,"data understand, decoding emergent, integrating structural, multi scale",0,"data understand, decoding emergent, integrating structural, multi scale"
Synthesizing the Emergent Meshwork of the Nuclear Lamina and Genome Tethering,AI,1,Cluster_B,"data understand, decoding emergent, integrating structural, multi scale",0,"data understand, decoding emergent, integrating structural, multi scale"
Decoding the Emergent Logic of Phase-Separated Condensates: A Multi-Scale Data Synthesis of Biomolecular Organization Principles,AI,1,Cluster_B,"data understand, decoding emergent, integrating structural, multi scale",0,"data understand, decoding emergent, integrating structural, multi scale"
"Temporal Emergence in Protein Interaction Networks: Synthesizing Dynamic Interactomics Across Cell Cycle, Circadian, and Stress Response Programs",AI,0,Cluster_A,"mass spectrometry, 3d genome function, adaptation mitochondrial reticular, analysis bacterial organelles",1,"mass spectrometry, 3d genome function, adaptation mitochondrial reticular, analysis bacterial organelles"
"The Mesoscale Architecture of Mitochondrial Contact Sites: Integrating Structural, Proteomic, and Functional Data to Understand Emergent Organelle Communication",AI,1,Cluster_B,"data understand, decoding emergent, integrating structural, multi scale",0,"data understand, decoding emergent, integrating structural, multi scale"
"Emergent Properties of the Cellular Crowding Landscape: Synthesizing Biophysical, Structural, and Systems Data to Understand Macromolecular Organization",AI,1,Cluster_B,"data understand, decoding emergent, integrating structural, multi scale",0,"data understand, decoding emergent, integrating structural, multi scale"
"Deciphering the Emergence of Cellular Polarity: Multi-Scale Data Synthesis Across Molecular, Mesoscale, and Cellular Organization",AI,1,Cluster_B,"data understand, decoding emergent, integrating structural, multi scale",0,"data understand, decoding emergent, integrating structural, multi scale"
"The Grammar of Intrinsically Disordered Regions: Synthesizing Sequence, Structure, and Function Data to Predict Emergent Behaviors",AI,1,Cluster_B,"data understand, decoding emergent, integrating structural, multi scale",0,"data understand, decoding emergent, integrating structural, multi scale"
"Emergent Organization of the Cytoskeletal Interactome: Integrating Structural, Dynamic, and Functional Data Across Actin, Microtubule, and Intermediate Filament Networks",AI,1,Cluster_B,"data understand, decoding emergent, integrating structural, multi scale",0,"data understand, decoding emergent, integrating structural, multi scale"
Synthesizing the Spatiotemporal Logic of Post-Translational Modification Crosstalk: From Molecular Signals to Emergent Cellular Decisions,AI,0,Cluster_A,"mass spectrometry, 3d genome function, adaptation mitochondrial reticular, analysis bacterial organelles",1,"mass spectrometry, 3d genome function, adaptation mitochondrial reticular, analysis bacterial organelles"
"The Emergent Architecture of Stress Granules: Multi-Modal Data Synthesis to Understand Assembly, Composition, and Function",AI,1,Cluster_B,"data understand, decoding emergent, integrating structural, multi scale",0,"data understand, decoding emergent, integrating structural, multi scale"
"Decoding Emergent Metabolic Channeling: Synthesizing Structural, Interaction, and Flux Data to Understand Metabolon Organization",AI,1,Cluster_B,"data understand, decoding emergent, integrating structural, multi scale",0,"data understand, decoding emergent, integrating structural, multi scale"
"The Emergence of Ribosome Heterogeneity: Synthesizing Structural, Compositional, and Translational Data to Understand Specialized Ribosomes",AI,1,Cluster_B,"data understand, decoding emergent, integrating structural, multi scale",0,"data understand, decoding emergent, integrating structural, multi scale"
"Emergent Properties of the Nuclear Pore Complex: Integrating Structural, Transport, and Regulatory Data Across Scales",AI,1,Cluster_B,"data understand, decoding emergent, integrating structural, multi scale",0,"data understand, decoding emergent, integrating structural, multi scale"
"The Emergence of Cellular Memory: Synthesizing Epigenetic, Transcriptional, and Chromatin Data to Understand Heritable Cell States",AI,1,Cluster_B,"data understand, decoding emergent, integrating structural, multi scale",0,"data understand, decoding emergent, integrating structural, multi scale"
"Decoding the Emergent Logic of Protein Quality Control Networks: Multi-Scale Synthesis of Chaperone, Degradation, and Aggregation Data",AI,1,Cluster_B,"data understand, decoding emergent, integrating structural, multi scale",0,"data understand, decoding emergent, integrating structural, multi scale"
"The Emergence of Signaling Specificity: Synthesizing Interaction, Localization, and Kinetic Data to Understand Pathway Insulation",AI,1,Cluster_B,"data understand, decoding emergent, integrating structural, multi scale",0,"data understand, decoding emergent, integrating structural, multi scale"
"Emergent Properties of the Centrosome: Integrating Structural, Compositional, and Functional Data to Understand Microtubule Organizing Center Function",AI,1,Cluster_B,"data understand, decoding emergent, integrating structural, multi scale",0,"data understand, decoding emergent, integrating structural, multi scale"
"The Emergence of Autophagosome Selectivity: Synthesizing Receptor, Cargo, and Membrane Data to Understand Selective Autophagy",AI,1,Cluster_B,"data understand, decoding emergent, integrating structural, multi scale",0,"data understand, decoding emergent, integrating structural, multi scale"
"Decoding Emergent mRNA Fate Decisions: Synthesizing RNA-Protein Interaction, Localization, and Decay Data",AI,1,Cluster_B,"data understand, decoding emergent, integrating structural, multi scale",0,"data understand, decoding emergent, integrating structural, multi scale"
"The Emergence of Synaptic Organization: Integrating Proteomic, Structural, and Functional Data Across Synaptic Compartments",AI,1,Cluster_B,"data understand, decoding emergent, integrating structural, multi scale",0,"data understand, decoding emergent, integrating structural, multi scale"
"Emergent Properties of the Glycocalyx: Synthesizing Glycomic, Proteomic, and Functional Data to Understand Cell Surface Organization",AI,1,Cluster_B,"data understand, decoding emergent, integrating structural, multi scale",0,"data understand, decoding emergent, integrating structural, multi scale"
"The Emergence of Enhancer-Promoter Specificity: Synthesizing Chromatin, Transcription, and 3D Genome Data",AI,1,Cluster_B,"data understand, decoding emergent, integrating structural, multi scale",0,"data understand, decoding emergent, integrating structural, multi scale"
"Decoding the Emergent Organization of the Endoplasmic Reticulum: Multi-Scale Synthesis of Structure, Function, and Dynamics",AI,1,Cluster_B,"data understand, decoding emergent, integrating structural, multi scale",0,"data understand, decoding emergent, integrating structural, multi scale"
"The Emergence of Cellular Mechanoresponses: Synthesizing Force, Structural, and Signaling Data Across Mechanotransduction Pathways",AI,1,Cluster_B,"data understand, decoding emergent, integrating structural, multi scale",0,"data understand, decoding emergent, integrating structural, multi scale"
