title,group_model,group_binary,is_ai,source_file,proposal_uid,title_norm,ranking,ranking_AI_reviews,funding,viz_rank,viz_marker_size,is_top5_ranked,human_color_shade
Intelligent metadata compilation to enhance the reusability and discoverability of mass spectrometry-based proteomics data,Human,Human,False,human_proposals_rephrased_y1_20260415_150558.json,P_011,intelligent metadata compilation to enhance the reusability and discoverability of mass spectrometrybased proteomics data,,5.0,,,145.0,False,#F08080
Emergent Order Parameters of Allostery: An AI Framework for Predicting and Engineering Protein Regulation,Human,Human,False,human_proposals_rephrased_y2_20260415_150558.json,P_012,emergent order parameters of allostery an ai framework for predicting and engineering protein regulation,7.0,10.0,1.0,7.0,145.0,False,#8B0000
From Protein Knots to Pierced Lassos: Unraveling the Evolutionary Origin of Complex Topologies,Human,Human,False,human_proposals_rephrased_y2_20260415_150558.json,P_013,from protein knots to pierced lassos unraveling the evolutionary origin of complex topologies,6.0,9.0,1.0,6.0,145.0,False,#8B0000
Deciphering systemic biological networks through AI-driven multi-omic integration,Human,Human,False,human_proposals_rephrased_y2_20260415_150558.json,P_014,deciphering systemic biological networks through aidriven multiomic integration,11.0,11.0,0.0,11.0,145.0,False,#F08080
Conserved Disorder: Learning Sequence Conservation from Functional Constraints in Intrinsically Disordered Regions,Human,Human,False,human_proposals_rephrased_y2_20260415_150558.json,P_015,conserved disorder learning sequence conservation from functional constraints in intrinsically disordered regions,4.0,4.0,1.0,4.0,145.0,False,#8B0000
Integrative Multi-Omics Synthesis to Identify Shared Molecular Mechanisms of Mammalian Hibernation,Human,Human,False,human_proposals_rephrased_y2_20260415_150558.json,P_016,integrative multiomics synthesis to identify shared molecular mechanisms of mammalian hibernation,9.0,7.5,0.0,9.0,145.0,False,#F08080
Revealing the Ontology of Allostery through Community-Scale Synthesis,Human,Human,False,human_proposals_rephrased_y2_20260415_150558.json,P_017,revealing the ontology of allostery through communityscale synthesis,3.0,6.0,0.0,3.0,145.0,False,#F08080
SynEvo: Discovering Evolutionary Principles of Molecular Organization through Cross-Species Data Synthesis,Human,Human,False,human_proposals_rephrased_y2_20260415_150558.json,P_018,synevo discovering evolutionary principles of molecular organization through crossspecies data synthesis,5.0,1.0,0.0,5.0,145.0,False,#F08080
A Unified Framework for Analyses of Proteome Turnover Dynamics,Human,Human,False,human_proposals_rephrased_y2_20260415_150558.json,P_019,a unified framework for analyses of proteome turnover dynamics,2.0,2.0,1.0,2.0,145.0,True,#8B0000
Predictive Synthesis Framework for Elucidating Biophysical Cell State from Spatial Transcriptomics and Proteomics,Human,Human,False,human_proposals_rephrased_y2_20260415_150558.json,P_020,predictive synthesis framework for elucidating biophysical cell state from spatial transcriptomics and proteomics,1.0,3.0,1.0,1.0,145.0,True,#8B0000
Integrating AI and Molecular Dynamics Simulations for Quantitative Prediction of Enzyme Functions,Human,Human,False,human_proposals_rephrased_y2_20260415_150558.json,P_021,integrating ai and molecular dynamics simulations for quantitative prediction of enzyme functions,10.0,7.5,0.0,10.0,145.0,False,#F08080
Discovery and functional analysis of bacterial organelles through mining and refinement of omics data,Human,Human,False,human_proposals_rephrased_y2_20260415_150558.json,P_022,discovery and functional analysis of bacterial organelles through mining and refinement of omics data,8.0,5.0,0.0,8.0,145.0,False,#F08080
A Cross-Modal Synthesis of Biomolecular Condensate Material Properties and Cellular Function Across Species and Perturbations,gpt-5.2,AI,True,,P_023,a crossmodal synthesis of biomolecular condensate material properties and cellular function across species and perturbations,1.0,1.0,,1.0,145.0,True,#F08080
"Emergent Principles of Organelle Contact Sites: A Synthesis of Proteomics, Imaging, and Genetic Interaction Data",gpt-5.2,AI,True,,P_024,emergent principles of organelle contact sites a synthesis of proteomics imaging and genetic interaction data,10.0,10.0,,10.0,145.0,True,#F08080
"A Pan-Cell Atlas of Cytoskeletal Self-Organization: Integrating Live-Cell Imaging, Proteomics, and Biophysical Models",gpt-5.2,AI,True,,P_025,a pancell atlas of cytoskeletal selforganization integrating livecell imaging proteomics and biophysical models,17.0,17.0,,17.0,145.0,False,#F08080
"Emergent Chromatin Domains at the Mesoscale: Synthesizing Hi-C, Imaging, and Epigenomic Data to Explain 3D Genome Function",gpt-5.2,AI,True,,P_026,emergent chromatin domains at the mesoscale synthesizing hic imaging and epigenomic data to explain 3d genome function,10.0,10.0,,10.0,145.0,True,#F08080
"A Unified Synthesis of Protein Complex Stoichiometry and Assembly Pathways from Structural, Proteomic, and Ribosome Profiling Data",gpt-5.2,AI,True,,P_027,a unified synthesis of protein complex stoichiometry and assembly pathways from structural proteomic and ribosome profiling data,22.0,22.0,,22.0,145.0,False,#F08080
"Mesoscale Metabolic Channeling: Synthesizing Spatial Proteomics, Metabolomics, and Enzyme Complex Data to Map Functional Microdomains",gpt-5.2,AI,True,,P_028,mesoscale metabolic channeling synthesizing spatial proteomics metabolomics and enzyme complex data to map functional microdomains,19.5,19.5,,19.5,145.0,False,#F08080
Emergent Robustness in Gene Regulatory Networks: A Synthesis of Single-Cell Perturbation Atlases Across Cell Types,gpt-5.2,AI,True,,P_029,emergent robustness in gene regulatory networks a synthesis of singlecell perturbation atlases across cell types,19.5,19.5,,19.5,145.0,False,#F08080
"A Community Synthesis of Mesoscale Protein Quality Control: Integrating Proteostasis Networks, Aggregation Data, and Stress Responses",gpt-5.2,AI,True,,P_030,a community synthesis of mesoscale protein quality control integrating proteostasis networks aggregation data and stress responses,10.0,10.0,,10.0,145.0,False,#F08080
"Emergent Cell Polarity from Molecular Interactions: Synthesizing Spatial Transcriptomics, Proteomics, and Imaging Across Epithelia",gpt-5.2,AI,True,,P_031,emergent cell polarity from molecular interactions synthesizing spatial transcriptomics proteomics and imaging across epithelia,10.0,10.0,,10.0,145.0,False,#F08080
"A Synthesis of Mitochondrial Network Emergence: Linking Morphodynamics, Proteostasis, and Bioenergetics Across Cell Types",gpt-5.2,AI,True,,P_032,a synthesis of mitochondrial network emergence linking morphodynamics proteostasis and bioenergetics across cell types,10.0,10.0,,10.0,145.0,False,#F08080
"Emergent Signaling Specificity: Integrating Single-Cell Phospho-Proteomics, Kinase Networks, and Imaging to Decode Pathway Crosstalk",gpt-5.2,AI,True,,P_033,emergent signaling specificity integrating singlecell phosphoproteomics kinase networks and imaging to decode pathway crosstalk,10.0,10.0,,10.0,145.0,False,#F08080
A Comparative Synthesis of Ribosome Heterogeneity and Specialized Translation Across Tissues and Stress Conditions,gpt-5.2,AI,True,,P_034,a comparative synthesis of ribosome heterogeneity and specialized translation across tissues and stress conditions,10.0,10.0,,10.0,145.0,False,#F08080
"Emergent Properties of Membrane Microdomains: Integrating Lipidomics, Proteomics, and Super-Resolution Imaging of Raft-Like Assemblies",gpt-5.2,AI,True,,P_035,emergent properties of membrane microdomains integrating lipidomics proteomics and superresolution imaging of raftlike assemblies,2.0,2.0,,2.0,145.0,True,#F08080
A Multi-Scale Synthesis of Endocytic Trafficking Emergence: From Coat Assembly to Organelle Identity,gpt-5.2,AI,True,,P_036,a multiscale synthesis of endocytic trafficking emergence from coat assembly to organelle identity,10.0,10.0,,10.0,145.0,False,#F08080
"Emergent Control of Cell Cycle Transitions: Integrating Single-Cell Time Series, Proteomics, and Perturbation Screens",gpt-5.2,AI,True,,P_037,emergent control of cell cycle transitions integrating singlecell time series proteomics and perturbation screens,19.5,19.5,,19.5,145.0,False,#F08080
"A Synthesis of Nuclear Body Emergence: Integrating Proteomics, RNA Localization, and Imaging of Speckles, Nucleoli, and PML Bodies",gpt-5.2,AI,True,,P_038,a synthesis of nuclear body emergence integrating proteomics rna localization and imaging of speckles nucleoli and pml bodies,10.0,10.0,,10.0,145.0,False,#F08080
"Emergent Antibiotic Tolerance Mechanisms: Synthesizing Bacterial Single-Cell Physiology, Transcriptomics, and Metabolic Models",gpt-5.2,AI,True,,P_039,emergent antibiotic tolerance mechanisms synthesizing bacterial singlecell physiology transcriptomics and metabolic models,23.0,23.0,,23.0,145.0,False,#F08080
"A Cross-Species Synthesis of Autophagosome Biogenesis: Integrating Proteomics, Lipid Signatures, and Imaging Dynamics",gpt-5.2,AI,True,,P_040,a crossspecies synthesis of autophagosome biogenesis integrating proteomics lipid signatures and imaging dynamics,10.0,10.0,,10.0,145.0,False,#F08080
"Emergent RNA Localization Codes: Synthesizing Subcellular Transcriptomics, RBP Binding Maps, and Imaging to Predict RNA Destinations",gpt-5.2,AI,True,,P_041,emergent rna localization codes synthesizing subcellular transcriptomics rbp binding maps and imaging to predict rna destinations,10.0,10.0,,10.0,145.0,False,#F08080
"A Community Meta-Analysis of Multivesicular Body and Exosome Biogenesis: Integrating ESCRT Networks, Proteomics, and Imaging",gpt-5.2,AI,True,,P_042,a community metaanalysis of multivesicular body and exosome biogenesis integrating escrt networks proteomics and imaging,10.0,10.0,,10.0,145.0,False,#F08080
"Emergent Mechanics of the Nucleus: Integrating Lamin Variants, Chromatin State, and Microscopy-Based Deformation Phenotypes",gpt-5.2,AI,True,,P_043,emergent mechanics of the nucleus integrating lamin variants chromatin state and microscopybased deformation phenotypes,19.5,19.5,,19.5,145.0,False,#F08080
"A Synthesis of Spatially Structured Immune Synapse Formation: Integrating Imaging, Proteomics, and Signaling Perturbation Data",gpt-5.2,AI,True,,P_044,a synthesis of spatially structured immune synapse formation integrating imaging proteomics and signaling perturbation data,10.0,10.0,,10.0,145.0,False,#F08080
"Emergent Principles of Protein Allostery at Scale: Integrating Structural Ensembles, Mutational Scans, and Functional Genomics",gpt-5.2,AI,True,,P_045,emergent principles of protein allostery at scale integrating structural ensembles mutational scans and functional genomics,3.0,3.0,,3.0,145.0,True,#F08080
Deciphering the Sequence-to-Emergent-Property Grammar of Biomolecular Condensates,gemini-3-pro-preview,AI,True,,P_046,deciphering the sequencetoemergentproperty grammar of biomolecular condensates,21.0,21.0,,21.0,145.0,False,#F08080
Emergence of Cellular Morphology from Cytoskeletal Crosstalk and Motor Protein Dynamics,gemini-3-pro-preview,AI,True,,P_047,emergence of cellular morphology from cytoskeletal crosstalk and motor protein dynamics,13.0,13.0,,13.0,145.0,False,#F08080
Synthesizing the Emergent Properties of Chromatin Topology and Epigenetic Memory,gemini-3-pro-preview,AI,True,,P_048,synthesizing the emergent properties of chromatin topology and epigenetic memory,23.0,23.0,,23.0,145.0,False,#F08080
Emergence of Metabolic Adaptation through Mitochondrial Reticular Network Dynamics,gemini-3-pro-preview,AI,True,,P_049,emergence of metabolic adaptation through mitochondrial reticular network dynamics,21.0,21.0,,21.0,145.0,False,#F08080
Decoding the Mesoscale Emergence of Lipid Raft Clustering and Transmembrane Signaling,gemini-3-pro-preview,AI,True,,P_050,decoding the mesoscale emergence of lipid raft clustering and transmembrane signaling,19.0,19.0,,19.0,145.0,False,#F08080
Uncovering the Rules of Nucleolar Assembly and Ribosome Biogenesis Emergence,gemini-3-pro-preview,AI,True,,P_051,uncovering the rules of nucleolar assembly and ribosome biogenesis emergence,6.0,6.0,,6.0,145.0,True,#F08080
Emergent Dynamics of Synaptic Vesicle Pools and Neurotransmitter Release Probability,gemini-3-pro-preview,AI,True,,P_052,emergent dynamics of synaptic vesicle pools and neurotransmitter release probability,13.0,13.0,,13.0,145.0,False,#F08080
Synthesizing the Mechanotransductive Emergence of Focal Adhesion Maturation,gemini-3-pro-preview,AI,True,,P_053,synthesizing the mechanotransductive emergence of focal adhesion maturation,6.0,6.0,,6.0,145.0,False,#F08080
Decoding the Emergence of Stress Granules and Cellular Resilience Networks,gemini-3-pro-preview,AI,True,,P_054,decoding the emergence of stress granules and cellular resilience networks,13.0,13.0,,13.0,145.0,False,#F08080
Emergent Transport Selectivity of the Nuclear Pore Complex Assembly,gemini-3-pro-preview,AI,True,,P_055,emergent transport selectivity of the nuclear pore complex assembly,2.5,2.5,,2.5,145.0,True,#F08080
Synthesizing the Emergence of Autophagosomes at ER-Mitochondria Contact Sites,gemini-3-pro-preview,AI,True,,P_056,synthesizing the emergence of autophagosomes at ermitochondria contact sites,13.0,13.0,,13.0,145.0,False,#F08080
Emergent Cargo Sorting Dynamics in Extracellular Vesicle Biogenesis,gemini-3-pro-preview,AI,True,,P_057,emergent cargo sorting dynamics in extracellular vesicle biogenesis,13.0,13.0,,13.0,145.0,False,#F08080
Decoding the Emergence of Viral Inclusion Bodies and Host Cell Hijacking,gemini-3-pro-preview,AI,True,,P_058,decoding the emergence of viral inclusion bodies and host cell hijacking,2.5,2.5,,2.5,145.0,True,#F08080
Synthesizing the Emergent Biophysics of Centrosome Maturation and Spindle Bipolarity,gemini-3-pro-preview,AI,True,,P_059,synthesizing the emergent biophysics of centrosome maturation and spindle bipolarity,13.0,13.0,,13.0,145.0,False,#F08080
Emergence of Secretory Flux from Golgi Cisternal Stacking Dynamics,gemini-3-pro-preview,AI,True,,P_060,emergence of secretory flux from golgi cisternal stacking dynamics,13.0,13.0,,13.0,145.0,False,#F08080
Decoding the Emergent Assembly of Plant Cell Wall Cellulose Synthase Rosettes,gemini-3-pro-preview,AI,True,,P_061,decoding the emergent assembly of plant cell wall cellulose synthase rosettes,21.0,21.0,,21.0,145.0,False,#F08080
Synthesizing the Emergent Assembly of Bacterial Microcompartments,gemini-3-pro-preview,AI,True,,P_062,synthesizing the emergent assembly of bacterial microcompartments,2.5,2.5,,2.5,145.0,True,#F08080
Emergence of Lipid Homeostasis through Peroxisome Biogenesis Networks,gemini-3-pro-preview,AI,True,,P_063,emergence of lipid homeostasis through peroxisome biogenesis networks,2.5,2.5,,2.5,145.0,True,#F08080
Decoding the Emergent Membrane Scission Dynamics of the ESCRT Machinery,gemini-3-pro-preview,AI,True,,P_064,decoding the emergent membrane scission dynamics of the escrt machinery,13.0,13.0,,13.0,145.0,False,#F08080
Synthesizing the Emergent Architecture of the Cellular Glycocalyx Meshwork,gemini-3-pro-preview,AI,True,,P_065,synthesizing the emergent architecture of the cellular glycocalyx meshwork,13.0,13.0,,13.0,145.0,False,#F08080
Emergent Contractility from Myosin II Thick Filament Assembly in Non-Muscle Cells,gemini-3-pro-preview,AI,True,,P_066,emergent contractility from myosin ii thick filament assembly in nonmuscle cells,13.0,13.0,,13.0,145.0,False,#F08080
Decoding the Emergent Dynamics of Proteasome Clustering and Localized Degradation,gemini-3-pro-preview,AI,True,,P_067,decoding the emergent dynamics of proteasome clustering and localized degradation,13.0,13.0,,13.0,145.0,False,#F08080
Synthesizing the Emergent Meshwork of the Nuclear Lamina and Genome Tethering,gemini-3-pro-preview,AI,True,,P_068,synthesizing the emergent meshwork of the nuclear lamina and genome tethering,6.0,6.0,,6.0,145.0,False,#F08080
Decoding the Emergent Logic of Phase-Separated Condensates: A Multi-Scale Data Synthesis of Biomolecular Organization Principles,claude-opus-4-5,AI,True,,P_069,decoding the emergent logic of phaseseparated condensates a multiscale data synthesis of biomolecular organization principles,2.5,2.5,,2.5,145.0,True,#F08080
"Temporal Emergence in Protein Interaction Networks: Synthesizing Dynamic Interactomics Across Cell Cycle, Circadian, and Stress Response Programs",claude-opus-4-5,AI,True,,P_070,temporal emergence in protein interaction networks synthesizing dynamic interactomics across cell cycle circadian and stress response programs,2.5,2.5,,2.5,145.0,True,#F08080
"The Mesoscale Architecture of Mitochondrial Contact Sites: Integrating Structural, Proteomic, and Functional Data to Understand Emergent Organelle Communication",claude-opus-4-5,AI,True,,P_071,the mesoscale architecture of mitochondrial contact sites integrating structural proteomic and functional data to understand emergent organelle communication,18.5,18.5,,18.5,145.0,False,#F08080
"Emergent Properties of the Cellular Crowding Landscape: Synthesizing Biophysical, Structural, and Systems Data to Understand Macromolecular Organization",claude-opus-4-5,AI,True,,P_072,emergent properties of the cellular crowding landscape synthesizing biophysical structural and systems data to understand macromolecular organization,11.0,11.0,,11.0,145.0,False,#F08080
"Deciphering the Emergence of Cellular Polarity: Multi-Scale Data Synthesis Across Molecular, Mesoscale, and Cellular Organization",claude-opus-4-5,AI,True,,P_073,deciphering the emergence of cellular polarity multiscale data synthesis across molecular mesoscale and cellular organization,18.5,18.5,,18.5,145.0,False,#F08080
"The Grammar of Intrinsically Disordered Regions: Synthesizing Sequence, Structure, and Function Data to Predict Emergent Behaviors",claude-opus-4-5,AI,True,,P_074,the grammar of intrinsically disordered regions synthesizing sequence structure and function data to predict emergent behaviors,9.0,9.0,,9.0,145.0,False,#F08080
"Emergent Organization of the Cytoskeletal Interactome: Integrating Structural, Dynamic, and Functional Data Across Actin, Microtubule, and Intermediate Filament Networks",claude-opus-4-5,AI,True,,P_075,emergent organization of the cytoskeletal interactome integrating structural dynamic and functional data across actin microtubule and intermediate filament networks,2.5,2.5,,2.5,145.0,True,#F08080
Synthesizing the Spatiotemporal Logic of Post-Translational Modification Crosstalk: From Molecular Signals to Emergent Cellular Decisions,claude-opus-4-5,AI,True,,P_076,synthesizing the spatiotemporal logic of posttranslational modification crosstalk from molecular signals to emergent cellular decisions,15.5,15.5,,15.5,145.0,False,#F08080
"The Emergent Architecture of Stress Granules: Multi-Modal Data Synthesis to Understand Assembly, Composition, and Function",claude-opus-4-5,AI,True,,P_077,the emergent architecture of stress granules multimodal data synthesis to understand assembly composition and function,13.0,13.0,,13.0,145.0,False,#F08080
"Decoding Emergent Metabolic Channeling: Synthesizing Structural, Interaction, and Flux Data to Understand Metabolon Organization",claude-opus-4-5,AI,True,,P_078,decoding emergent metabolic channeling synthesizing structural interaction and flux data to understand metabolon organization,11.0,11.0,,11.0,145.0,False,#F08080
"The Emergence of Ribosome Heterogeneity: Synthesizing Structural, Compositional, and Translational Data to Understand Specialized Ribosomes",claude-opus-4-5,AI,True,,P_079,the emergence of ribosome heterogeneity synthesizing structural compositional and translational data to understand specialized ribosomes,11.0,11.0,,11.0,145.0,False,#F08080
"Emergent Properties of the Nuclear Pore Complex: Integrating Structural, Transport, and Regulatory Data Across Scales",claude-opus-4-5,AI,True,,P_080,emergent properties of the nuclear pore complex integrating structural transport and regulatory data across scales,15.5,15.5,,15.5,145.0,False,#F08080
"The Emergence of Cellular Memory: Synthesizing Epigenetic, Transcriptional, and Chromatin Data to Understand Heritable Cell States",claude-opus-4-5,AI,True,,P_081,the emergence of cellular memory synthesizing epigenetic transcriptional and chromatin data to understand heritable cell states,23.0,23.0,,23.0,145.0,False,#F08080
"Decoding the Emergent Logic of Protein Quality Control Networks: Multi-Scale Synthesis of Chaperone, Degradation, and Aggregation Data",claude-opus-4-5,AI,True,,P_082,decoding the emergent logic of protein quality control networks multiscale synthesis of chaperone degradation and aggregation data,7.0,7.0,,7.0,145.0,False,#F08080
"The Emergence of Signaling Specificity: Synthesizing Interaction, Localization, and Kinetic Data to Understand Pathway Insulation",claude-opus-4-5,AI,True,,P_083,the emergence of signaling specificity synthesizing interaction localization and kinetic data to understand pathway insulation,7.0,7.0,,7.0,145.0,False,#F08080
"Emergent Properties of the Centrosome: Integrating Structural, Compositional, and Functional Data to Understand Microtubule Organizing Center Function",claude-opus-4-5,AI,True,,P_084,emergent properties of the centrosome integrating structural compositional and functional data to understand microtubule organizing center function,5.0,5.0,,5.0,145.0,True,#F08080
"The Emergence of Autophagosome Selectivity: Synthesizing Receptor, Cargo, and Membrane Data to Understand Selective Autophagy",claude-opus-4-5,AI,True,,P_085,the emergence of autophagosome selectivity synthesizing receptor cargo and membrane data to understand selective autophagy,22.0,22.0,,22.0,145.0,False,#F08080
"Decoding Emergent mRNA Fate Decisions: Synthesizing RNA-Protein Interaction, Localization, and Decay Data",claude-opus-4-5,AI,True,,P_086,decoding emergent mrna fate decisions synthesizing rnaprotein interaction localization and decay data,15.5,15.5,,15.5,145.0,False,#F08080
"The Emergence of Synaptic Organization: Integrating Proteomic, Structural, and Functional Data Across Synaptic Compartments",claude-opus-4-5,AI,True,,P_087,the emergence of synaptic organization integrating proteomic structural and functional data across synaptic compartments,20.5,20.5,,20.5,145.0,False,#F08080
"Emergent Properties of the Glycocalyx: Synthesizing Glycomic, Proteomic, and Functional Data to Understand Cell Surface Organization",claude-opus-4-5,AI,True,,P_088,emergent properties of the glycocalyx synthesizing glycomic proteomic and functional data to understand cell surface organization,7.0,7.0,,7.0,145.0,False,#F08080
"The Emergence of Enhancer-Promoter Specificity: Synthesizing Chromatin, Transcription, and 3D Genome Data",claude-opus-4-5,AI,True,,P_089,the emergence of enhancerpromoter specificity synthesizing chromatin transcription and 3d genome data,2.5,2.5,,2.5,145.0,True,#F08080
"Decoding the Emergent Organization of the Endoplasmic Reticulum: Multi-Scale Synthesis of Structure, Function, and Dynamics",claude-opus-4-5,AI,True,,P_090,decoding the emergent organization of the endoplasmic reticulum multiscale synthesis of structure function and dynamics,20.5,20.5,,20.5,145.0,False,#F08080
"The Emergence of Cellular Mechanoresponses: Synthesizing Force, Structural, and Signaling Data Across Mechanotransduction Pathways",claude-opus-4-5,AI,True,,P_091,the emergence of cellular mechanoresponses synthesizing force structural and signaling data across mechanotransduction pathways,15.5,15.5,,15.5,145.0,False,#F08080
