title,n_words,n_chars,n_sents,avg_word_len,avg_sent_len_words,type_token_ratio,stopword_rate,hedge_rate,flesch_reading_ease,fk_grade_level,comma_per_1k_chars,semicolon_per_1k_chars,colon_per_1k_chars,dash_per_1k_chars,paren_per_1k_chars,quote_per_1k_chars,newline_per_1k_chars,bullet_per_1k_chars,group,is_ai
Searching the crosslinking mass spectrometry universe for new protein-protein interactions,1384,9945,64,6.062861271676301,21.625,0.39667630057803466,0.3554913294797688,0.015173410404624277,10.550942919075169,17.15993497109827,7.642031171442936,0.10055304172951231,0.301659125188537,4.524886877828055,0.603318250377074,0.0,0.0,0.0,Human,0
Intelligent metadata compilation to enhance the reusability and discoverability of mass spectrometry-based proteomics data,1357,10283,61,6.434782608695652,22.24590163934426,0.3846720707442889,0.3072955047899779,0.002210759027266028,-3.647611534605005,19.294597291518176,10.211027910142954,0.48623942429252165,0.3889915394340173,4.765146358066712,0.7779830788680346,0.09724788485850433,0.0,0.0,Human,0
Emergent Order Parameters of Allostery: An AI Framework for Predicting and Engineering Protein Regulation,2788,20577,96,6.164634146341464,29.041666666666668,0.32245337159253945,0.3428981348637016,0.014347202295552367,-3.3124494858919036,20.93610652797705,8.601837002478495,0.583175389998542,0.583175389998542,4.13082567915634,5.199980560820333,0.0,0.0,0.0,Human,0
From Protein Knots to Pierced Lassos: Unraveling the Evolutionary Origin of Complex Topologies,2097,15737,90,6.124463519313305,23.3,0.3228421554601812,0.3547925608011445,0.017167381974248927,3.9400064377682895,18.49814449213162,11.882823918154667,0.12708902586261675,0.4448115905191587,2.859503081908877,2.5417805172523353,0.0,0.0,0.0,Human,0
Deciphering systemic biological networks through AI-driven multi-omic integration,1813,13037,81,5.956977385548814,22.382716049382715,0.37506894649751793,0.3673469387755102,0.007722007722007722,9.037006530339909,17.559336479336483,8.59093349697016,0.07670476336580502,0.3068190534632201,5.599447725703767,3.988647695021861,0.0,0.0,0.0,Human,0
Conserved Disorder: Learning Sequence Conservation from Functional Constraints in Intrinsically Disordered Regions,2326,17988,127,6.421754084264832,18.31496062992126,0.3276010318142734,0.31212381771281167,0.012897678417884782,4.0602762675946735,17.24294642554892,9.506337558372248,0.333555703802535,0.44474093840338,3.891483211029575,7.449410718256615,0.0,0.0,0.0,Human,0
Integrative Multi-Omics Synthesis to Identify Shared Molecular Mechanisms of Mammalian Hibernation,2231,16309,86,6.0797848498431195,25.941860465116278,0.32765575974899147,0.3630658897355446,0.010309278350515464,3.6062079524251374,19.201014510126864,7.0513213563063335,0.49052670304739715,0.49052670304739715,3.3723710834508553,5.273162057759519,0.0,0.0,0.0,Human,0
Revealing the Ontology of Allostery through Community-Scale Synthesis,2511,18188,115,5.94026284348865,21.83478260869565,0.31142970927917163,0.3727598566308244,0.021505376344086023,10.048322892317316,17.282156216993055,9.786672531339343,0.05498130635583901,1.5394765779634925,3.683747525841214,6.047943699142292,0.0,0.0,0.0,Human,0
SynEvo: Discovering Evolutionary Principles of Molecular Organization through Cross-Species Data Synthesis,2275,18335,110,6.6971428571428575,20.681818181818183,0.36527472527472526,0.25846153846153846,0.007912087912087912,-12.139638861138849,20.090502497502502,9.217343877829288,1.09080992637033,0.545404963185165,8.181074447777474,3.926915734933188,0.0,0.0,0.0,Human,0
A Unified Framework for Analyses of Proteome Turnover Dynamics,2806,20750,117,6.180684248039914,23.982905982905983,0.31931575196008555,0.34640057020669995,0.009265858873841768,1.7450232712563718,18.973953433119508,10.55421686746988,0.24096385542168675,0.2891566265060241,5.686746987951808,3.469879518072289,0.0,0.0,0.0,Human,0
Predictive Synthesis Framework for Elucidating Biophysical Cell State from Spatial Transcriptomics and Proteomics,2278,16608,99,6.021510096575944,23.01010101010101,0.33274802458296754,0.3042142230026339,0.019315188762071993,12.088614902315527,17.289558357942912,6.984585741811175,0.7827552986512524,2.0472061657032756,6.74373795761079,9.754335260115607,0.6021194605009633,0.0,0.0,Human,0
Integrating AI and Molecular Dynamics Simulations for Quantitative Prediction of Enzyme Functions,2604,19065,114,5.900153609831029,22.842105263157894,0.32373271889400923,0.2872503840245776,0.013824884792626729,13.768005093378633,17.013582342954162,8.49724626278521,0.26226068712300027,3.094676108051403,10.07081038552321,9.28402832415421,0.0,0.0,0.0,Human,0
Discovery and functional analysis of bacterial organelles through mining and refinement of omics data,2594,19010,121,6.067077872012336,21.43801652892562,0.35967617579028527,0.34502698535080956,0.01927525057825752,7.004480301012535,17.608143331400502,9.573908469226723,0.2630194634402946,0.7890583903208838,6.891109942135718,3.8926880589163595,0.21041557075223566,0.0,0.0,Human,0
A Cross-Cell-Type Atlas of Biomolecular Condensate Material States and Their Emergent Control of Gene Expression Noise,4628,35992,217,6.466940363007779,21.327188940092167,0.2802506482281763,0.23509075194468454,0.00648228176318064,1.3821556026431097,18.364811983956603,8.918648588575238,1.8059568793065126,3.0562347188264063,8.585241164703268,9.335407868415203,0.0,5.751278061791509,2.000444543231829,gpt-5.2,1
"Emergent Membrane Curvature Codes: Synthesizing Cryo-ET, Proteomics, and Lipidomics to Predict Organelle Contact Site Morphologies",4445,34933,231,6.518110236220473,19.242424242424242,0.28256467941507313,0.23847019122609675,0.011023622047244094,0.8794174591812691,17.917020145209126,8.473363295451293,1.7461998683193543,3.292016145192225,7.5573240202673695,10.591704119314116,0.0,6.269143789539976,2.0897145965133257,gpt-5.2,1
Mesoscale Cytoskeletal Percolation: A Synthesis of Actin/Microtubule Network Architecture and Emergent Intracellular Transport Efficiency,4457,35058,224,6.539151895894099,19.897321428571427,0.3069329145164909,0.24029616333856854,0.008301548126542517,0.03329548322864184,18.19773188844194,8.98511038849906,1.5973529579553882,3.2517542358377547,8.813965428718124,9.641166067659306,0.0,6.047121912259684,2.281932797079126,gpt-5.2,1
"Emergent Chromatin Nanodomain Topology: Integrating Hi-C, Super-Resolution Imaging, and Epigenomics to Explain Cell-Type-Specific Gene Regulation",4727,35751,196,6.281362386291517,24.117346938775512,0.2682462449756717,0.24941823566744234,0.009731330653691559,0.32361022545259743,19.20561087413599,7.496293809963358,1.7901597158121452,3.160750748230819,9.510223490252022,8.251517440071606,0.0,4.978881709602529,1.6503034880143213,gpt-5.2,1
"Protein Crowding as an Emergent Mesoscale Regulator: A Pan-Proteome Synthesis of Cytoplasmic Viscosity, Diffusion, and Reaction Rates",4330,34651,230,6.682217090069284,18.82608695652174,0.2789838337182448,0.24087759815242493,0.008083140877598153,-3.297542925996538,18.396192388794052,8.917491558685176,1.5006781911055957,2.1355805027271937,6.551037488095582,9.177224322530375,0.0,5.569824824680384,2.3953132665723933,gpt-5.2,1
"Emergent Ribosome Assembly Landscapes: Integrating Cryo-EM Intermediates, rRNA Processing Maps, and Proteomics to Explain Assembly Robustness",4236,33552,231,6.609065155807365,18.337662337662337,0.29508970727101036,0.251180358829084,0.006373937677053824,-0.8495403038886877,17.933406914143458,8.047210300429184,1.2219837863614689,2.9804482594182167,6.944444444444444,8.82212684787792,0.0,6.88483547925608,2.5929899856938485,gpt-5.2,1
"Mesoscale Signaling Microclusters as Emergent Computation: A Synthesis of Immune Receptor Imaging, Phosphoproteomics, and Single-Cell Responses",4434,35085,222,6.613216057735679,19.972972972972972,0.2972485340550293,0.2431213351375733,0.008570139828597204,-3.8925066744687626,18.76409635616672,8.20863616930312,1.3681060282171869,2.992731936725096,7.695596408721676,8.921191392332906,0.0,5.871455037765426,1.9666524155622058,gpt-5.2,1
"Emergent Mitochondrial Cristae Morphodynamics: Integrating Cryo-ET, Live Imaging, and Proteogenomics to Explain Bioenergetic Plasticity",4315,34543,242,6.658400926998842,17.830578512396695,0.3022016222479722,0.23012746234067208,0.0039397450753186555,-1.657150747440653,17.920078574643515,8.279535651217325,1.4185218423414294,2.6343977072055123,8.684827606172018,9.43751266537359,0.0,6.861013808875894,3.27128506499146,gpt-5.2,1
Mesoscale Assembly of Viral Replication Compartments: A Cross-Virus Synthesis of Host Factor Recruitment and Emergent Replication Efficiency,4569,35979,251,6.553075071131539,18.203187250996017,0.2882468811556139,0.23834537097833225,0.009411249726417159,-0.4868030177386231,17.84940498893025,8.866283109591706,1.8899913838628088,3.112926985185803,8.227021317991051,8.838489118652548,0.0,6.086884015675811,2.306901247950193,gpt-5.2,1
"Emergent Cell Wall Nanomechanics: Synthesizing Fungal and Plant Cell Wall Composition, Ultrastructure, and Growth Patterns",4170,33378,202,6.694724220623502,20.643564356435643,0.30023980815347723,0.22829736211031176,0.006954436450839328,-6.365124296602289,19.275570434741315,8.928036431182216,1.9773503505302894,3.1757445023668285,6.770926957876446,8.568518185631254,0.0,5.842171490203127,2.0672299119180297,gpt-5.2,1
"Mesoscale Proteasome and Autophagy Hub Organization: Integrating Spatial Proteomics, Imaging, and Ubiquitinome Data to Explain Proteostasis Emergence",4252,33476,230,6.537629350893697,18.48695652173913,0.28574788334901224,0.23800564440263405,0.008231420507996237,-0.36919501820113965,17.90349723915089,8.931772015772493,1.6429680965467797,2.778109690524555,8.155096188314015,9.05126060461226,0.0,6.81084956386665,2.718365396104672,gpt-5.2,1
"Emergent Bacterial Microcompartment Design Rules: Synthesizing Genomes, Structures, and Metabolic Flux to Predict Organelle-Like Function",4211,32563,223,6.429351697933982,18.883408071748878,0.2949418190453574,0.24008549038233198,0.0068867252434101165,2.818043965569615,17.557431071515662,7.339618585511163,1.5661947609249762,3.3780671314068114,7.585296195068022,8.107361115376348,0.0,6.725424561619016,2.6717440039308418,gpt-5.2,1
Mesoscale Vesicle Coat Self-Organization: Integrating Structural Proteomics and Imaging to Explain Cargo Selectivity Emergence,4181,33207,246,6.588615163836403,16.995934959349594,0.28198995455632625,0.22291317866539107,0.009567089213106911,-0.6191746295183123,17.56795302209181,9.154696298973109,1.5960490258078117,4.155750293612793,8.552413647724878,8.431957117475232,0.0,6.896136356792242,3.1318697864908,gpt-5.2,1
"Emergent Nuclear Pore Selectivity at the Mesoscale: A Synthesis of FG-Nup Disorder, Transport Kinetics, and NPC Ultrastructure",4354,33766,215,6.44441892512632,20.251162790697673,0.29214515388148826,0.23633440514469453,0.008038585209003215,1.807768435333486,18.038132633985324,8.58852099745306,1.7177041994906117,2.902327785346206,8.67736776639223,9.328910738612805,0.0,6.248889415388261,2.280400402772019,gpt-5.2,1
"Mesoscale Emergence in Bacterial Biofilm Matrix Nanostructure: Integrating Omics, Imaging, and Rheology to Predict Community Robustness",4283,34195,251,6.6240952603315435,17.06374501992032,0.3037590473966846,0.2339481671725426,0.009806210600046696,-0.02978641585883679,17.50259112045863,8.890188624067846,1.5206901593800264,3.713993273870449,8.363795876590144,8.919432665594385,0.0,7.340254423161281,3.275332650972364,gpt-5.2,1
"Emergent Spliceosome Nano-Organization: Integrating RNP Structural States, Proximity Proteomics, and Single-Cell Isoform Variability",4427,34268,194,6.44206008583691,22.81958762886598,0.27128981251411793,0.2468940591822905,0.004291845493562232,0.10239346069926114,18.91406655271425,7.995797828878253,2.013540329170071,2.8014474144974906,7.937434341076223,9.45488502392903,0.0,4.814987743667562,1.4590871950507762,gpt-5.2,1
Mesoscale Organization of Metabolic Enzyme Filaments: A Cross-Species Synthesis of Cytoophidia and Emergent Metabolic Regulation,4201,33004,211,6.550583194477506,19.90995260663507,0.2968340871221138,0.25874791716258033,0.013092120923589622,-3.617877068312538,18.710135027656474,8.695915646588292,1.1513755908374743,3.423827414858805,5.90837474245546,8.544418858320203,0.0,6.150769603684402,1.7270633862562113,gpt-5.2,1
Emergent Endocytic Pit Nanoscale Heterogeneity: Integrating Single-Molecule Imaging and Proteomics to Explain Uptake Variability,4067,31632,192,6.467666584706172,21.182291666666668,0.2970248340299975,0.24686501106466682,0.007376444553725104,-2.108006125266371,18.815622886955996,8.693727870510875,1.5174506828528074,2.9716742539200807,7.081436519979768,10.116337885685383,0.0,6.227870510875063,1.6755184623166413,gpt-5.2,1
"Mesoscale Emergence of Synaptic Active Zone Nanoclusters: A Synthesis of Proteomics, Super-Resolution Maps, and Functional Plasticity",4118,32673,204,6.592520641087907,20.186274509803923,0.30160271976687714,0.2353084021369597,0.006313744536182613,-3.7883571170090136,18.802559637745343,8.294310286781135,1.683347106173293,2.6321427478346036,9.579775349677103,10.559177302359746,0.0,6.029443271202522,2.815780613962599,gpt-5.2,1
Emergent Organelle Size Control via Mesoscale Substructure: Integrating Imaging Atlases and Omics to Explain Scaling Laws,4474,35058,244,6.497988377291015,18.33606557377049,0.28587393831023694,0.23021904336164506,0.007822977201609299,4.520496035381143,17.18399807265293,8.813965428718124,1.3121113583204975,3.5084716755091563,8.243482229448341,9.355924468024416,0.0,6.389411831821553,2.966512636202864,gpt-5.2,1
"Mesoscale Emergence in DNA Damage Repair Foci: Integrating Live Imaging, Proteomics, and 3D Genome Context",4447,33554,221,6.190915223746346,20.122171945701357,0.2900832021587587,0.2354396222172251,0.006746120980436249,8.136518299489154,17.123354277172982,9.358049710913752,1.639148834714192,3.0994814329141085,8.791798295285211,10.281933599570841,0.0,6.377779102342493,2.592835429456995,gpt-5.2,1
"Emergent Mesoscale Patterning in Bacterial Division Machinery: A Synthesis of FtsZ Ring Architecture, Dynamics, and Cell Shape Outcomes",4293,34484,264,6.666899604006522,16.261363636363637,0.30211972979268575,0.23386908921500116,0.00791986955508968,-1.0203889127120078,17.441426344154333,8.43869620693655,1.2469551096160538,2.8998956037582646,8.728685767312376,10.120635657116344,0.0,7.974712910335228,3.276882032246839,gpt-5.2,1
"Mesoscale Emergence of Exosome Biogenesis Microdomains: Integrating Endosomal Proteomics, Lipidomics, and Imaging",4270,33225,235,6.445901639344262,18.170212765957448,0.28430913348946135,0.22552693208430913,0.00819672131147541,0.9447867357616246,17.641535203547765,7.795334838224229,1.5951843491346878,3.491346877351392,8.126410835214447,10.263355906696765,0.0,6.621519939804364,2.4981188863807375,gpt-5.2,1
Deciphering the Sequence Grammar of Mesoscale Viscoelasticity in Biomolecular Condensates,2343,17368,131,6.090909090909091,17.885496183206108,0.3973538198890312,0.33034571062740076,0.01365770379854887,13.126291796581,15.87172848797621,6.1031782588668815,0.2303086135421465,2.8212805158912944,4.836480884385076,6.794104099493321,3.2818977429755876,4.145555043758637,1.0939659143251959,gemini-3-pro-preview,1
Emergent Chromatin Rheology: Synthesizing 1D Sequence and 3D Topology to Predict Nuclear Stiffness,2556,18356,137,5.813380281690141,18.656934306569344,0.35406885758998435,0.3215962441314554,0.01643192488262911,19.260887735170172,15.207722376432155,5.883634778818915,0.32686859882327307,3.486598387448246,4.576160383525822,7.409021573327522,2.0701677925473962,4.521682283721943,0.8716495968620614,gemini-3-pro-preview,1
The Emergence of Metabolic Channeling: Mapping Transient Metabolons via Integrated Interactomics,209,1607,9,6.555023923444976,23.22222222222222,0.7081339712918661,0.27751196172248804,0.019138755980861243,-5.77000531632109,19.833173843700163,6.845052893590542,0.0,4.978220286247667,4.355942750466709,1.2445550715619167,2.4891101431238334,0.0,0.0,gemini-3-pro-preview,1
Lipid Raft Dynamics and the Emergence of Signal Fidelity in T-Cell Activation,2096,15378,118,5.98425572519084,17.76271186440678,0.39599236641221375,0.32251908396946566,0.016698473282442748,13.995446694268338,15.719995795057581,5.592404734035636,0.19508388607101054,3.251398101183509,5.397320847964624,7.6732995187930815,3.1213421771361687,4.3568734555859026,1.040447392378723,gemini-3-pro-preview,1
Emergent Mechanics of the Cytoskeleton: From Molecular Motors to Cellular Tensegrity,2427,17478,133,5.916769674495262,18.24812030075188,0.35599505562422745,0.3341573959620931,0.015657189946435928,14.965073840348708,15.705341288945483,5.835907998626845,0.17164435290078958,2.7463096464126333,5.20654537132395,6.522485410230003,2.460235724911317,4.348323606820003,0.5149330587023687,gemini-3-pro-preview,1
Viral Capsid Polymorphism: Emergent Geometry from Identical Subunits,2158,15721,131,5.9082483781278965,16.47328244274809,0.3827618164967563,0.3243744207599629,0.017145505097312327,16.798306921166784,15.008722877416893,5.406780739138732,0.06360918516633803,4.134597035811971,4.707079702309013,6.488136886966478,3.307677628649577,4.643470517142675,1.5902296291584506,gemini-3-pro-preview,1
The Emergence of Synaptic Memory: Nanocolumns and PSD Stability,1889,14286,115,6.208046585494971,16.42608695652174,0.3965060878771837,0.32292218104817366,0.019587083112758072,10.840975947706426,15.827926162911137,5.179896402071959,0.06999860002799944,3.9199216015679688,3.9899202015959685,6.019879602407952,2.9399412011759765,5.03989920201596,1.399972000559989,gemini-3-pro-preview,1
Emergent Selectivity in the Nuclear Pore Complex: A Data-Driven Transport Model,2263,16283,136,5.874060980998674,16.639705882352942,0.39019001325673885,0.3323022536456032,0.014582412726469289,21.19430657183335,14.436913486782256,6.816925627955536,0.24565497758398333,3.0092734754037958,4.7902720628876745,5.527236995639624,2.456549775839833,4.237548363323712,0.3684824663759749,gemini-3-pro-preview,1
Mitochondrial Cristae Morphodynamics and the Emergence of Bioenergetic Efficiency,1881,14016,111,6.1313131313131315,16.945945945945947,0.40669856459330145,0.3184476342371079,0.014885699096225412,11.8444342428553,15.817111369742953,5.351027397260274,0.0,2.853881278538813,3.7813926940639266,7.134703196347032,2.28310502283105,4.280821917808219,0.0,gemini-3-pro-preview,1
Ribosome Collisions and the Emergence of Translational Quality Control,2328,16667,134,5.820876288659794,17.37313432835821,0.3788659793814433,0.3230240549828179,0.019329896907216496,20.800753192798908,14.674010360568296,6.23987520249595,0.0,3.539929201415972,5.279894402111958,6.959860802783944,4.019919601607968,4.559908801823964,1.1999760004799904,gemini-3-pro-preview,1
Emergent Synchronization in Ciliary Arrays: Hydrodynamics and Coupling,2037,15020,119,6.017673048600884,17.11764705882353,0.38880706921944036,0.3333333333333333,0.01718213058419244,14.612281902451713,15.473707586127237,6.524633821571238,0.0,3.328894806924101,3.6617842876165114,6.391478029294275,1.9307589880159788,4.327563249001331,1.1318242343541944,gemini-3-pro-preview,1
The Extracellular Matrix as a Mechanical Memory: Emergent Reciprocity in Tissue Homeostasis,2196,16310,128,6.090619307832423,17.15625,0.3847905282331512,0.31375227686703094,0.012295081967213115,13.325504610655742,15.662777208561025,5.885959534028204,0.3678724708767627,2.881667688534641,4.353157572041693,7.234825260576334,3.433476394849785,4.291845493562231,1.103617412630288,gemini-3-pro-preview,1
The Glycocalyx Code: Emergent Immune Evasion via Bulky Glycan Shields,1939,14159,102,5.94997421351212,19.00980392156863,0.4033006704486849,0.31717380092831354,0.017534811758638472,16.900234682320587,15.62464869702394,6.003248817006851,0.5650116533653506,4.025708030228123,3.955081573557455,7.768910233773571,3.460696376862773,4.520093226922805,1.1300233067307013,gemini-3-pro-preview,1
Symmetry Breaking in the Centrosome: Emergent Spindle Bipolarity,1855,13449,113,5.925067385444744,16.41592920353982,0.4,0.33962264150943394,0.018328840970350403,19.467818381318125,14.62213152684684,5.427912855974421,0.1487099412595732,3.2716187077106107,4.907428061565915,8.327756710536098,3.1229087664510375,4.684363149676556,0.2230649118893598,gemini-3-pro-preview,1
Autophagosome Biogenesis: Emergent Membrane Remodeling from Protein Scaffolds,2030,14825,107,5.960591133004926,18.97196261682243,0.39408866995073893,0.3315270935960591,0.014285714285714285,16.294714101560714,15.699705814649423,6.27318718381113,0.4721753794266442,3.709949409780776,3.979763912310287,6.475548060708263,2.9005059021922426,5.059021922428331,1.1467116357504217,gemini-3-pro-preview,1
Stress Granules vs. P-Bodies: Emergent Sorting in RNA Phase Separation,1685,12472,113,5.985163204747774,14.91150442477876,0.42136498516320475,0.3091988130563798,0.013649851632047478,20.64213754890895,14.084596517948583,6.895445798588839,0.08017960230917254,3.688261706221937,6.013470173187941,6.895445798588839,1.6837716484926235,5.291853752405388,1.443232841565106,gemini-3-pro-preview,1
Collapse of the Chaperone Network: Emergent Proteostasis Failure in Aging,2047,15026,123,5.96971177332682,16.642276422764226,0.39863214460185636,0.3409868099658036,0.0180752320468979,17.560773847113182,14.944356881575654,6.854785039265273,0.1331026221216558,3.194462930919739,3.194462930919739,4.791694396379609,3.261014241980567,4.259283907892986,0.9317183548515906,gemini-3-pro-preview,1
Emergent Antibiotic Resistance in Biofilms: The Role of Matrix Architecture,2104,15595,133,6.009505703422053,15.819548872180452,0.40874524714828897,0.3360266159695818,0.017110266159695818,18.522264358615217,14.60585980159524,5.706957358127605,0.1282462327669125,3.3985251683231805,3.3344020519397244,7.823020198781661,2.8855402372555305,5.065726194293043,1.3465854440525808,gemini-3-pro-preview,1
GPCR Oligomerization Landscapes: Emergent Signaling Bias via Allostery,2359,17712,138,6.137770241627808,17.094202898550726,0.3827893175074184,0.32598558711318354,0.01907587961000424,9.453862650595028,16.187379232172812,6.323396567299007,0.16937669376693767,3.1052393857271907,3.6133694670280034,5.984643179765131,1.919602529358627,4.065040650406504,1.1856368563685635,gemini-3-pro-preview,1
Nuclear Speckles as Splicing Hubs: Emergent Amplification of Gene Expression,2508,18088,150,5.819776714513557,16.72,0.3748006379585327,0.319377990430622,0.01555023923444976,24.678314832535904,13.970911642743221,5.860238832375056,0.16585581601061478,3.48297213622291,6.800088456435206,6.523662096417514,3.3724015922158337,5.086245024325519,1.6032728881026095,gemini-3-pro-preview,1
Thylakoid Stacking and the Emergence of Photosynthetic Robustness,1732,13293,107,6.238452655889145,16.186915887850468,0.42321016166281755,0.2921478060046189,0.01558891454965358,11.87583464634912,15.624167404113877,5.416384563303994,0.15045512675844427,4.513653802753328,5.040246746407885,7.2218460844053265,2.557737154893553,5.566839690062439,1.7302339577221093,gemini-3-pro-preview,1
Exosome Loading and Sorting: Emergent Communication Packets,2220,16390,136,6.007657657657657,16.323529411764707,0.3869369369369369,0.3310810810810811,0.02117117117117117,17.141482511923726,14.923653948065713,6.89444783404515,0.24405125076266015,3.3557046979865772,3.843807199511897,6.467358145210494,2.9286150091519216,4.697986577181208,1.2202562538133008,gemini-3-pro-preview,1
Synthetic Cell Assembly: Predicting Emergent Life-like Behaviors from Component Integration,1876,13530,117,5.907782515991471,16.034188034188034,0.40085287846481876,0.3363539445628998,0.015458422174840085,20.277996373444154,14.414292821606256,6.430155210643016,0.0,2.7346637102734666,5.469327420546933,5.617147080561715,2.2912047302291203,4.212860310421286,0.0,gemini-3-pro-preview,1
Emergent Phase Separation Grammar: Decoding How Intrinsically Disordered Region Sequence Patterns Drive Mesoscale Condensate Properties,4108,33903,255,6.79649464459591,16.109803921568627,0.28456669912366117,0.24586173320350535,0.009980525803310613,-3.5733643202168537,17.759863451514978,6.990531811344129,1.0323570185529305,4.512874966817096,5.4272483261068345,7.668937852107483,0.4719346370527682,7.403474618765301,0.44243872223697017,claude-opus-4-5,1
Temporal Dynamics of Ribosome Clustering: Synthesizing Cryo-ET and Ribosome Profiling Data to Understand Emergent Translation Factories,4009,32793,211,6.814916438014468,19.0,0.2801197306061362,0.2534297829882764,0.009977550511349464,-8.049251683711617,19.102165128460964,6.464794315860092,0.975818009941146,2.2565791479889,5.671942182782911,7.562589577043881,0.2439545024852865,4.87909004970573,0.0,claude-opus-4-5,1
"Emergent Mechanics of the Nuclear Pore Complex: Integrating Structural, Biophysical, and Transport Data to Model Collective Gating Behavior",3805,30215,207,6.629172141918528,18.381642512077295,0.2875164257555848,0.26360052562417874,0.008935611038107753,-1.2552186609279374,18.00091679521606,6.1558828396491805,1.3238457719675658,3.3427105742181036,5.692536819460533,5.4277676650670195,0.0661922885983783,5.129902366374318,0.0,claude-opus-4-5,1
"Chromatin Compartmentalization Dynamics: Synthesizing Hi-C, Imaging, and Epigenomic Data to Model Emergent Nuclear Organization",4045,32388,234,6.551545117428924,17.286324786324787,0.2657601977750309,0.2590852904820766,0.010877626699629172,-2.247529423261767,17.867216728471366,7.008768679757935,1.2350253180190194,3.2110658268494503,6.977893046807459,8.706928492034086,0.15437816475237742,6.669136717302705,0.0,claude-opus-4-5,1
Emergent Allostery in Protein Complexes: Mining Structural Databases to Discover Long-Range Communication Networks,4024,32874,224,6.741550695825049,17.964285714285715,0.2586978131212724,0.26366799204771374,0.012922465208747515,-7.824644632206741,18.813536637318943,6.235931130984973,1.2776054024457018,3.072336801119426,4.197846322321591,7.908985824663869,0.09125752874612154,5.840481839751779,0.0,claude-opus-4-5,1
Cytoskeletal Crosstalk at the Mesoscale: Integrating Structural and Live-Cell Data to Model Emergent Mechanical Properties,4652,38773,276,6.982588134135855,16.855072463768117,0.25300945829750643,0.2560189165950129,0.01117798796216681,-12.825521078669567,19.235498897155036,7.634178423129498,0.9026900162484203,3.2238929151729296,4.616614654527635,5.622469244061589,0.10316457328553376,6.086709823846491,0.5416140097490522,claude-opus-4-5,1
