title,group,centroid_dist
The Glycocalyx Code: Emergent Immune Evasion via Bulky Glycan Shields,gemini-3-pro-preview,0.024270057678222656
Symmetry Breaking in the Centrosome: Emergent Spindle Bipolarity,gemini-3-pro-preview,0.01706254482269287
Autophagosome Biogenesis: Emergent Membrane Remodeling from Protein Scaffolds,gemini-3-pro-preview,0.013145208358764648
Stress Granules vs. P-Bodies: Emergent Sorting in RNA Phase Separation,gemini-3-pro-preview,0.01701939105987549
Collapse of the Chaperone Network: Emergent Proteostasis Failure in Aging,gemini-3-pro-preview,0.017495930194854736
Emergent Antibiotic Resistance in Biofilms: The Role of Matrix Architecture,gemini-3-pro-preview,0.020879507064819336
GPCR Oligomerization Landscapes: Emergent Signaling Bias via Allostery,gemini-3-pro-preview,0.022833824157714844
Nuclear Speckles as Splicing Hubs: Emergent Amplification of Gene Expression,gemini-3-pro-preview,0.017713844776153564
Thylakoid Stacking and the Emergence of Photosynthetic Robustness,gemini-3-pro-preview,0.024170279502868652
Exosome Loading and Sorting: Emergent Communication Packets,gemini-3-pro-preview,0.014672040939331055
Synthetic Cell Assembly: Predicting Emergent Life-like Behaviors from Component Integration,gemini-3-pro-preview,0.014280617237091064
Emergent Phase Separation Grammar: Decoding How Intrinsically Disordered Region Sequence Patterns Drive Mesoscale Condensate Properties,claude-opus-4-5,0.0739942193031311
Temporal Dynamics of Ribosome Clustering: Synthesizing Cryo-ET and Ribosome Profiling Data to Understand Emergent Translation Factories,claude-opus-4-5,0.07298779487609863
"Emergent Mechanics of the Nuclear Pore Complex: Integrating Structural, Biophysical, and Transport Data to Model Collective Gating Behavior",claude-opus-4-5,0.06565368175506592
"Chromatin Compartmentalization Dynamics: Synthesizing Hi-C, Imaging, and Epigenomic Data to Model Emergent Nuclear Organization",claude-opus-4-5,0.07359933853149414
Emergent Allostery in Protein Complexes: Mining Structural Databases to Discover Long-Range Communication Networks,claude-opus-4-5,0.0579642653465271
Cytoskeletal Crosstalk at the Mesoscale: Integrating Structural and Live-Cell Data to Model Emergent Mechanical Properties,claude-opus-4-5,0.049990057945251465
Emergent Specificity in Kinase-Substrate Networks: Synthesizing Phosphoproteomics and Structural Data to Decode Signaling Fidelity,claude-opus-4-5,0.048461198806762695
"Metabolon Assembly and Emergent Metabolic Channeling: Integrating Structural, Metabolomic, and Interactome Data",claude-opus-4-5,0.0665971040725708
Emergent Selectivity of Autophagy Receptors: Synthesizing Structural and Proteomic Data to Decode Cargo Recognition Networks,claude-opus-4-5,0.0687711238861084
Emergent Timing in Circadian Protein Networks: Integrating Structural Dynamics with Systems-Level Oscillations,claude-opus-4-5,0.06958150863647461
Emergent Proton Gradients in Mitochondrial Cristae: Synthesizing Cryo-ET and Bioenergetic Data to Model Mesoscale Energy Transduction,claude-opus-4-5,0.0817573070526123
Emergent Antigen Processing in the Immunoproteasome: Integrating Structural and Immunopeptidomic Data to Model Epitope Generation,claude-opus-4-5,0.08297288417816162
Emergent Selectivity in Nuclear Export: Synthesizing Structural and Transport Data to Model CRM1-Mediated Cargo Recognition,claude-opus-4-5,0.07834464311599731
"Emergent Cooperativity in Transcription Factor Clusters: Synthesizing ChIP-seq, Structural, and Imaging Data to Model Enhancer Activation",claude-opus-4-5,0.48691219091415405
Emergent Viral Assembly: Synthesizing Cryo-EM and Sequence Data to Model How Capsid Geometry Arises from Protein Interactions,claude-opus-4-5,0.07223141193389893
Emergent Membrane Curvature Sensing: Integrating Structural and Lipidomic Data to Model BAR Domain Collective Behavior,claude-opus-4-5,0.07031375169754028
Emergent Prion Strain Properties: Synthesizing Cryo-EM Structures with Clinical Data to Model How Fibril Architecture Determines Pathology,claude-opus-4-5,0.4965846538543701
Emergent Cell Polarity from Protein Localization Networks: Synthesizing Imaging and Interactome Data to Model Symmetry Breaking,claude-opus-4-5,0.49059003591537476
Emergent Specificity in Ubiquitin Chain Recognition: Synthesizing Structural and Proteomic Data to Decode the Ubiquitin Code,claude-opus-4-5,0.07230651378631592
Emergent RNA Localization: Synthesizing Spatial Transcriptomics and RNA Structure Data to Model mRNA Targeting Networks,claude-opus-4-5,0.07402485609054565
Emergent Mechanics of Bacterial Microcompartments: Synthesizing Structural and Metabolic Data to Model Encapsulated Pathway Efficiency,claude-opus-4-5,0.4696166515350342
Emergent Receptor Clustering in Immune Synapses: Synthesizing Super-Resolution and Signaling Data to Model T Cell Activation Thresholds,claude-opus-4-5,0.4928373098373413
Emergent DNA Repair Pathway Choice: Synthesizing Damage Proteomics and Chromatin Data to Model Repair Mechanism Selection,claude-opus-4-5,0.49771881103515625
