global_index,group,title,mean_lit_nn_dist_k5,is_outlier_literature_space,threshold_literature_space
39,gpt-5.2,"Emergent Antibiotic Tolerance Mechanisms: Synthesizing Bacterial Single-Cell Physiology, Transcriptomics, and Metabolic Models",0.15293026,1,0.15247251093387604
40,gpt-5.2,"A Cross-Species Synthesis of Autophagosome Biogenesis: Integrating Proteomics, Lipid Signatures, and Imaging Dynamics",0.09049394,0,0.15247251093387604
41,gpt-5.2,"Emergent RNA Localization Codes: Synthesizing Subcellular Transcriptomics, RBP Binding Maps, and Imaging to Predict RNA Destinations",0.14182355,0,0.15247251093387604
42,gpt-5.2,"A Community Meta-Analysis of Multivesicular Body and Exosome Biogenesis: Integrating ESCRT Networks, Proteomics, and Imaging",0.08905848,0,0.15247251093387604
43,gpt-5.2,"Emergent Mechanics of the Nucleus: Integrating Lamin Variants, Chromatin State, and Microscopy-Based Deformation Phenotypes",0.09930886,0,0.15247251093387604
44,gpt-5.2,"A Synthesis of Spatially Structured Immune Synapse Formation: Integrating Imaging, Proteomics, and Signaling Perturbation Data",0.08715099,0,0.15247251093387604
45,gpt-5.2,"Emergent Principles of Protein Allostery at Scale: Integrating Structural Ensembles, Mutational Scans, and Functional Genomics",0.08402723,0,0.15247251093387604
46,gemini-3-pro-preview,Deciphering the Sequence-to-Emergent-Property Grammar of Biomolecular Condensates,0.08771161,0,0.15247251093387604
47,gemini-3-pro-preview,Emergence of Cellular Morphology from Cytoskeletal Crosstalk and Motor Protein Dynamics,0.08388833,0,0.15247251093387604
48,gemini-3-pro-preview,Synthesizing the Emergent Properties of Chromatin Topology and Epigenetic Memory,0.08439086,0,0.15247251093387604
49,gemini-3-pro-preview,Emergence of Metabolic Adaptation through Mitochondrial Reticular Network Dynamics,0.08911338,0,0.15247251093387604
50,gemini-3-pro-preview,Decoding the Mesoscale Emergence of Lipid Raft Clustering and Transmembrane Signaling,0.08071055,0,0.15247251093387604
51,gemini-3-pro-preview,Uncovering the Rules of Nucleolar Assembly and Ribosome Biogenesis Emergence,0.088810824,0,0.15247251093387604
52,gemini-3-pro-preview,Emergent Dynamics of Synaptic Vesicle Pools and Neurotransmitter Release Probability,0.09342971,0,0.15247251093387604
53,gemini-3-pro-preview,Synthesizing the Mechanotransductive Emergence of Focal Adhesion Maturation,0.09185185,0,0.15247251093387604
54,gemini-3-pro-preview,Decoding the Emergence of Stress Granules and Cellular Resilience Networks,0.08514152,0,0.15247251093387604
55,gemini-3-pro-preview,Emergent Transport Selectivity of the Nuclear Pore Complex Assembly,0.09285115,0,0.15247251093387604
56,gemini-3-pro-preview,Synthesizing the Emergence of Autophagosomes at ER-Mitochondria Contact Sites,0.091877066,0,0.15247251093387604
57,gemini-3-pro-preview,Emergent Cargo Sorting Dynamics in Extracellular Vesicle Biogenesis,0.08162405,0,0.15247251093387604
58,gemini-3-pro-preview,Decoding the Emergence of Viral Inclusion Bodies and Host Cell Hijacking,0.08894026,0,0.15247251093387604
59,gemini-3-pro-preview,Synthesizing the Emergent Biophysics of Centrosome Maturation and Spindle Bipolarity,0.090548836,0,0.15247251093387604
60,gemini-3-pro-preview,Emergence of Secretory Flux from Golgi Cisternal Stacking Dynamics,0.084869266,0,0.15247251093387604
61,gemini-3-pro-preview,Decoding the Emergent Assembly of Plant Cell Wall Cellulose Synthase Rosettes,0.09162347,0,0.15247251093387604
62,gemini-3-pro-preview,Synthesizing the Emergent Assembly of Bacterial Microcompartments,0.19433454,1,0.15247251093387604
63,gemini-3-pro-preview,Emergence of Lipid Homeostasis through Peroxisome Biogenesis Networks,0.08818442,0,0.15247251093387604
64,gemini-3-pro-preview,Decoding the Emergent Membrane Scission Dynamics of the ESCRT Machinery,0.08676101,0,0.15247251093387604
65,gemini-3-pro-preview,Synthesizing the Emergent Architecture of the Cellular Glycocalyx Meshwork,0.1708143,1,0.15247251093387604
66,gemini-3-pro-preview,Emergent Contractility from Myosin II Thick Filament Assembly in Non-Muscle Cells,0.08420576,0,0.15247251093387604
67,gemini-3-pro-preview,Decoding the Emergent Dynamics of Proteasome Clustering and Localized Degradation,0.084250376,0,0.15247251093387604
68,gemini-3-pro-preview,Synthesizing the Emergent Meshwork of the Nuclear Lamina and Genome Tethering,0.09201197,0,0.15247251093387604
69,claude-opus-4-5,Decoding the Emergent Logic of Phase-Separated Condensates: A Multi-Scale Data Synthesis of Biomolecular Organization Principles,0.07897745,0,0.15247251093387604
70,claude-opus-4-5,"Temporal Emergence in Protein Interaction Networks: Synthesizing Dynamic Interactomics Across Cell Cycle, Circadian, and Stress Response Programs",0.0897214,0,0.15247251093387604
71,claude-opus-4-5,"The Mesoscale Architecture of Mitochondrial Contact Sites: Integrating Structural, Proteomic, and Functional Data to Understand Emergent Organelle Communication",0.09504539,0,0.15247251093387604
72,claude-opus-4-5,"Emergent Properties of the Cellular Crowding Landscape: Synthesizing Biophysical, Structural, and Systems Data to Understand Macromolecular Organization",0.08103891,0,0.15247251093387604
73,claude-opus-4-5,"Deciphering the Emergence of Cellular Polarity: Multi-Scale Data Synthesis Across Molecular, Mesoscale, and Cellular Organization",0.08630939,0,0.15247251093387604
74,claude-opus-4-5,"The Grammar of Intrinsically Disordered Regions: Synthesizing Sequence, Structure, and Function Data to Predict Emergent Behaviors",0.082912885,0,0.15247251093387604
75,claude-opus-4-5,"Emergent Organization of the Cytoskeletal Interactome: Integrating Structural, Dynamic, and Functional Data Across Actin, Microtubule, and Intermediate Filament Networks",0.087725714,0,0.15247251093387604
76,claude-opus-4-5,Synthesizing the Spatiotemporal Logic of Post-Translational Modification Crosstalk: From Molecular Signals to Emergent Cellular Decisions,0.09015717,0,0.15247251093387604
77,claude-opus-4-5,"The Emergent Architecture of Stress Granules: Multi-Modal Data Synthesis to Understand Assembly, Composition, and Function",0.085340664,0,0.15247251093387604
78,claude-opus-4-5,"Decoding Emergent Metabolic Channeling: Synthesizing Structural, Interaction, and Flux Data to Understand Metabolon Organization",0.08967767,0,0.15247251093387604
79,claude-opus-4-5,"The Emergence of Ribosome Heterogeneity: Synthesizing Structural, Compositional, and Translational Data to Understand Specialized Ribosomes",0.084122136,0,0.15247251093387604
80,claude-opus-4-5,"Emergent Properties of the Nuclear Pore Complex: Integrating Structural, Transport, and Regulatory Data Across Scales",0.0910965,0,0.15247251093387604
81,claude-opus-4-5,"The Emergence of Cellular Memory: Synthesizing Epigenetic, Transcriptional, and Chromatin Data to Understand Heritable Cell States",0.08025521,0,0.15247251093387604
82,claude-opus-4-5,"Decoding the Emergent Logic of Protein Quality Control Networks: Multi-Scale Synthesis of Chaperone, Degradation, and Aggregation Data",0.089813486,0,0.15247251093387604
83,claude-opus-4-5,"The Emergence of Signaling Specificity: Synthesizing Interaction, Localization, and Kinetic Data to Understand Pathway Insulation",0.08290857,0,0.15247251093387604
84,claude-opus-4-5,"Emergent Properties of the Centrosome: Integrating Structural, Compositional, and Functional Data to Understand Microtubule Organizing Center Function",0.090930685,0,0.15247251093387604
85,claude-opus-4-5,"The Emergence of Autophagosome Selectivity: Synthesizing Receptor, Cargo, and Membrane Data to Understand Selective Autophagy",0.08466107,0,0.15247251093387604
86,claude-opus-4-5,"Decoding Emergent mRNA Fate Decisions: Synthesizing RNA-Protein Interaction, Localization, and Decay Data",0.079003,0,0.15247251093387604
87,claude-opus-4-5,"The Emergence of Synaptic Organization: Integrating Proteomic, Structural, and Functional Data Across Synaptic Compartments",0.0868119,0,0.15247251093387604
88,claude-opus-4-5,"Emergent Properties of the Glycocalyx: Synthesizing Glycomic, Proteomic, and Functional Data to Understand Cell Surface Organization",0.0862816,0,0.15247251093387604
89,claude-opus-4-5,"The Emergence of Enhancer-Promoter Specificity: Synthesizing Chromatin, Transcription, and 3D Genome Data",0.08570492,0,0.15247251093387604
90,claude-opus-4-5,"Decoding the Emergent Organization of the Endoplasmic Reticulum: Multi-Scale Synthesis of Structure, Function, and Dynamics",0.08540149,0,0.15247251093387604
91,claude-opus-4-5,"The Emergence of Cellular Mechanoresponses: Synthesizing Force, Structural, and Signaling Data Across Mechanotransduction Pathways",0.09289668,0,0.15247251093387604
