title,lda_topic,lda_topic_display,ward_cluster_name,ward_cluster_display
"A Synthesis of Mitochondrial Network Emergence: Linking Morphodynamics, Proteostasis, and Bioenergetics Across Cell Types",Topic_2,"Topic_2: protein interaction, decoding emergent, single cell, synthesizing emergent",Cluster_B,"Cluster_B: data understand, decoding emergent, integrating structural, multi scale"
"Emergent Signaling Specificity: Integrating Single-Cell Phospho-Proteomics, Kinase Networks, and Imaging to Decode Pathway Crosstalk",Topic_2,"Topic_2: protein interaction, decoding emergent, single cell, synthesizing emergent",Cluster_B,"Cluster_B: data understand, decoding emergent, integrating structural, multi scale"
A Comparative Synthesis of Ribosome Heterogeneity and Specialized Translation Across Tissues and Stress Conditions,Topic_2,"Topic_2: protein interaction, decoding emergent, single cell, synthesizing emergent",Cluster_B,"Cluster_B: data understand, decoding emergent, integrating structural, multi scale"
"Emergent Properties of Membrane Microdomains: Integrating Lipidomics, Proteomics, and Super-Resolution Imaging of Raft-Like Assemblies",Topic_1,"Topic_1: functional data, integrating structural, emergent properties, multi scale",Cluster_A,"Cluster_A: mass spectrometry, 3d genome function, adaptation mitochondrial reticular, analysis bacterial organelles"
A Multi-Scale Synthesis of Endocytic Trafficking Emergence: From Coat Assembly to Organelle Identity,Topic_1,"Topic_1: functional data, integrating structural, emergent properties, multi scale",Cluster_B,"Cluster_B: data understand, decoding emergent, integrating structural, multi scale"
"Emergent Control of Cell Cycle Transitions: Integrating Single-Cell Time Series, Proteomics, and Perturbation Screens",Topic_2,"Topic_2: protein interaction, decoding emergent, single cell, synthesizing emergent",Cluster_B,"Cluster_B: data understand, decoding emergent, integrating structural, multi scale"
"A Synthesis of Nuclear Body Emergence: Integrating Proteomics, RNA Localization, and Imaging of Speckles, Nucleoli, and PML Bodies",Topic_1,"Topic_1: functional data, integrating structural, emergent properties, multi scale",Cluster_B,"Cluster_B: data understand, decoding emergent, integrating structural, multi scale"
"Emergent Antibiotic Tolerance Mechanisms: Synthesizing Bacterial Single-Cell Physiology, Transcriptomics, and Metabolic Models",Topic_2,"Topic_2: protein interaction, decoding emergent, single cell, synthesizing emergent",Cluster_B,"Cluster_B: data understand, decoding emergent, integrating structural, multi scale"
"A Cross-Species Synthesis of Autophagosome Biogenesis: Integrating Proteomics, Lipid Signatures, and Imaging Dynamics",Topic_1,"Topic_1: functional data, integrating structural, emergent properties, multi scale",Cluster_B,"Cluster_B: data understand, decoding emergent, integrating structural, multi scale"
"Emergent RNA Localization Codes: Synthesizing Subcellular Transcriptomics, RBP Binding Maps, and Imaging to Predict RNA Destinations",Topic_1,"Topic_1: functional data, integrating structural, emergent properties, multi scale",Cluster_B,"Cluster_B: data understand, decoding emergent, integrating structural, multi scale"
"A Community Meta-Analysis of Multivesicular Body and Exosome Biogenesis: Integrating ESCRT Networks, Proteomics, and Imaging",Topic_1,"Topic_1: functional data, integrating structural, emergent properties, multi scale",Cluster_B,"Cluster_B: data understand, decoding emergent, integrating structural, multi scale"
"Emergent Mechanics of the Nucleus: Integrating Lamin Variants, Chromatin State, and Microscopy-Based Deformation Phenotypes",Topic_2,"Topic_2: protein interaction, decoding emergent, single cell, synthesizing emergent",Cluster_B,"Cluster_B: data understand, decoding emergent, integrating structural, multi scale"
"A Synthesis of Spatially Structured Immune Synapse Formation: Integrating Imaging, Proteomics, and Signaling Perturbation Data",Topic_1,"Topic_1: functional data, integrating structural, emergent properties, multi scale",Cluster_B,"Cluster_B: data understand, decoding emergent, integrating structural, multi scale"
"Emergent Principles of Protein Allostery at Scale: Integrating Structural Ensembles, Mutational Scans, and Functional Genomics",Topic_1,"Topic_1: functional data, integrating structural, emergent properties, multi scale",Cluster_B,"Cluster_B: data understand, decoding emergent, integrating structural, multi scale"
Deciphering the Sequence-to-Emergent-Property Grammar of Biomolecular Condensates,Topic_1,"Topic_1: functional data, integrating structural, emergent properties, multi scale",Cluster_B,"Cluster_B: data understand, decoding emergent, integrating structural, multi scale"
Emergence of Cellular Morphology from Cytoskeletal Crosstalk and Motor Protein Dynamics,Topic_2,"Topic_2: protein interaction, decoding emergent, single cell, synthesizing emergent",Cluster_B,"Cluster_B: data understand, decoding emergent, integrating structural, multi scale"
Synthesizing the Emergent Properties of Chromatin Topology and Epigenetic Memory,Topic_2,"Topic_2: protein interaction, decoding emergent, single cell, synthesizing emergent",Cluster_B,"Cluster_B: data understand, decoding emergent, integrating structural, multi scale"
Emergence of Metabolic Adaptation through Mitochondrial Reticular Network Dynamics,Topic_2,"Topic_2: protein interaction, decoding emergent, single cell, synthesizing emergent",Cluster_A,"Cluster_A: mass spectrometry, 3d genome function, adaptation mitochondrial reticular, analysis bacterial organelles"
Decoding the Mesoscale Emergence of Lipid Raft Clustering and Transmembrane Signaling,Topic_2,"Topic_2: protein interaction, decoding emergent, single cell, synthesizing emergent",Cluster_B,"Cluster_B: data understand, decoding emergent, integrating structural, multi scale"
Uncovering the Rules of Nucleolar Assembly and Ribosome Biogenesis Emergence,Topic_2,"Topic_2: protein interaction, decoding emergent, single cell, synthesizing emergent",Cluster_B,"Cluster_B: data understand, decoding emergent, integrating structural, multi scale"
Emergent Dynamics of Synaptic Vesicle Pools and Neurotransmitter Release Probability,Topic_2,"Topic_2: protein interaction, decoding emergent, single cell, synthesizing emergent",Cluster_B,"Cluster_B: data understand, decoding emergent, integrating structural, multi scale"
Synthesizing the Mechanotransductive Emergence of Focal Adhesion Maturation,Topic_1,"Topic_1: functional data, integrating structural, emergent properties, multi scale",Cluster_B,"Cluster_B: data understand, decoding emergent, integrating structural, multi scale"
Decoding the Emergence of Stress Granules and Cellular Resilience Networks,Topic_2,"Topic_2: protein interaction, decoding emergent, single cell, synthesizing emergent",Cluster_B,"Cluster_B: data understand, decoding emergent, integrating structural, multi scale"
Emergent Transport Selectivity of the Nuclear Pore Complex Assembly,Topic_1,"Topic_1: functional data, integrating structural, emergent properties, multi scale",Cluster_B,"Cluster_B: data understand, decoding emergent, integrating structural, multi scale"
Synthesizing the Emergence of Autophagosomes at ER-Mitochondria Contact Sites,Topic_1,"Topic_1: functional data, integrating structural, emergent properties, multi scale",Cluster_B,"Cluster_B: data understand, decoding emergent, integrating structural, multi scale"
Emergent Cargo Sorting Dynamics in Extracellular Vesicle Biogenesis,Topic_2,"Topic_2: protein interaction, decoding emergent, single cell, synthesizing emergent",Cluster_B,"Cluster_B: data understand, decoding emergent, integrating structural, multi scale"
Decoding the Emergence of Viral Inclusion Bodies and Host Cell Hijacking,Topic_2,"Topic_2: protein interaction, decoding emergent, single cell, synthesizing emergent",Cluster_B,"Cluster_B: data understand, decoding emergent, integrating structural, multi scale"
Synthesizing the Emergent Biophysics of Centrosome Maturation and Spindle Bipolarity,Topic_1,"Topic_1: functional data, integrating structural, emergent properties, multi scale",Cluster_B,"Cluster_B: data understand, decoding emergent, integrating structural, multi scale"
Emergence of Secretory Flux from Golgi Cisternal Stacking Dynamics,Topic_2,"Topic_2: protein interaction, decoding emergent, single cell, synthesizing emergent",Cluster_B,"Cluster_B: data understand, decoding emergent, integrating structural, multi scale"
Decoding the Emergent Assembly of Plant Cell Wall Cellulose Synthase Rosettes,Topic_2,"Topic_2: protein interaction, decoding emergent, single cell, synthesizing emergent",Cluster_B,"Cluster_B: data understand, decoding emergent, integrating structural, multi scale"
Synthesizing the Emergent Assembly of Bacterial Microcompartments,Topic_2,"Topic_2: protein interaction, decoding emergent, single cell, synthesizing emergent",Cluster_B,"Cluster_B: data understand, decoding emergent, integrating structural, multi scale"
Emergence of Lipid Homeostasis through Peroxisome Biogenesis Networks,Topic_2,"Topic_2: protein interaction, decoding emergent, single cell, synthesizing emergent",Cluster_B,"Cluster_B: data understand, decoding emergent, integrating structural, multi scale"
Decoding the Emergent Membrane Scission Dynamics of the ESCRT Machinery,Topic_2,"Topic_2: protein interaction, decoding emergent, single cell, synthesizing emergent",Cluster_B,"Cluster_B: data understand, decoding emergent, integrating structural, multi scale"
Synthesizing the Emergent Architecture of the Cellular Glycocalyx Meshwork,Topic_2,"Topic_2: protein interaction, decoding emergent, single cell, synthesizing emergent",Cluster_B,"Cluster_B: data understand, decoding emergent, integrating structural, multi scale"
Emergent Contractility from Myosin II Thick Filament Assembly in Non-Muscle Cells,Topic_1,"Topic_1: functional data, integrating structural, emergent properties, multi scale",Cluster_B,"Cluster_B: data understand, decoding emergent, integrating structural, multi scale"
Decoding the Emergent Dynamics of Proteasome Clustering and Localized Degradation,Topic_2,"Topic_2: protein interaction, decoding emergent, single cell, synthesizing emergent",Cluster_B,"Cluster_B: data understand, decoding emergent, integrating structural, multi scale"
Synthesizing the Emergent Meshwork of the Nuclear Lamina and Genome Tethering,Topic_2,"Topic_2: protein interaction, decoding emergent, single cell, synthesizing emergent",Cluster_B,"Cluster_B: data understand, decoding emergent, integrating structural, multi scale"
Decoding the Emergent Logic of Phase-Separated Condensates: A Multi-Scale Data Synthesis of Biomolecular Organization Principles,Topic_1,"Topic_1: functional data, integrating structural, emergent properties, multi scale",Cluster_B,"Cluster_B: data understand, decoding emergent, integrating structural, multi scale"
"Temporal Emergence in Protein Interaction Networks: Synthesizing Dynamic Interactomics Across Cell Cycle, Circadian, and Stress Response Programs",Topic_2,"Topic_2: protein interaction, decoding emergent, single cell, synthesizing emergent",Cluster_A,"Cluster_A: mass spectrometry, 3d genome function, adaptation mitochondrial reticular, analysis bacterial organelles"
"The Mesoscale Architecture of Mitochondrial Contact Sites: Integrating Structural, Proteomic, and Functional Data to Understand Emergent Organelle Communication",Topic_1,"Topic_1: functional data, integrating structural, emergent properties, multi scale",Cluster_B,"Cluster_B: data understand, decoding emergent, integrating structural, multi scale"
"Emergent Properties of the Cellular Crowding Landscape: Synthesizing Biophysical, Structural, and Systems Data to Understand Macromolecular Organization",Topic_1,"Topic_1: functional data, integrating structural, emergent properties, multi scale",Cluster_B,"Cluster_B: data understand, decoding emergent, integrating structural, multi scale"
"Deciphering the Emergence of Cellular Polarity: Multi-Scale Data Synthesis Across Molecular, Mesoscale, and Cellular Organization",Topic_1,"Topic_1: functional data, integrating structural, emergent properties, multi scale",Cluster_B,"Cluster_B: data understand, decoding emergent, integrating structural, multi scale"
"The Grammar of Intrinsically Disordered Regions: Synthesizing Sequence, Structure, and Function Data to Predict Emergent Behaviors",Topic_1,"Topic_1: functional data, integrating structural, emergent properties, multi scale",Cluster_B,"Cluster_B: data understand, decoding emergent, integrating structural, multi scale"
"Emergent Organization of the Cytoskeletal Interactome: Integrating Structural, Dynamic, and Functional Data Across Actin, Microtubule, and Intermediate Filament Networks",Topic_1,"Topic_1: functional data, integrating structural, emergent properties, multi scale",Cluster_B,"Cluster_B: data understand, decoding emergent, integrating structural, multi scale"
Synthesizing the Spatiotemporal Logic of Post-Translational Modification Crosstalk: From Molecular Signals to Emergent Cellular Decisions,Topic_2,"Topic_2: protein interaction, decoding emergent, single cell, synthesizing emergent",Cluster_A,"Cluster_A: mass spectrometry, 3d genome function, adaptation mitochondrial reticular, analysis bacterial organelles"
"The Emergent Architecture of Stress Granules: Multi-Modal Data Synthesis to Understand Assembly, Composition, and Function",Topic_2,"Topic_2: protein interaction, decoding emergent, single cell, synthesizing emergent",Cluster_B,"Cluster_B: data understand, decoding emergent, integrating structural, multi scale"
"Decoding Emergent Metabolic Channeling: Synthesizing Structural, Interaction, and Flux Data to Understand Metabolon Organization",Topic_2,"Topic_2: protein interaction, decoding emergent, single cell, synthesizing emergent",Cluster_B,"Cluster_B: data understand, decoding emergent, integrating structural, multi scale"
"The Emergence of Ribosome Heterogeneity: Synthesizing Structural, Compositional, and Translational Data to Understand Specialized Ribosomes",Topic_2,"Topic_2: protein interaction, decoding emergent, single cell, synthesizing emergent",Cluster_B,"Cluster_B: data understand, decoding emergent, integrating structural, multi scale"
"Emergent Properties of the Nuclear Pore Complex: Integrating Structural, Transport, and Regulatory Data Across Scales",Topic_1,"Topic_1: functional data, integrating structural, emergent properties, multi scale",Cluster_B,"Cluster_B: data understand, decoding emergent, integrating structural, multi scale"
"The Emergence of Cellular Memory: Synthesizing Epigenetic, Transcriptional, and Chromatin Data to Understand Heritable Cell States",Topic_2,"Topic_2: protein interaction, decoding emergent, single cell, synthesizing emergent",Cluster_B,"Cluster_B: data understand, decoding emergent, integrating structural, multi scale"
"Decoding the Emergent Logic of Protein Quality Control Networks: Multi-Scale Synthesis of Chaperone, Degradation, and Aggregation Data",Topic_2,"Topic_2: protein interaction, decoding emergent, single cell, synthesizing emergent",Cluster_B,"Cluster_B: data understand, decoding emergent, integrating structural, multi scale"
"The Emergence of Signaling Specificity: Synthesizing Interaction, Localization, and Kinetic Data to Understand Pathway Insulation",Topic_2,"Topic_2: protein interaction, decoding emergent, single cell, synthesizing emergent",Cluster_B,"Cluster_B: data understand, decoding emergent, integrating structural, multi scale"
"Emergent Properties of the Centrosome: Integrating Structural, Compositional, and Functional Data to Understand Microtubule Organizing Center Function",Topic_1,"Topic_1: functional data, integrating structural, emergent properties, multi scale",Cluster_B,"Cluster_B: data understand, decoding emergent, integrating structural, multi scale"
"The Emergence of Autophagosome Selectivity: Synthesizing Receptor, Cargo, and Membrane Data to Understand Selective Autophagy",Topic_1,"Topic_1: functional data, integrating structural, emergent properties, multi scale",Cluster_B,"Cluster_B: data understand, decoding emergent, integrating structural, multi scale"
"Decoding Emergent mRNA Fate Decisions: Synthesizing RNA-Protein Interaction, Localization, and Decay Data",Topic_2,"Topic_2: protein interaction, decoding emergent, single cell, synthesizing emergent",Cluster_B,"Cluster_B: data understand, decoding emergent, integrating structural, multi scale"
"The Emergence of Synaptic Organization: Integrating Proteomic, Structural, and Functional Data Across Synaptic Compartments",Topic_1,"Topic_1: functional data, integrating structural, emergent properties, multi scale",Cluster_B,"Cluster_B: data understand, decoding emergent, integrating structural, multi scale"
"Emergent Properties of the Glycocalyx: Synthesizing Glycomic, Proteomic, and Functional Data to Understand Cell Surface Organization",Topic_1,"Topic_1: functional data, integrating structural, emergent properties, multi scale",Cluster_B,"Cluster_B: data understand, decoding emergent, integrating structural, multi scale"
"The Emergence of Enhancer-Promoter Specificity: Synthesizing Chromatin, Transcription, and 3D Genome Data",Topic_2,"Topic_2: protein interaction, decoding emergent, single cell, synthesizing emergent",Cluster_B,"Cluster_B: data understand, decoding emergent, integrating structural, multi scale"
"Decoding the Emergent Organization of the Endoplasmic Reticulum: Multi-Scale Synthesis of Structure, Function, and Dynamics",Topic_1,"Topic_1: functional data, integrating structural, emergent properties, multi scale",Cluster_B,"Cluster_B: data understand, decoding emergent, integrating structural, multi scale"
"The Emergence of Cellular Mechanoresponses: Synthesizing Force, Structural, and Signaling Data Across Mechanotransduction Pathways",Topic_2,"Topic_2: protein interaction, decoding emergent, single cell, synthesizing emergent",Cluster_B,"Cluster_B: data understand, decoding emergent, integrating structural, multi scale"
