proposal_uid,title,group_model,group_binary,median_neighbor_year,mean_neighbor_year,lit_region_stratum,lit_region_label
P_018,SynEvo: Discovering Evolutionary Principles of Molecular Organization through Cross-Species Data Synthesis,Human,Human,2023.0,2022.2,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention"
P_019,A Unified Framework for Analyses of Proteome Turnover Dynamics,Human,Human,2020.0,2020.75,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention"
P_020,Predictive Synthesis Framework for Elucidating Biophysical Cell State from Spatial Transcriptomics and Proteomics,Human,Human,2023.0,2021.3,5,"therapeutic strategies including, exosomes emerging, epigenetic modulation, solid cancers"
P_021,Integrating AI and Molecular Dynamics Simulations for Quantitative Prediction of Enzyme Functions,Human,Human,2020.0,2019.75,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention"
P_022,Discovery and functional analysis of bacterial organelles through mining and refinement of omics data,Human,Human,2021.0,2020.85,1,"details use execution, myosin motors, nascent chain, origin life"
P_023,A Cross-Modal Synthesis of Biomolecular Condensate Material Properties and Cellular Function Across Species and Perturbations,GPT-5.2,AI,2024.0,2023.7,1,"details use execution, myosin motors, nascent chain, origin life"
P_024,"Emergent Principles of Organelle Contact Sites: A Synthesis of Proteomics, Imaging, and Genetic Interaction Data",GPT-5.2,AI,2023.0,2022.75,1,"details use execution, myosin motors, nascent chain, origin life"
P_025,"A Pan-Cell Atlas of Cytoskeletal Self-Organization: Integrating Live-Cell Imaging, Proteomics, and Biophysical Models",GPT-5.2,AI,2022.0,2021.3,1,"details use execution, myosin motors, nascent chain, origin life"
P_026,"Emergent Chromatin Domains at the Mesoscale: Synthesizing Hi-C, Imaging, and Epigenomic Data to Explain 3D Genome Function",GPT-5.2,AI,2023.0,2022.15,1,"details use execution, myosin motors, nascent chain, origin life"
P_027,"A Unified Synthesis of Protein Complex Stoichiometry and Assembly Pathways from Structural, Proteomic, and Ribosome Profiling Data",GPT-5.2,AI,2022.0,2020.85,1,"details use execution, myosin motors, nascent chain, origin life"
P_028,"Mesoscale Metabolic Channeling: Synthesizing Spatial Proteomics, Metabolomics, and Enzyme Complex Data to Map Functional Microdomains",GPT-5.2,AI,2022.0,2021.4,1,"details use execution, myosin motors, nascent chain, origin life"
P_029,Emergent Robustness in Gene Regulatory Networks: A Synthesis of Single-Cell Perturbation Atlases Across Cell Types,GPT-5.2,AI,2024.0,2022.25,1,"details use execution, myosin motors, nascent chain, origin life"
P_030,"A Community Synthesis of Mesoscale Protein Quality Control: Integrating Proteostasis Networks, Aggregation Data, and Stress Responses",GPT-5.2,AI,2023.0,2021.8,1,"details use execution, myosin motors, nascent chain, origin life"
P_031,"Emergent Cell Polarity from Molecular Interactions: Synthesizing Spatial Transcriptomics, Proteomics, and Imaging Across Epithelia",GPT-5.2,AI,2025.0,2023.8,1,"details use execution, myosin motors, nascent chain, origin life"
P_032,"A Synthesis of Mitochondrial Network Emergence: Linking Morphodynamics, Proteostasis, and Bioenergetics Across Cell Types",GPT-5.2,AI,2024.0,2023.0,1,"details use execution, myosin motors, nascent chain, origin life"
P_033,"Emergent Signaling Specificity: Integrating Single-Cell Phospho-Proteomics, Kinase Networks, and Imaging to Decode Pathway Crosstalk",GPT-5.2,AI,2024.0,2021.9,1,"details use execution, myosin motors, nascent chain, origin life"
P_034,A Comparative Synthesis of Ribosome Heterogeneity and Specialized Translation Across Tissues and Stress Conditions,GPT-5.2,AI,2021.0,2020.55,1,"details use execution, myosin motors, nascent chain, origin life"
P_035,"Emergent Properties of Membrane Microdomains: Integrating Lipidomics, Proteomics, and Super-Resolution Imaging of Raft-Like Assemblies",GPT-5.2,AI,2023.0,2022.7,1,"details use execution, myosin motors, nascent chain, origin life"
P_036,A Multi-Scale Synthesis of Endocytic Trafficking Emergence: From Coat Assembly to Organelle Identity,GPT-5.2,AI,2023.5,2023.3,1,"details use execution, myosin motors, nascent chain, origin life"
P_037,"Emergent Control of Cell Cycle Transitions: Integrating Single-Cell Time Series, Proteomics, and Perturbation Screens",GPT-5.2,AI,2024.0,2023.05,1,"details use execution, myosin motors, nascent chain, origin life"
P_038,"A Synthesis of Nuclear Body Emergence: Integrating Proteomics, RNA Localization, and Imaging of Speckles, Nucleoli, and PML Bodies",GPT-5.2,AI,2022.0,2021.45,1,"details use execution, myosin motors, nascent chain, origin life"
P_039,"Emergent Antibiotic Tolerance Mechanisms: Synthesizing Bacterial Single-Cell Physiology, Transcriptomics, and Metabolic Models",GPT-5.2,AI,2022.5,2022.4,1,"details use execution, myosin motors, nascent chain, origin life"
P_040,"A Cross-Species Synthesis of Autophagosome Biogenesis: Integrating Proteomics, Lipid Signatures, and Imaging Dynamics",GPT-5.2,AI,2023.0,2022.65,1,"details use execution, myosin motors, nascent chain, origin life"
P_041,"Emergent RNA Localization Codes: Synthesizing Subcellular Transcriptomics, RBP Binding Maps, and Imaging to Predict RNA Destinations",GPT-5.2,AI,2022.5,2021.95,1,"details use execution, myosin motors, nascent chain, origin life"
P_042,"A Community Meta-Analysis of Multivesicular Body and Exosome Biogenesis: Integrating ESCRT Networks, Proteomics, and Imaging",GPT-5.2,AI,2024.0,2022.2,1,"details use execution, myosin motors, nascent chain, origin life"
P_043,"Emergent Mechanics of the Nucleus: Integrating Lamin Variants, Chromatin State, and Microscopy-Based Deformation Phenotypes",GPT-5.2,AI,2023.0,2022.85,1,"details use execution, myosin motors, nascent chain, origin life"
P_044,"A Synthesis of Spatially Structured Immune Synapse Formation: Integrating Imaging, Proteomics, and Signaling Perturbation Data",GPT-5.2,AI,2023.5,2022.4,1,"details use execution, myosin motors, nascent chain, origin life"
P_045,"Emergent Principles of Protein Allostery at Scale: Integrating Structural Ensembles, Mutational Scans, and Functional Genomics",GPT-5.2,AI,2024.0,2021.55,1,"details use execution, myosin motors, nascent chain, origin life"
P_046,Deciphering the Sequence-to-Emergent-Property Grammar of Biomolecular Condensates,Gemini,AI,2024.0,2022.75,1,"details use execution, myosin motors, nascent chain, origin life"
P_047,Emergence of Cellular Morphology from Cytoskeletal Crosstalk and Motor Protein Dynamics,Gemini,AI,2022.5,2022.15,1,"details use execution, myosin motors, nascent chain, origin life"
P_048,Synthesizing the Emergent Properties of Chromatin Topology and Epigenetic Memory,Gemini,AI,2025.0,2023.2,1,"details use execution, myosin motors, nascent chain, origin life"
P_049,Emergence of Metabolic Adaptation through Mitochondrial Reticular Network Dynamics,Gemini,AI,2022.0,2021.85,1,"details use execution, myosin motors, nascent chain, origin life"
P_050,Decoding the Mesoscale Emergence of Lipid Raft Clustering and Transmembrane Signaling,Gemini,AI,2023.5,2022.35,1,"details use execution, myosin motors, nascent chain, origin life"
P_051,Uncovering the Rules of Nucleolar Assembly and Ribosome Biogenesis Emergence,Gemini,AI,2022.0,2021.55,1,"details use execution, myosin motors, nascent chain, origin life"
P_052,Emergent Dynamics of Synaptic Vesicle Pools and Neurotransmitter Release Probability,Gemini,AI,2023.5,2022.3,1,"details use execution, myosin motors, nascent chain, origin life"
P_053,Synthesizing the Mechanotransductive Emergence of Focal Adhesion Maturation,Gemini,AI,2022.0,2021.25,1,"details use execution, myosin motors, nascent chain, origin life"
P_054,Decoding the Emergence of Stress Granules and Cellular Resilience Networks,Gemini,AI,2024.0,2021.9,1,"details use execution, myosin motors, nascent chain, origin life"
P_055,Emergent Transport Selectivity of the Nuclear Pore Complex Assembly,Gemini,AI,2023.5,2023.05,1,"details use execution, myosin motors, nascent chain, origin life"
P_056,Synthesizing the Emergence of Autophagosomes at ER-Mitochondria Contact Sites,Gemini,AI,2021.5,2021.5,1,"details use execution, myosin motors, nascent chain, origin life"
P_057,Emergent Cargo Sorting Dynamics in Extracellular Vesicle Biogenesis,Gemini,AI,2022.5,2022.35,1,"details use execution, myosin motors, nascent chain, origin life"
P_058,Decoding the Emergence of Viral Inclusion Bodies and Host Cell Hijacking,Gemini,AI,2022.0,2021.05,1,"details use execution, myosin motors, nascent chain, origin life"
P_059,Synthesizing the Emergent Biophysics of Centrosome Maturation and Spindle Bipolarity,Gemini,AI,2023.0,2021.85,1,"details use execution, myosin motors, nascent chain, origin life"
P_060,Emergence of Secretory Flux from Golgi Cisternal Stacking Dynamics,Gemini,AI,2023.5,2022.15,1,"details use execution, myosin motors, nascent chain, origin life"
P_061,Decoding the Emergent Assembly of Plant Cell Wall Cellulose Synthase Rosettes,Gemini,AI,2022.5,2022.15,1,"details use execution, myosin motors, nascent chain, origin life"
P_062,Synthesizing the Emergent Assembly of Bacterial Microcompartments,Gemini,AI,2021.5,2020.75,1,"details use execution, myosin motors, nascent chain, origin life"
P_063,Emergence of Lipid Homeostasis through Peroxisome Biogenesis Networks,Gemini,AI,2022.0,2021.9,1,"details use execution, myosin motors, nascent chain, origin life"
P_064,Decoding the Emergent Membrane Scission Dynamics of the ESCRT Machinery,Gemini,AI,2024.0,2023.15,1,"details use execution, myosin motors, nascent chain, origin life"
P_065,Synthesizing the Emergent Architecture of the Cellular Glycocalyx Meshwork,Gemini,AI,2021.5,2021.25,1,"details use execution, myosin motors, nascent chain, origin life"
P_066,Emergent Contractility from Myosin II Thick Filament Assembly in Non-Muscle Cells,Gemini,AI,2022.0,2021.7,1,"details use execution, myosin motors, nascent chain, origin life"
P_067,Decoding the Emergent Dynamics of Proteasome Clustering and Localized Degradation,Gemini,AI,2022.0,2021.7,1,"details use execution, myosin motors, nascent chain, origin life"
P_068,Synthesizing the Emergent Meshwork of the Nuclear Lamina and Genome Tethering,Gemini,AI,2025.0,2022.65,1,"details use execution, myosin motors, nascent chain, origin life"
P_069,Decoding the Emergent Logic of Phase-Separated Condensates: A Multi-Scale Data Synthesis of Biomolecular Organization Principles,Claude,AI,2022.0,2022.0,1,"details use execution, myosin motors, nascent chain, origin life"
P_070,"Temporal Emergence in Protein Interaction Networks: Synthesizing Dynamic Interactomics Across Cell Cycle, Circadian, and Stress Response Programs",Claude,AI,2021.5,2020.1,1,"details use execution, myosin motors, nascent chain, origin life"
P_071,"The Mesoscale Architecture of Mitochondrial Contact Sites: Integrating Structural, Proteomic, and Functional Data to Understand Emergent Organelle Communication",Claude,AI,2022.0,2021.5,1,"details use execution, myosin motors, nascent chain, origin life"
P_072,"Emergent Properties of the Cellular Crowding Landscape: Synthesizing Biophysical, Structural, and Systems Data to Understand Macromolecular Organization",Claude,AI,2021.0,2020.0,1,"details use execution, myosin motors, nascent chain, origin life"
P_073,"Deciphering the Emergence of Cellular Polarity: Multi-Scale Data Synthesis Across Molecular, Mesoscale, and Cellular Organization",Claude,AI,2021.0,2020.45,1,"details use execution, myosin motors, nascent chain, origin life"
P_074,"The Grammar of Intrinsically Disordered Regions: Synthesizing Sequence, Structure, and Function Data to Predict Emergent Behaviors",Claude,AI,2023.5,2021.7,1,"details use execution, myosin motors, nascent chain, origin life"
P_075,"Emergent Organization of the Cytoskeletal Interactome: Integrating Structural, Dynamic, and Functional Data Across Actin, Microtubule, and Intermediate Filament Networks",Claude,AI,2020.0,2018.9,1,"details use execution, myosin motors, nascent chain, origin life"
P_076,Synthesizing the Spatiotemporal Logic of Post-Translational Modification Crosstalk: From Molecular Signals to Emergent Cellular Decisions,Claude,AI,2022.0,2019.7,1,"details use execution, myosin motors, nascent chain, origin life"
P_077,"The Emergent Architecture of Stress Granules: Multi-Modal Data Synthesis to Understand Assembly, Composition, and Function",Claude,AI,2021.5,2020.7,1,"details use execution, myosin motors, nascent chain, origin life"
P_078,"Decoding Emergent Metabolic Channeling: Synthesizing Structural, Interaction, and Flux Data to Understand Metabolon Organization",Claude,AI,2021.0,2019.15,1,"details use execution, myosin motors, nascent chain, origin life"
P_079,"The Emergence of Ribosome Heterogeneity: Synthesizing Structural, Compositional, and Translational Data to Understand Specialized Ribosomes",Claude,AI,2021.5,2020.65,1,"details use execution, myosin motors, nascent chain, origin life"
P_080,"Emergent Properties of the Nuclear Pore Complex: Integrating Structural, Transport, and Regulatory Data Across Scales",Claude,AI,2021.0,2019.45,1,"details use execution, myosin motors, nascent chain, origin life"
P_081,"The Emergence of Cellular Memory: Synthesizing Epigenetic, Transcriptional, and Chromatin Data to Understand Heritable Cell States",Claude,AI,2022.0,2021.25,1,"details use execution, myosin motors, nascent chain, origin life"
P_082,"Decoding the Emergent Logic of Protein Quality Control Networks: Multi-Scale Synthesis of Chaperone, Degradation, and Aggregation Data",Claude,AI,2020.5,2019.1,1,"details use execution, myosin motors, nascent chain, origin life"
P_083,"The Emergence of Signaling Specificity: Synthesizing Interaction, Localization, and Kinetic Data to Understand Pathway Insulation",Claude,AI,2020.0,2018.4,1,"details use execution, myosin motors, nascent chain, origin life"
P_084,"Emergent Properties of the Centrosome: Integrating Structural, Compositional, and Functional Data to Understand Microtubule Organizing Center Function",Claude,AI,2023.0,2021.3,1,"details use execution, myosin motors, nascent chain, origin life"
P_085,"The Emergence of Autophagosome Selectivity: Synthesizing Receptor, Cargo, and Membrane Data to Understand Selective Autophagy",Claude,AI,2021.0,2020.2,1,"details use execution, myosin motors, nascent chain, origin life"
P_086,"Decoding Emergent mRNA Fate Decisions: Synthesizing RNA-Protein Interaction, Localization, and Decay Data",Claude,AI,2020.0,2020.0,1,"details use execution, myosin motors, nascent chain, origin life"
P_087,"The Emergence of Synaptic Organization: Integrating Proteomic, Structural, and Functional Data Across Synaptic Compartments",Claude,AI,2021.0,2019.45,1,"details use execution, myosin motors, nascent chain, origin life"
P_088,"Emergent Properties of the Glycocalyx: Synthesizing Glycomic, Proteomic, and Functional Data to Understand Cell Surface Organization",Claude,AI,2022.5,2021.2,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention"
P_089,"The Emergence of Enhancer-Promoter Specificity: Synthesizing Chromatin, Transcription, and 3D Genome Data",Claude,AI,2020.5,2019.25,1,"details use execution, myosin motors, nascent chain, origin life"
P_090,"Decoding the Emergent Organization of the Endoplasmic Reticulum: Multi-Scale Synthesis of Structure, Function, and Dynamics",Claude,AI,2021.0,2019.5,1,"details use execution, myosin motors, nascent chain, origin life"
P_091,"The Emergence of Cellular Mechanoresponses: Synthesizing Force, Structural, and Signaling Data Across Mechanotransduction Pathways",Claude,AI,2021.0,2020.05,1,"details use execution, myosin motors, nascent chain, origin life"
