title,group_binary,group_model,proposal_bertopic_topic,proposal_bertopic_display_label
"A Synthesis of Spatially Structured Immune Synapse Formation: Integrating Imaging, Proteomics, and Signaling Perturbation Data",AI,GPT-5.2,0,"data understand, decoding emergent, integrating structural, multi scale"
"Emergent Principles of Protein Allostery at Scale: Integrating Structural Ensembles, Mutational Scans, and Functional Genomics",AI,GPT-5.2,0,"data understand, decoding emergent, integrating structural, multi scale"
Deciphering the Sequence-to-Emergent-Property Grammar of Biomolecular Condensates,AI,Gemini,0,"data understand, decoding emergent, integrating structural, multi scale"
Emergence of Cellular Morphology from Cytoskeletal Crosstalk and Motor Protein Dynamics,AI,Gemini,0,"data understand, decoding emergent, integrating structural, multi scale"
Synthesizing the Emergent Properties of Chromatin Topology and Epigenetic Memory,AI,Gemini,0,"data understand, decoding emergent, integrating structural, multi scale"
Emergence of Metabolic Adaptation through Mitochondrial Reticular Network Dynamics,AI,Gemini,1,"mass spectrometry, 3d genome function, adaptation mitochondrial reticular, analysis bacterial organelles"
Decoding the Mesoscale Emergence of Lipid Raft Clustering and Transmembrane Signaling,AI,Gemini,0,"data understand, decoding emergent, integrating structural, multi scale"
Uncovering the Rules of Nucleolar Assembly and Ribosome Biogenesis Emergence,AI,Gemini,0,"data understand, decoding emergent, integrating structural, multi scale"
Emergent Dynamics of Synaptic Vesicle Pools and Neurotransmitter Release Probability,AI,Gemini,0,"data understand, decoding emergent, integrating structural, multi scale"
Synthesizing the Mechanotransductive Emergence of Focal Adhesion Maturation,AI,Gemini,0,"data understand, decoding emergent, integrating structural, multi scale"
Decoding the Emergence of Stress Granules and Cellular Resilience Networks,AI,Gemini,0,"data understand, decoding emergent, integrating structural, multi scale"
Emergent Transport Selectivity of the Nuclear Pore Complex Assembly,AI,Gemini,0,"data understand, decoding emergent, integrating structural, multi scale"
Synthesizing the Emergence of Autophagosomes at ER-Mitochondria Contact Sites,AI,Gemini,0,"data understand, decoding emergent, integrating structural, multi scale"
Emergent Cargo Sorting Dynamics in Extracellular Vesicle Biogenesis,AI,Gemini,0,"data understand, decoding emergent, integrating structural, multi scale"
Decoding the Emergence of Viral Inclusion Bodies and Host Cell Hijacking,AI,Gemini,0,"data understand, decoding emergent, integrating structural, multi scale"
Synthesizing the Emergent Biophysics of Centrosome Maturation and Spindle Bipolarity,AI,Gemini,0,"data understand, decoding emergent, integrating structural, multi scale"
Emergence of Secretory Flux from Golgi Cisternal Stacking Dynamics,AI,Gemini,0,"data understand, decoding emergent, integrating structural, multi scale"
Decoding the Emergent Assembly of Plant Cell Wall Cellulose Synthase Rosettes,AI,Gemini,0,"data understand, decoding emergent, integrating structural, multi scale"
Synthesizing the Emergent Assembly of Bacterial Microcompartments,AI,Gemini,0,"data understand, decoding emergent, integrating structural, multi scale"
Emergence of Lipid Homeostasis through Peroxisome Biogenesis Networks,AI,Gemini,0,"data understand, decoding emergent, integrating structural, multi scale"
Decoding the Emergent Membrane Scission Dynamics of the ESCRT Machinery,AI,Gemini,0,"data understand, decoding emergent, integrating structural, multi scale"
Synthesizing the Emergent Architecture of the Cellular Glycocalyx Meshwork,AI,Gemini,0,"data understand, decoding emergent, integrating structural, multi scale"
Emergent Contractility from Myosin II Thick Filament Assembly in Non-Muscle Cells,AI,Gemini,0,"data understand, decoding emergent, integrating structural, multi scale"
Decoding the Emergent Dynamics of Proteasome Clustering and Localized Degradation,AI,Gemini,0,"data understand, decoding emergent, integrating structural, multi scale"
Synthesizing the Emergent Meshwork of the Nuclear Lamina and Genome Tethering,AI,Gemini,0,"data understand, decoding emergent, integrating structural, multi scale"
Decoding the Emergent Logic of Phase-Separated Condensates: A Multi-Scale Data Synthesis of Biomolecular Organization Principles,AI,Claude,0,"data understand, decoding emergent, integrating structural, multi scale"
"Temporal Emergence in Protein Interaction Networks: Synthesizing Dynamic Interactomics Across Cell Cycle, Circadian, and Stress Response Programs",AI,Claude,1,"mass spectrometry, 3d genome function, adaptation mitochondrial reticular, analysis bacterial organelles"
"The Mesoscale Architecture of Mitochondrial Contact Sites: Integrating Structural, Proteomic, and Functional Data to Understand Emergent Organelle Communication",AI,Claude,0,"data understand, decoding emergent, integrating structural, multi scale"
"Emergent Properties of the Cellular Crowding Landscape: Synthesizing Biophysical, Structural, and Systems Data to Understand Macromolecular Organization",AI,Claude,0,"data understand, decoding emergent, integrating structural, multi scale"
"Deciphering the Emergence of Cellular Polarity: Multi-Scale Data Synthesis Across Molecular, Mesoscale, and Cellular Organization",AI,Claude,0,"data understand, decoding emergent, integrating structural, multi scale"
"The Grammar of Intrinsically Disordered Regions: Synthesizing Sequence, Structure, and Function Data to Predict Emergent Behaviors",AI,Claude,0,"data understand, decoding emergent, integrating structural, multi scale"
"Emergent Organization of the Cytoskeletal Interactome: Integrating Structural, Dynamic, and Functional Data Across Actin, Microtubule, and Intermediate Filament Networks",AI,Claude,0,"data understand, decoding emergent, integrating structural, multi scale"
Synthesizing the Spatiotemporal Logic of Post-Translational Modification Crosstalk: From Molecular Signals to Emergent Cellular Decisions,AI,Claude,1,"mass spectrometry, 3d genome function, adaptation mitochondrial reticular, analysis bacterial organelles"
"The Emergent Architecture of Stress Granules: Multi-Modal Data Synthesis to Understand Assembly, Composition, and Function",AI,Claude,0,"data understand, decoding emergent, integrating structural, multi scale"
"Decoding Emergent Metabolic Channeling: Synthesizing Structural, Interaction, and Flux Data to Understand Metabolon Organization",AI,Claude,0,"data understand, decoding emergent, integrating structural, multi scale"
"The Emergence of Ribosome Heterogeneity: Synthesizing Structural, Compositional, and Translational Data to Understand Specialized Ribosomes",AI,Claude,0,"data understand, decoding emergent, integrating structural, multi scale"
"Emergent Properties of the Nuclear Pore Complex: Integrating Structural, Transport, and Regulatory Data Across Scales",AI,Claude,0,"data understand, decoding emergent, integrating structural, multi scale"
"The Emergence of Cellular Memory: Synthesizing Epigenetic, Transcriptional, and Chromatin Data to Understand Heritable Cell States",AI,Claude,0,"data understand, decoding emergent, integrating structural, multi scale"
"Decoding the Emergent Logic of Protein Quality Control Networks: Multi-Scale Synthesis of Chaperone, Degradation, and Aggregation Data",AI,Claude,0,"data understand, decoding emergent, integrating structural, multi scale"
"The Emergence of Signaling Specificity: Synthesizing Interaction, Localization, and Kinetic Data to Understand Pathway Insulation",AI,Claude,0,"data understand, decoding emergent, integrating structural, multi scale"
"Emergent Properties of the Centrosome: Integrating Structural, Compositional, and Functional Data to Understand Microtubule Organizing Center Function",AI,Claude,0,"data understand, decoding emergent, integrating structural, multi scale"
"The Emergence of Autophagosome Selectivity: Synthesizing Receptor, Cargo, and Membrane Data to Understand Selective Autophagy",AI,Claude,0,"data understand, decoding emergent, integrating structural, multi scale"
"Decoding Emergent mRNA Fate Decisions: Synthesizing RNA-Protein Interaction, Localization, and Decay Data",AI,Claude,0,"data understand, decoding emergent, integrating structural, multi scale"
"The Emergence of Synaptic Organization: Integrating Proteomic, Structural, and Functional Data Across Synaptic Compartments",AI,Claude,0,"data understand, decoding emergent, integrating structural, multi scale"
"Emergent Properties of the Glycocalyx: Synthesizing Glycomic, Proteomic, and Functional Data to Understand Cell Surface Organization",AI,Claude,0,"data understand, decoding emergent, integrating structural, multi scale"
"The Emergence of Enhancer-Promoter Specificity: Synthesizing Chromatin, Transcription, and 3D Genome Data",AI,Claude,0,"data understand, decoding emergent, integrating structural, multi scale"
"Decoding the Emergent Organization of the Endoplasmic Reticulum: Multi-Scale Synthesis of Structure, Function, and Dynamics",AI,Claude,0,"data understand, decoding emergent, integrating structural, multi scale"
"The Emergence of Cellular Mechanoresponses: Synthesizing Force, Structural, and Signaling Data Across Mechanotransduction Pathways",AI,Claude,0,"data understand, decoding emergent, integrating structural, multi scale"
