review_uid,review_type,review_source,source_file,proposal_id,title,title_norm,author,evaluator,overall_score,review_text,new_question_topic_or_framing,new_theory_concept_method_dataset_or_design,unusual_combination_of_existing_ideas,beyond_state_of_the_art,credible_high_risk_high_gain,unique_knowledge_generation,proposal_uid
novelty-ai-0010,novelty,ai,novelty_reviews_20260416_122206.json,emergent chromatin domains at the mesoscale synthesizing hic imaging and epigenomic data to explain 3d genome function,"Emergent Chromatin Domains at the Mesoscale: Synthesizing Hi-C, Imaging, and Epigenomic Data to Explain 3D Genome Function",emergent chromatin domains at the mesoscale synthesizing hic imaging and epigenomic data to explain 3d genome function,gpt-5.2,gemini-3-pro-preview,4.2,"The proposal outlines a highly ambitious, community-scale synthesis project. While it does not ask fundamentally new biological questions, it proposes a novel and massive-scale integration of existing, siloed data to finally answer long-standing puzzles in 3D genomics. Its strongest novelty lies in the unusual combination of five distinct data modalities and its potential to generate unique, cross-context knowledge by adjudicating competing mechanistic models. The primary risk is the feasibility of harmonizing such heterogeneous public data, but the potential payoff for the field is transformative.",3.0,4.0,5.0,4.0,4.0,5.0,gpt-5.2::emergent chromatin domains at the mesoscale synthesizing hic imaging and epigenomic data to explain 3d genome function
novelty-ai-0011,novelty,ai,novelty_reviews_20260416_122206.json,emergent chromatin domains at the mesoscale synthesizing hic imaging and epigenomic data to explain 3d genome function,"Emergent Chromatin Domains at the Mesoscale: Synthesizing Hi-C, Imaging, and Epigenomic Data to Explain 3D Genome Function",emergent chromatin domains at the mesoscale synthesizing hic imaging and epigenomic data to explain 3d genome function,gpt-5.2,claude-opus-4-5,,,,,,,,,gpt-5.2::emergent chromatin domains at the mesoscale synthesizing hic imaging and epigenomic data to explain 3d genome function
novelty-ai-0012,novelty,ai,novelty_reviews_20260416_122206.json,a unified synthesis of protein complex stoichiometry and assembly pathways from structural proteomic and ribosome profiling data,"A Unified Synthesis of Protein Complex Stoichiometry and Assembly Pathways from Structural, Proteomic, and Ribosome Profiling Data",a unified synthesis of protein complex stoichiometry and assembly pathways from structural proteomic and ribosome profiling data,gpt-5.2,gpt-5.2,4.0,"The proposal makes a strong case for novelty primarily through an unusually broad and explicitly coupled integration of structural interfaces, proteomics, ribosome profiling, co-translational/chaperone evidence, and genetic dependency data to infer protein-complex stoichiometry control and assembly pathways at scale. Its problem framing as a unified mesoscale synthesis gap is compelling and likely beyond incremental work. Novelty is somewhat weaker on “new method/theory” because the modeling toolkit is described at a high level using standard components, with limited detail on what is algorithmically new versus integrative engineering. Overall, the proposal’s novelty case is strong on recombination, ambitious scope, and potential unique derived resources/insights, with remaining uncertainty about identifiability and evaluation rigor for assembly-order inference.",4.0,3.0,5.0,4.0,4.0,4.0,gpt-5.2::a unified synthesis of protein complex stoichiometry and assembly pathways from structural proteomic and ribosome profiling data
novelty-ai-0013,novelty,ai,novelty_reviews_20260416_122206.json,a unified synthesis of protein complex stoichiometry and assembly pathways from structural proteomic and ribosome profiling data,"A Unified Synthesis of Protein Complex Stoichiometry and Assembly Pathways from Structural, Proteomic, and Ribosome Profiling Data",a unified synthesis of protein complex stoichiometry and assembly pathways from structural proteomic and ribosome profiling data,gpt-5.2,gemini-3-pro-preview,4.8,"This is an exceptionally novel and ambitious proposal that aims to solve a major synthesis gap in molecular biology: understanding the global rules of protein complex stoichiometry and assembly. By framing complex assembly as a 'mesoscale emergence' problem and proposing a highly unusual combination of structural, proteomic, translational, and genetic dependency data, the proposal moves far beyond the state of the art of single-complex biochemistry. The planned 'Complex Assembly Atlas' and the probabilistic methods developed to build it represent significant methodological and resource-generation novelty. The primary risk lies in the massive data harmonization required across noisy public repositories, but the potential payoff in understanding disease vulnerabilities and fundamental cellular robustness justifies the risk.",5.0,5.0,5.0,5.0,4.0,5.0,gpt-5.2::a unified synthesis of protein complex stoichiometry and assembly pathways from structural proteomic and ribosome profiling data
novelty-ai-0014,novelty,ai,novelty_reviews_20260416_122206.json,a unified synthesis of protein complex stoichiometry and assembly pathways from structural proteomic and ribosome profiling data,"A Unified Synthesis of Protein Complex Stoichiometry and Assembly Pathways from Structural, Proteomic, and Ribosome Profiling Data",a unified synthesis of protein complex stoichiometry and assembly pathways from structural proteomic and ribosome profiling data,gpt-5.2,claude-opus-4-5,,,,,,,,,gpt-5.2::a unified synthesis of protein complex stoichiometry and assembly pathways from structural proteomic and ribosome profiling data
novelty-ai-0015,novelty,ai,novelty_reviews_20260416_122206.json,mesoscale metabolic channeling synthesizing spatial proteomics metabolomics and enzyme complex data to map functional microdomains,"Mesoscale Metabolic Channeling: Synthesizing Spatial Proteomics, Metabolomics, and Enzyme Complex Data to Map Functional Microdomains",mesoscale metabolic channeling synthesizing spatial proteomics metabolomics and enzyme complex data to map functional microdomains,gpt-5.2,gpt-5.2,4.0,"The proposal makes a strong case for novelty primarily through an unusual, well-specified recombination: integrating spatial proteomics, proximity labeling, imaging localization, interaction/complex databases, metabolomics, and flux/GEM modeling to infer and benchmark metabolic microdomains and channeling signatures. The problem framing (mesoscale spatial organization as an emergent determinant of metabolic behavior) is clear and articulated via concrete research questions. Methodological novelty is present but less strongly substantiated because the proposal does not precisely delineate what is fundamentally new versus adapted from existing multi-omics integration and metabolic modeling practices. Overall, it is ambitious and plausibly beyond incremental work, with credible high-risk/high-gain characteristics given the inference challenges and potential payoff (atlas + benchmarks + improved modeling assumptions).",4.0,3.0,5.0,4.0,4.0,4.0,gpt-5.2::mesoscale metabolic channeling synthesizing spatial proteomics metabolomics and enzyme complex data to map functional microdomains
novelty-ai-0016,novelty,ai,novelty_reviews_20260416_122206.json,mesoscale metabolic channeling synthesizing spatial proteomics metabolomics and enzyme complex data to map functional microdomains,"Mesoscale Metabolic Channeling: Synthesizing Spatial Proteomics, Metabolomics, and Enzyme Complex Data to Map Functional Microdomains",mesoscale metabolic channeling synthesizing spatial proteomics metabolomics and enzyme complex data to map functional microdomains,gpt-5.2,gemini-3-pro-preview,5.0,"This proposal presents a highly novel and ambitious plan to reframe metabolic modeling by incorporating mesoscale spatial organization. While the concept of metabolic channeling is biochemically established, the proposal's approach to systematically map and model it at a community scale using a massive integration of six disparate omics and imaging modalities is unprecedented. The planned deliverables, including an 'atlas of metabolic microdomains' and 'spatially annotated metabolic networks,' represent significant methodological and resource innovations that move well beyond the current state of the art.",5.0,5.0,5.0,5.0,4.0,5.0,gpt-5.2::mesoscale metabolic channeling synthesizing spatial proteomics metabolomics and enzyme complex data to map functional microdomains
novelty-ai-0017,novelty,ai,novelty_reviews_20260416_122206.json,mesoscale metabolic channeling synthesizing spatial proteomics metabolomics and enzyme complex data to map functional microdomains,"Mesoscale Metabolic Channeling: Synthesizing Spatial Proteomics, Metabolomics, and Enzyme Complex Data to Map Functional Microdomains",mesoscale metabolic channeling synthesizing spatial proteomics metabolomics and enzyme complex data to map functional microdomains,gpt-5.2,claude-opus-4-5,4.0,"This proposal presents a well-articulated case for novelty in synthesizing multiple omics modalities to systematically map metabolic microdomains and detect channeling signatures. The strongest novelty lies in the unusual combination of six distinct data types (spatial proteomics, proximity labeling, metabolomics, complex databases, imaging, and flux data) and the methodological innovations of spatially annotated metabolic networks with evidence-weighted edges. The problem framing—shifting from case-by-case biochemical demonstration to systematic, data-driven inference of channeling across pathways and conditions—represents a meaningful advance. The proposal goes beyond current GEM approaches that model compartmentalization only at the organelle level. However, the core concept of metabolons and metabolic channeling is well-established (dating to Srere 1985), and the proposal's novelty is primarily in the synthesis approach rather than fundamental new concepts. The risk profile is moderate given reliance on existing public data without new experimental validation.",4.0,4.0,5.0,4.0,3.0,4.0,gpt-5.2::mesoscale metabolic channeling synthesizing spatial proteomics metabolomics and enzyme complex data to map functional microdomains
novelty-ai-0018,novelty,ai,novelty_reviews_20260416_122206.json,emergent robustness in gene regulatory networks a synthesis of singlecell perturbation atlases across cell types,Emergent Robustness in Gene Regulatory Networks: A Synthesis of Single-Cell Perturbation Atlases Across Cell Types,emergent robustness in gene regulatory networks a synthesis of singlecell perturbation atlases across cell types,gpt-5.2,gpt-5.2,3.7,"The proposal makes a fairly strong novelty case in *problem framing* (emergent robustness across cell types) and in *recombining* perturbation atlases with causal+dynamical GRN analysis, priors, and cross-study alignment to extract conserved motifs and tipping points. Its weakest novelty element is “new method/dataset/design”: many components are integration/standardization of existing datasets and standard tool families, and at least one close neighbor (scPerturb) already exists as a harmonized single-cell perturbation resource, so the proposal’s distinctiveness hinges on (i) explicit robustness/criticality constructs, (ii) cross-dataset GRN alignment for conserved motifs, and (iii) benchmarking focused on tipping/robustness outcomes rather than generic perturbation response summaries.",4.0,3.0,4.0,3.0,4.0,4.0,gpt-5.2::emergent robustness in gene regulatory networks a synthesis of singlecell perturbation atlases across cell types
novelty-ai-0019,novelty,ai,novelty_reviews_20260416_122206.json,emergent robustness in gene regulatory networks a synthesis of singlecell perturbation atlases across cell types,Emergent Robustness in Gene Regulatory Networks: A Synthesis of Single-Cell Perturbation Atlases Across Cell Types,emergent robustness in gene regulatory networks a synthesis of singlecell perturbation atlases across cell types,gpt-5.2,gemini-3-pro-preview,4.2,"The proposal outlines a highly ambitious, synthesis-driven working group aimed at uncovering the emergent robustness of Gene Regulatory Networks (GRNs) by integrating public single-cell perturbation datasets. While it relies on existing data and methods (resulting in a lower score for new datasets/methods), its novelty shines in its conceptual framing and interdisciplinary approach. By combining dynamical systems theory (criticality, attractors) with causal inference and multi-omic priors, the project seeks to move the field beyond merely predicting perturbation responses toward understanding universal principles of cell state stability. The cross-study design is essential for generating unique knowledge about conserved versus context-specific vulnerabilities, offering high-gain potential despite the significant risks associated with data heterogeneity.",4.0,3.0,5.0,4.0,4.0,5.0,gpt-5.2::emergent robustness in gene regulatory networks a synthesis of singlecell perturbation atlases across cell types
novelty-ai-0020,novelty,ai,novelty_reviews_20260416_122206.json,emergent robustness in gene regulatory networks a synthesis of singlecell perturbation atlases across cell types,Emergent Robustness in Gene Regulatory Networks: A Synthesis of Single-Cell Perturbation Atlases Across Cell Types,emergent robustness in gene regulatory networks a synthesis of singlecell perturbation atlases across cell types,gpt-5.2,claude-opus-4-5,3.0,"This proposal presents a well-structured plan for synthesizing single-cell perturbation data to study GRN robustness across cell types. While the scientific questions are important and the integration of dynamical systems concepts with perturbation genomics is creative, the proposal's novelty is limited by substantial overlap with existing resources and ongoing efforts. The scPerturb database (2024) already harmonizes 44 perturbation datasets; CausalBench (2025) and geneRNIB (2025) already provide benchmarking frameworks for GRN inference from perturbation data; and the Perturbation Cell Atlas vision (2024) articulates similar goals. The proposal's strengths lie in its systematic approach, explicit hypotheses, and community-building aspects, but it does not clearly articulate how it will advance beyond current capabilities. The 'synthesis-only' nature and reliance on existing methods and data constrain its potential for generating truly novel insights.",3.0,2.0,4.0,3.0,3.0,3.0,gpt-5.2::emergent robustness in gene regulatory networks a synthesis of singlecell perturbation atlases across cell types
novelty-ai-0021,novelty,ai,novelty_reviews_20260416_122206.json,a community synthesis of mesoscale protein quality control integrating proteostasis networks aggregation data and stress responses,"A Community Synthesis of Mesoscale Protein Quality Control: Integrating Proteostasis Networks, Aggregation Data, and Stress Responses",a community synthesis of mesoscale protein quality control integrating proteostasis networks aggregation data and stress responses,gpt-5.2,gpt-5.2,4.0,"The proposal makes a strong case for novelty primarily through (i) a distinctive mesoscale, emergent, latent-state framing of PQC (proteostasis ‘states’ with thresholds/hysteresis) and (ii) an unusually broad, concrete recombination of public data modalities (insoluble proteomics, interactomes, transcriptomics, imaging, genetics, and sequence/structure priors) into a community synthesis and atlas. Methodological novelty is more moderate because most modeling components are established, but the proposed harmonization pipeline for insoluble-proteome assays and the cross-modal state/transition mapping constitute a potentially novel design artifact. Ambition is clearly beyond incremental reanalysis, with credible high-risk/high-gain due to heterogeneity and alignment challenges.",4.0,3.0,5.0,4.0,4.0,4.0,gpt-5.2::a community synthesis of mesoscale protein quality control integrating proteostasis networks aggregation data and stress responses
novelty-ai-0022,novelty,ai,novelty_reviews_20260416_122206.json,a community synthesis of mesoscale protein quality control integrating proteostasis networks aggregation data and stress responses,"A Community Synthesis of Mesoscale Protein Quality Control: Integrating Proteostasis Networks, Aggregation Data, and Stress Responses",a community synthesis of mesoscale protein quality control integrating proteostasis networks aggregation data and stress responses,gpt-5.2,gemini-3-pro-preview,4.5,"The proposal presents a highly novel and ambitious plan to synthesize disparate public datasets into a unified model of Protein Quality Control (PQC). Its strongest elements are the conceptual framing of PQC as a stateful system exhibiting emergent properties like hysteresis, and the highly unusual combination of six different data modalities (including insoluble proteomics and imaging). While the reliance on heterogeneous public data poses a significant risk, the potential to generate unique, cross-modal knowledge about cellular resilience makes it a compelling, high-gain endeavor.",5.0,4.0,5.0,4.0,4.0,5.0,gpt-5.2::a community synthesis of mesoscale protein quality control integrating proteostasis networks aggregation data and stress responses
novelty-ai-0023,novelty,ai,novelty_reviews_20260416_122206.json,a community synthesis of mesoscale protein quality control integrating proteostasis networks aggregation data and stress responses,"A Community Synthesis of Mesoscale Protein Quality Control: Integrating Proteostasis Networks, Aggregation Data, and Stress Responses",a community synthesis of mesoscale protein quality control integrating proteostasis networks aggregation data and stress responses,gpt-5.2,claude-opus-4-5,,,,,,,,,gpt-5.2::a community synthesis of mesoscale protein quality control integrating proteostasis networks aggregation data and stress responses
novelty-ai-0024,novelty,ai,novelty_reviews_20260416_122206.json,emergent cell polarity from molecular interactions synthesizing spatial transcriptomics proteomics and imaging across epithelia,"Emergent Cell Polarity from Molecular Interactions: Synthesizing Spatial Transcriptomics, Proteomics, and Imaging Across Epithelia",emergent cell polarity from molecular interactions synthesizing spatial transcriptomics proteomics and imaging across epithelia,gpt-5.2,gpt-5.2,4.0,"The proposal makes a strong case for novelty primarily through problem reframing (polarity as an emergent, cross-tissue, cross-disease phenomenon requiring a unifying quantitative framework) and through an unusually broad recombination of modalities (spatial transcriptomics + scRNA-seq + proteomics + imaging + perturbations) into a harmonized atlas and scorecard. The case for fundamentally new methods is moderate: the toolkit/metrics are promising but described mostly as assembling established computational ingredients rather than clearly new algorithms. Overall, it is ambitious and plausibly beyond incremental work, with credible high-risk/high-gain characteristics driven by heterogeneous public data integration and limited ground truth.",4.0,3.0,5.0,4.0,4.0,4.0,gpt-5.2::emergent cell polarity from molecular interactions synthesizing spatial transcriptomics proteomics and imaging across epithelia
novelty-ai-0025,novelty,ai,novelty_reviews_20260416_122206.json,emergent cell polarity from molecular interactions synthesizing spatial transcriptomics proteomics and imaging across epithelia,"Emergent Cell Polarity from Molecular Interactions: Synthesizing Spatial Transcriptomics, Proteomics, and Imaging Across Epithelia",emergent cell polarity from molecular interactions synthesizing spatial transcriptomics proteomics and imaging across epithelia,gpt-5.2,gemini-3-pro-preview,4.0,"This proposal presents a highly original and ambitious plan to synthesize public spatial omics, imaging, and proteomics data to study epithelial cell polarity as an emergent mesoscale phenomenon. By shifting the focus from isolated model systems to a cross-tissue, cross-disease framework, it introduces a novel problem framing. The proposed 'Polarity Scoring Toolkit' and 'Polarity Synthesis Atlas' represent significant methodological and resource contributions. The combination of diverse data modalities and computational techniques is unusual and pushes well beyond the current state of the art. While there are inherent risks in relying on heterogeneous public data with varying spatial resolutions, the potential to uncover universal principles of polarity disruption in diseases makes this a credible high-risk, high-gain endeavor capable of generating unique biological insights.",5.0,4.0,5.0,4.0,4.0,5.0,gpt-5.2::emergent cell polarity from molecular interactions synthesizing spatial transcriptomics proteomics and imaging across epithelia
novelty-ai-0026,novelty,ai,novelty_reviews_20260416_122206.json,emergent cell polarity from molecular interactions synthesizing spatial transcriptomics proteomics and imaging across epithelia,"Emergent Cell Polarity from Molecular Interactions: Synthesizing Spatial Transcriptomics, Proteomics, and Imaging Across Epithelia",emergent cell polarity from molecular interactions synthesizing spatial transcriptomics proteomics and imaging across epithelia,gpt-5.2,claude-opus-4-5,4.0,"This proposal presents a moderately to strongly novel synthesis effort that reframes epithelial cell polarity as an emergent phenomenon requiring cross-tissue, multi-modal integration. Its primary novelty lies in the unusual combination of five distinct data modalities (spatial transcriptomics, scRNA-seq, proteomics, imaging, perturbation data) focused on a specific biological question, and in the proposed development of polarity-specific computational tools (polarity scoring toolkit, axis inference methods). The cross-tissue comparative approach addresses a genuine gap in the field, where polarity research has been fragmented across model systems. While individual components (spatial analysis methods, multi-omic integration) are not new, their application to polarity quantification and the scale of the proposed synthesis are novel. The proposal is ambitious but not high-risk, as it builds on established methods and public data. The main uncertainties concern technical feasibility of cross-platform harmonization and whether current spatial resolution is sufficient for subcellular polarity analysis.",4.0,4.0,5.0,4.0,3.0,4.0,gpt-5.2::emergent cell polarity from molecular interactions synthesizing spatial transcriptomics proteomics and imaging across epithelia
