proposal_uid,mesh_unique_terms_k20,source_group,source_type,title
baseline::gpt-5.2::03,58,GPT,ai,Mesoscale Cytoskeletal Percolation: A Synthesis of Actin/Microtubule Network Architecture and Emergent Intracellular Transport Efficiency
baseline::gpt-5.2::04,138,GPT,ai,"Emergent Chromatin Nanodomain Topology: Integrating Hi-C, Super-Resolution Imaging, and Epigenomics to Explain Cell-Type-Specific Gene Regulation"
baseline::gpt-5.2::05,56,GPT,ai,"Protein Crowding as an Emergent Mesoscale Regulator: A Pan-Proteome Synthesis of Cytoplasmic Viscosity, Diffusion, and Reaction Rates"
baseline::gpt-5.2::06,62,GPT,ai,"Emergent Ribosome Assembly Landscapes: Integrating Cryo-EM Intermediates, rRNA Processing Maps, and Proteomics to Explain Assembly Robustness"
baseline::gpt-5.2::07,78,GPT,ai,"Mesoscale Signaling Microclusters as Emergent Computation: A Synthesis of Immune Receptor Imaging, Phosphoproteomics, and Single-Cell Responses"
baseline::gpt-5.2::08,61,GPT,ai,"Emergent Mitochondrial Cristae Morphodynamics: Integrating Cryo-ET, Live Imaging, and Proteogenomics to Explain Bioenergetic Plasticity"
baseline::gpt-5.2::09,63,GPT,ai,Mesoscale Assembly of Viral Replication Compartments: A Cross-Virus Synthesis of Host Factor Recruitment and Emergent Replication Efficiency
baseline::gpt-5.2::10,122,GPT,ai,"Emergent Cell Wall Nanomechanics: Synthesizing Fungal and Plant Cell Wall Composition, Ultrastructure, and Growth Patterns"
baseline::gpt-5.2::11,66,GPT,ai,"Mesoscale Proteasome and Autophagy Hub Organization: Integrating Spatial Proteomics, Imaging, and Ubiquitinome Data to Explain Proteostasis Emergence"
baseline::gpt-5.2::12,98,GPT,ai,"Emergent Bacterial Microcompartment Design Rules: Synthesizing Genomes, Structures, and Metabolic Flux to Predict Organelle-Like Function"
baseline::gpt-5.2::13,110,GPT,ai,Mesoscale Vesicle Coat Self-Organization: Integrating Structural Proteomics and Imaging to Explain Cargo Selectivity Emergence
baseline::gpt-5.2::14,98,GPT,ai,"Emergent Nuclear Pore Selectivity at the Mesoscale: A Synthesis of FG-Nup Disorder, Transport Kinetics, and NPC Ultrastructure"
baseline::gpt-5.2::15,64,GPT,ai,"Mesoscale Emergence in Bacterial Biofilm Matrix Nanostructure: Integrating Omics, Imaging, and Rheology to Predict Community Robustness"
baseline::gpt-5.2::16,126,GPT,ai,"Emergent Spliceosome Nano-Organization: Integrating RNP Structural States, Proximity Proteomics, and Single-Cell Isoform Variability"
baseline::gpt-5.2::17,105,GPT,ai,Mesoscale Organization of Metabolic Enzyme Filaments: A Cross-Species Synthesis of Cytoophidia and Emergent Metabolic Regulation
baseline::gpt-5.2::18,93,GPT,ai,Emergent Endocytic Pit Nanoscale Heterogeneity: Integrating Single-Molecule Imaging and Proteomics to Explain Uptake Variability
baseline::gpt-5.2::19,102,GPT,ai,"Mesoscale Emergence of Synaptic Active Zone Nanoclusters: A Synthesis of Proteomics, Super-Resolution Maps, and Functional Plasticity"
baseline::gpt-5.2::20,114,GPT,ai,Emergent Organelle Size Control via Mesoscale Substructure: Integrating Imaging Atlases and Omics to Explain Scaling Laws
baseline::gpt-5.2::21,87,GPT,ai,"Mesoscale Emergence in DNA Damage Repair Foci: Integrating Live Imaging, Proteomics, and 3D Genome Context"
baseline::gpt-5.2::22,76,GPT,ai,"Emergent Mesoscale Patterning in Bacterial Division Machinery: A Synthesis of FtsZ Ring Architecture, Dynamics, and Cell Shape Outcomes"
baseline::gpt-5.2::23,116,GPT,ai,"Mesoscale Emergence of Exosome Biogenesis Microdomains: Integrating Endosomal Proteomics, Lipidomics, and Imaging"
baseline::gemini-3-pro-preview::01,109,Gemini,ai,Deciphering the Sequence Grammar of Mesoscale Viscoelasticity in Biomolecular Condensates
baseline::gemini-3-pro-preview::02,59,Gemini,ai,Emergent Chromatin Rheology: Synthesizing 1D Sequence and 3D Topology to Predict Nuclear Stiffness
baseline::gemini-3-pro-preview::03,96,Gemini,ai,The Emergence of Metabolic Channeling: Mapping Transient Metabolons via Integrated Interactomics
baseline::gemini-3-pro-preview::04,70,Gemini,ai,Lipid Raft Dynamics and the Emergence of Signal Fidelity in T-Cell Activation
baseline::gemini-3-pro-preview::05,63,Gemini,ai,Emergent Mechanics of the Cytoskeleton: From Molecular Motors to Cellular Tensegrity
baseline::gemini-3-pro-preview::06,83,Gemini,ai,Viral Capsid Polymorphism: Emergent Geometry from Identical Subunits
baseline::gemini-3-pro-preview::07,119,Gemini,ai,The Emergence of Synaptic Memory: Nanocolumns and PSD Stability
baseline::gemini-3-pro-preview::08,125,Gemini,ai,Emergent Selectivity in the Nuclear Pore Complex: A Data-Driven Transport Model
baseline::gemini-3-pro-preview::09,109,Gemini,ai,Mitochondrial Cristae Morphodynamics and the Emergence of Bioenergetic Efficiency
baseline::gemini-3-pro-preview::10,67,Gemini,ai,Ribosome Collisions and the Emergence of Translational Quality Control
baseline::gemini-3-pro-preview::11,93,Gemini,ai,Emergent Synchronization in Ciliary Arrays: Hydrodynamics and Coupling
baseline::gemini-3-pro-preview::12,128,Gemini,ai,The Extracellular Matrix as a Mechanical Memory: Emergent Reciprocity in Tissue Homeostasis
baseline::gemini-3-pro-preview::13,61,Gemini,ai,The Glycocalyx Code: Emergent Immune Evasion via Bulky Glycan Shields
baseline::gemini-3-pro-preview::14,65,Gemini,ai,Symmetry Breaking in the Centrosome: Emergent Spindle Bipolarity
baseline::gemini-3-pro-preview::15,127,Gemini,ai,Autophagosome Biogenesis: Emergent Membrane Remodeling from Protein Scaffolds
baseline::gemini-3-pro-preview::16,105,Gemini,ai,Stress Granules vs. P-Bodies: Emergent Sorting in RNA Phase Separation
baseline::gemini-3-pro-preview::17,127,Gemini,ai,Collapse of the Chaperone Network: Emergent Proteostasis Failure in Aging
baseline::gemini-3-pro-preview::18,116,Gemini,ai,Emergent Antibiotic Resistance in Biofilms: The Role of Matrix Architecture
baseline::gemini-3-pro-preview::19,68,Gemini,ai,GPCR Oligomerization Landscapes: Emergent Signaling Bias via Allostery
baseline::gemini-3-pro-preview::20,75,Gemini,ai,Nuclear Speckles as Splicing Hubs: Emergent Amplification of Gene Expression
baseline::gemini-3-pro-preview::21,105,Gemini,ai,Thylakoid Stacking and the Emergence of Photosynthetic Robustness
baseline::gemini-3-pro-preview::22,42,Gemini,ai,Exosome Loading and Sorting: Emergent Communication Packets
baseline::gemini-3-pro-preview::23,79,Gemini,ai,Synthetic Cell Assembly: Predicting Emergent Life-like Behaviors from Component Integration
