proposal_uid,bertopic_region_entropy,bertopic_max_region_weight,bertopic_unique_regions,bertopic_dominant_region,bertopic_dominant_label,source_group,source_type,title
baseline::claude-opus-4-5::11,1.1411535278793055,0.65,3,3,"fetal liver, stalled replication forks, pulmonary vascular, chromatin state",Claude,ai,Emergent Proton Gradients in Mitochondrial Cristae: Synthesizing Cryo-ET and Bioenergetic Data to Model Mesoscale Energy Transduction
baseline::claude-opus-4-5::12,0.7219280948873623,0.8,2,1,"details use execution, myosin motors, nascent chain, origin life",Claude,ai,Emergent Antigen Processing in the Immunoproteasome: Integrating Structural and Immunopeptidomic Data to Model Epitope Generation
baseline::claude-opus-4-5::13,0.28639695711595625,0.95,2,1,"details use execution, myosin motors, nascent chain, origin life",Claude,ai,Emergent Selectivity in Nuclear Export: Synthesizing Structural and Transport Data to Model CRM1-Mediated Cargo Recognition
baseline::claude-opus-4-5::14,-0.0,1.0,1,1,"details use execution, myosin motors, nascent chain, origin life",Claude,ai,"Emergent Cooperativity in Transcription Factor Clusters: Synthesizing ChIP-seq, Structural, and Imaging Data to Model Enhancer Activation"
baseline::claude-opus-4-5::15,0.28639695711595625,0.95,2,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",Claude,ai,Emergent Viral Assembly: Synthesizing Cryo-EM and Sequence Data to Model How Capsid Geometry Arises from Protein Interactions
baseline::claude-opus-4-5::16,-0.0,1.0,1,1,"details use execution, myosin motors, nascent chain, origin life",Claude,ai,Emergent Membrane Curvature Sensing: Integrating Structural and Lipidomic Data to Model BAR Domain Collective Behavior
baseline::claude-opus-4-5::17,1.0540157730728,0.75,3,3,"fetal liver, stalled replication forks, pulmonary vascular, chromatin state",Claude,ai,Emergent Prion Strain Properties: Synthesizing Cryo-EM Structures with Clinical Data to Model How Fibril Architecture Determines Pathology
baseline::claude-opus-4-5::18,-0.0,1.0,1,1,"details use execution, myosin motors, nascent chain, origin life",Claude,ai,Emergent Cell Polarity from Protein Localization Networks: Synthesizing Imaging and Interactome Data to Model Symmetry Breaking
baseline::claude-opus-4-5::19,0.28639695711595625,0.95,2,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",Claude,ai,Emergent Specificity in Ubiquitin Chain Recognition: Synthesizing Structural and Proteomic Data to Decode the Ubiquitin Code
baseline::claude-opus-4-5::20,-0.0,1.0,1,1,"details use execution, myosin motors, nascent chain, origin life",Claude,ai,Emergent RNA Localization: Synthesizing Spatial Transcriptomics and RNA Structure Data to Model mRNA Targeting Networks
baseline::claude-opus-4-5::21,0.934068055375491,0.65,2,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",Claude,ai,Emergent Mechanics of Bacterial Microcompartments: Synthesizing Structural and Metabolic Data to Model Encapsulated Pathway Efficiency
baseline::claude-opus-4-5::22,1.0762976257251988,0.7,3,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",Claude,ai,Emergent Receptor Clustering in Immune Synapses: Synthesizing Super-Resolution and Signaling Data to Model T Cell Activation Thresholds
baseline::claude-opus-4-5::23,0.8112781244591328,0.75,2,7,"transgene expression, metabolite production, study illustrates, precise genome",Claude,ai,Emergent DNA Repair Pathway Choice: Synthesizing Damage Proteomics and Chromatin Data to Model Repair Mechanism Selection
baseline::gpt-5.2::01,1.0,0.5,2,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",GPT,ai,A Cross-Cell-Type Atlas of Biomolecular Condensate Material States and Their Emergent Control of Gene Expression Noise
baseline::gpt-5.2::02,1.2344977967946407,0.5,3,7,"transgene expression, metabolite production, study illustrates, precise genome",GPT,ai,"Emergent Membrane Curvature Codes: Synthesizing Cryo-ET, Proteomics, and Lipidomics to Predict Organelle Contact Site Morphologies"
baseline::gpt-5.2::03,-0.0,1.0,1,1,"details use execution, myosin motors, nascent chain, origin life",GPT,ai,Mesoscale Cytoskeletal Percolation: A Synthesis of Actin/Microtubule Network Architecture and Emergent Intracellular Transport Efficiency
baseline::gpt-5.2::04,0.7219280948873623,0.8,2,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",GPT,ai,"Emergent Chromatin Nanodomain Topology: Integrating Hi-C, Super-Resolution Imaging, and Epigenomics to Explain Cell-Type-Specific Gene Regulation"
baseline::gpt-5.2::05,-0.0,1.0,1,1,"details use execution, myosin motors, nascent chain, origin life",GPT,ai,"Protein Crowding as an Emergent Mesoscale Regulator: A Pan-Proteome Synthesis of Cytoplasmic Viscosity, Diffusion, and Reaction Rates"
baseline::gpt-5.2::06,-0.0,1.0,1,1,"details use execution, myosin motors, nascent chain, origin life",GPT,ai,"Emergent Ribosome Assembly Landscapes: Integrating Cryo-EM Intermediates, rRNA Processing Maps, and Proteomics to Explain Assembly Robustness"
baseline::gpt-5.2::07,-0.0,1.0,1,1,"details use execution, myosin motors, nascent chain, origin life",GPT,ai,"Mesoscale Signaling Microclusters as Emergent Computation: A Synthesis of Immune Receptor Imaging, Phosphoproteomics, and Single-Cell Responses"
baseline::gpt-5.2::08,-0.0,1.0,1,1,"details use execution, myosin motors, nascent chain, origin life",GPT,ai,"Emergent Mitochondrial Cristae Morphodynamics: Integrating Cryo-ET, Live Imaging, and Proteogenomics to Explain Bioenergetic Plasticity"
baseline::gpt-5.2::09,0.5689955935892812,0.9,3,1,"details use execution, myosin motors, nascent chain, origin life",GPT,ai,Mesoscale Assembly of Viral Replication Compartments: A Cross-Virus Synthesis of Host Factor Recruitment and Emergent Replication Efficiency
baseline::gpt-5.2::10,0.28639695711595625,0.95,2,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",GPT,ai,"Emergent Cell Wall Nanomechanics: Synthesizing Fungal and Plant Cell Wall Composition, Ultrastructure, and Growth Patterns"
baseline::gpt-5.2::11,0.28639695711595625,0.95,2,1,"details use execution, myosin motors, nascent chain, origin life",GPT,ai,"Mesoscale Proteasome and Autophagy Hub Organization: Integrating Spatial Proteomics, Imaging, and Ubiquitinome Data to Explain Proteostasis Emergence"
baseline::gpt-5.2::12,1.5812908992306927,0.35,3,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",GPT,ai,"Emergent Bacterial Microcompartment Design Rules: Synthesizing Genomes, Structures, and Metabolic Flux to Predict Organelle-Like Function"
baseline::gpt-5.2::13,1.2344977967946407,0.5,3,3,"fetal liver, stalled replication forks, pulmonary vascular, chromatin state",GPT,ai,Mesoscale Vesicle Coat Self-Organization: Integrating Structural Proteomics and Imaging to Explain Cargo Selectivity Emergence
baseline::gpt-5.2::14,1.7128876215181605,0.45,4,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",GPT,ai,"Emergent Nuclear Pore Selectivity at the Mesoscale: A Synthesis of FG-Nup Disorder, Transport Kinetics, and NPC Ultrastructure"
baseline::gpt-5.2::15,0.7219280948873623,0.8,2,3,"fetal liver, stalled replication forks, pulmonary vascular, chromatin state",GPT,ai,"Mesoscale Emergence in Bacterial Biofilm Matrix Nanostructure: Integrating Omics, Imaging, and Rheology to Predict Community Robustness"
baseline::gpt-5.2::16,0.28639695711595625,0.95,2,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",GPT,ai,"Emergent Spliceosome Nano-Organization: Integrating RNP Structural States, Proximity Proteomics, and Single-Cell Isoform Variability"
baseline::gpt-5.2::17,-0.0,1.0,1,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",GPT,ai,Mesoscale Organization of Metabolic Enzyme Filaments: A Cross-Species Synthesis of Cytoophidia and Emergent Metabolic Regulation
baseline::gpt-5.2::18,1.1812908992306925,0.7,3,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",GPT,ai,Emergent Endocytic Pit Nanoscale Heterogeneity: Integrating Single-Molecule Imaging and Proteomics to Explain Uptake Variability
baseline::gpt-5.2::19,0.8812908992306927,0.7,2,7,"transgene expression, metabolite production, study illustrates, precise genome",GPT,ai,"Mesoscale Emergence of Synaptic Active Zone Nanoclusters: A Synthesis of Proteomics, Super-Resolution Maps, and Functional Plasticity"
baseline::gpt-5.2::20,0.4689955935892812,0.9,2,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",GPT,ai,Emergent Organelle Size Control via Mesoscale Substructure: Integrating Imaging Atlases and Omics to Explain Scaling Laws
baseline::gpt-5.2::21,-0.0,1.0,1,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",GPT,ai,"Mesoscale Emergence in DNA Damage Repair Foci: Integrating Live Imaging, Proteomics, and 3D Genome Context"
baseline::gpt-5.2::22,0.28639695711595625,0.95,2,1,"details use execution, myosin motors, nascent chain, origin life",GPT,ai,"Emergent Mesoscale Patterning in Bacterial Division Machinery: A Synthesis of FtsZ Ring Architecture, Dynamics, and Cell Shape Outcomes"
baseline::gpt-5.2::23,1.4387586809150081,0.55,3,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",GPT,ai,"Mesoscale Emergence of Exosome Biogenesis Microdomains: Integrating Endosomal Proteomics, Lipidomics, and Imaging"
baseline::gemini-3-pro-preview::01,-0.0,1.0,1,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",Gemini,ai,Deciphering the Sequence Grammar of Mesoscale Viscoelasticity in Biomolecular Condensates
baseline::gemini-3-pro-preview::02,-0.0,1.0,1,1,"details use execution, myosin motors, nascent chain, origin life",Gemini,ai,Emergent Chromatin Rheology: Synthesizing 1D Sequence and 3D Topology to Predict Nuclear Stiffness
baseline::gemini-3-pro-preview::03,0.9927744539878083,0.55,2,3,"fetal liver, stalled replication forks, pulmonary vascular, chromatin state",Gemini,ai,The Emergence of Metabolic Channeling: Mapping Transient Metabolons via Integrated Interactomics
baseline::gemini-3-pro-preview::04,-0.0,1.0,1,1,"details use execution, myosin motors, nascent chain, origin life",Gemini,ai,Lipid Raft Dynamics and the Emergence of Signal Fidelity in T-Cell Activation
baseline::gemini-3-pro-preview::05,-0.0,1.0,1,1,"details use execution, myosin motors, nascent chain, origin life",Gemini,ai,Emergent Mechanics of the Cytoskeleton: From Molecular Motors to Cellular Tensegrity
baseline::gemini-3-pro-preview::06,0.747584679824574,0.85,3,1,"details use execution, myosin motors, nascent chain, origin life",Gemini,ai,Viral Capsid Polymorphism: Emergent Geometry from Identical Subunits
baseline::gemini-3-pro-preview::07,-0.0,1.0,1,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",Gemini,ai,The Emergence of Synaptic Memory: Nanocolumns and PSD Stability
baseline::gemini-3-pro-preview::08,1.3609640474436813,0.5,3,7,"transgene expression, metabolite production, study illustrates, precise genome",Gemini,ai,Emergent Selectivity in the Nuclear Pore Complex: A Data-Driven Transport Model
baseline::gemini-3-pro-preview::09,1.3366664819166874,0.55,3,3,"fetal liver, stalled replication forks, pulmonary vascular, chromatin state",Gemini,ai,Mitochondrial Cristae Morphodynamics and the Emergence of Bioenergetic Efficiency
baseline::gemini-3-pro-preview::10,-0.0,1.0,1,1,"details use execution, myosin motors, nascent chain, origin life",Gemini,ai,Ribosome Collisions and the Emergence of Translational Quality Control
baseline::gemini-3-pro-preview::11,1.3527241956246545,0.6,3,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",Gemini,ai,Emergent Synchronization in Ciliary Arrays: Hydrodynamics and Coupling
baseline::gemini-3-pro-preview::12,0.7219280948873623,0.8,2,3,"fetal liver, stalled replication forks, pulmonary vascular, chromatin state",Gemini,ai,The Extracellular Matrix as a Mechanical Memory: Emergent Reciprocity in Tissue Homeostasis
baseline::gemini-3-pro-preview::13,1.3689955935892815,0.45,3,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",Gemini,ai,The Glycocalyx Code: Emergent Immune Evasion via Bulky Glycan Shields
baseline::gemini-3-pro-preview::14,-0.0,1.0,1,1,"details use execution, myosin motors, nascent chain, origin life",Gemini,ai,Symmetry Breaking in the Centrosome: Emergent Spindle Bipolarity
baseline::gemini-3-pro-preview::15,0.8112781244591328,0.75,2,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",Gemini,ai,Autophagosome Biogenesis: Emergent Membrane Remodeling from Protein Scaffolds
baseline::gemini-3-pro-preview::16,1.4788979029874791,0.65,4,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",Gemini,ai,Stress Granules vs. P-Bodies: Emergent Sorting in RNA Phase Separation
baseline::gemini-3-pro-preview::17,0.6098403047164004,0.85,2,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",Gemini,ai,Collapse of the Chaperone Network: Emergent Proteostasis Failure in Aging
baseline::gemini-3-pro-preview::18,1.490468570732828,0.6,4,3,"fetal liver, stalled replication forks, pulmonary vascular, chromatin state",Gemini,ai,Emergent Antibiotic Resistance in Biofilms: The Role of Matrix Architecture
baseline::gemini-3-pro-preview::19,-0.0,1.0,1,1,"details use execution, myosin motors, nascent chain, origin life",Gemini,ai,GPCR Oligomerization Landscapes: Emergent Signaling Bias via Allostery
baseline::gemini-3-pro-preview::20,-0.0,1.0,1,1,"details use execution, myosin motors, nascent chain, origin life",Gemini,ai,Nuclear Speckles as Splicing Hubs: Emergent Amplification of Gene Expression
baseline::gemini-3-pro-preview::21,0.9709505944546686,0.6,2,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",Gemini,ai,Thylakoid Stacking and the Emergence of Photosynthetic Robustness
baseline::gemini-3-pro-preview::22,0.934068055375491,0.65,2,1,"details use execution, myosin motors, nascent chain, origin life",Gemini,ai,Exosome Loading and Sorting: Emergent Communication Packets
baseline::gemini-3-pro-preview::23,0.28639695711595625,0.95,2,1,"details use execution, myosin motors, nascent chain, origin life",Gemini,ai,Synthetic Cell Assembly: Predicting Emergent Life-like Behaviors from Component Integration
