review_uid,review_type,review_source,source_file,proposal_id,title,title_norm,author,evaluator,overall_score,review_text,Relevance_to_Emergent_Phenomena,Novelty_and_Significance,Rigor_of_Approach,Scope_and_Timeline,Synthesis_Focus,Data_Identification,Open_Science_Commitment,proposal_uid
ncems-ai-0010,ncems_criteria,ai,ncems_reviews_rephrased.json,emergent chromatin domains at the mesoscale synthesizing hic imaging and epigenomic data to explain 3d genome function,"Emergent Chromatin Domains at the Mesoscale: Synthesizing Hi-C, Imaging, and Epigenomic Data to Explain 3D Genome Function",emergent chromatin domains at the mesoscale synthesizing hic imaging and epigenomic data to explain 3d genome function,gpt-5.2,gemini-3-pro-preview,4.8,"This proposal is highly rated for its strong scientific merit and innovation, particularly its focus on emergent mesoscale phenomena and the novel integration of imaging data to constrain polymer models of 3D genome architecture. The methodology is rigorous, with clear hypotheses and robust plans for uncertainty propagation. While the scope is ambitious, the project demonstrates a strong commitment to open science and workforce training.",5.0,5.0,5.0,4.0,5.0,5.0,5.0,gpt-5.2::emergent chromatin domains at the mesoscale synthesizing hic imaging and epigenomic data to explain 3d genome function
ncems-ai-0011,ncems_criteria,ai,ncems_reviews_rephrased.json,emergent chromatin domains at the mesoscale synthesizing hic imaging and epigenomic data to explain 3d genome function,"Emergent Chromatin Domains at the Mesoscale: Synthesizing Hi-C, Imaging, and Epigenomic Data to Explain 3D Genome Function",emergent chromatin domains at the mesoscale synthesizing hic imaging and epigenomic data to explain 3d genome function,gpt-5.2,claude-opus-4-5,4.2,"This proposal is strong and well-aligned with the funding call's focus on emergent phenomena, specifically in chromatin organization. Its primary strengths are its comprehensive synthesis approach, rigorous model testing framework, and exemplary commitment to open science. The main area for improvement is the need for clearer milestones, timelines, and prioritization to manage the ambitious scope and ensure feasibility within the timeframe.",5.0,4.0,4.0,3.0,5.0,4.0,5.0,gpt-5.2::emergent chromatin domains at the mesoscale synthesizing hic imaging and epigenomic data to explain 3d genome function
ncems-ai-0012,ncems_criteria,ai,ncems_reviews_rephrased.json,a unified synthesis of protein complex stoichiometry and assembly pathways from structural proteomic and ribosome profiling data,"A Unified Synthesis of Protein Complex Stoichiometry and Assembly Pathways from Structural, Proteomic, and Ribosome Profiling Data",a unified synthesis of protein complex stoichiometry and assembly pathways from structural proteomic and ribosome profiling data,gpt-5.2,gpt-5.2,3.9,"This proposal presents a strong, innovative approach to understanding mesoscale emergent behavior in cells by integrating diverse biological datasets. The project aims to create a valuable community resource and analytical frameworks. However, concerns exist regarding the feasibility of the ambitious scope and the potential challenges in data normalization and inference, which require clearer mitigation strategies and milestones.",5.0,4.0,4.0,3.0,5.0,4.0,4.0,gpt-5.2::a unified synthesis of protein complex stoichiometry and assembly pathways from structural proteomic and ribosome profiling data
ncems-ai-0013,ncems_criteria,ai,ncems_reviews_rephrased.json,a unified synthesis of protein complex stoichiometry and assembly pathways from structural proteomic and ribosome profiling data,"A Unified Synthesis of Protein Complex Stoichiometry and Assembly Pathways from Structural, Proteomic, and Ribosome Profiling Data",a unified synthesis of protein complex stoichiometry and assembly pathways from structural proteomic and ribosome profiling data,gpt-5.2,gemini-3-pro-preview,4.6,"This proposal is outstanding, directly addressing mesoscale emergence through an innovative integration of diverse public datasets. The methodological rigor, particularly the use of advanced statistical models for data harmonization, is a significant strength. While the project demonstrates a strong commitment to open science and has a realistic scope, a more detailed timeline and explicit contingency plans for data harmonization challenges would further enhance its feasibility.",5.0,5.0,5.0,4.0,5.0,4.0,5.0,gpt-5.2::a unified synthesis of protein complex stoichiometry and assembly pathways from structural proteomic and ribosome profiling data
ncems-ai-0014,ncems_criteria,ai,ncems_reviews_rephrased.json,a unified synthesis of protein complex stoichiometry and assembly pathways from structural proteomic and ribosome profiling data,"A Unified Synthesis of Protein Complex Stoichiometry and Assembly Pathways from Structural, Proteomic, and Ribosome Profiling Data",a unified synthesis of protein complex stoichiometry and assembly pathways from structural proteomic and ribosome profiling data,gpt-5.2,claude-opus-4-5,4.2,"This proposal is strong and aligns well with the mission of understanding mesoscale emergent phenomena through data synthesis. It presents compelling scientific questions and a novel approach integrating multiple data modalities into a probabilistic framework. Key strengths include its focus on emergent phenomena, comprehensive data sourcing, and strong open science commitment, though more detailed project planning and discussion of data limitations are needed.",5.0,4.0,4.0,3.0,5.0,4.0,5.0,gpt-5.2::a unified synthesis of protein complex stoichiometry and assembly pathways from structural proteomic and ribosome profiling data
ncems-ai-0015,ncems_criteria,ai,ncems_reviews_rephrased.json,mesoscale metabolic channeling synthesizing spatial proteomics metabolomics and enzyme complex data to map functional microdomains,"Mesoscale Metabolic Channeling: Synthesizing Spatial Proteomics, Metabolomics, and Enzyme Complex Data to Map Functional Microdomains",mesoscale metabolic channeling synthesizing spatial proteomics metabolomics and enzyme complex data to map functional microdomains,gpt-5.2,gpt-5.2,4.0,"This proposal demonstrates strong scientific merit and innovation by investigating metabolic channeling as an emergent mesoscale phenomenon. The approach integrates multiple data modalities into a novel atlas and modeling framework, aligning well with community-scale synthesis and training goals. However, significant feasibility challenges exist regarding data harmonization and the validity of metabolomics-based inference, necessitating clearer scoping and more detailed open science implementation plans.",5.0,4.0,4.0,3.0,5.0,4.0,4.0,gpt-5.2::mesoscale metabolic channeling synthesizing spatial proteomics metabolomics and enzyme complex data to map functional microdomains
ncems-ai-0016,ncems_criteria,ai,ncems_reviews_rephrased.json,mesoscale metabolic channeling synthesizing spatial proteomics metabolomics and enzyme complex data to map functional microdomains,"Mesoscale Metabolic Channeling: Synthesizing Spatial Proteomics, Metabolomics, and Enzyme Complex Data to Map Functional Microdomains",mesoscale metabolic channeling synthesizing spatial proteomics metabolomics and enzyme complex data to map functional microdomains,gpt-5.2,gemini-3-pro-preview,4.6,"This proposal is highly rated for its exceptional alignment with the RFP's focus on emergent phenomena and data synthesis. It presents a groundbreaking approach to investigating metabolic channeling by integrating diverse omics datasets into spatially annotated networks. The project demonstrates an outstanding commitment to open science and reproducible workflows, though significant technical challenges exist in harmonizing heterogeneous datasets within the proposed timeline.",5.0,5.0,4.0,4.0,5.0,4.0,5.0,gpt-5.2::mesoscale metabolic channeling synthesizing spatial proteomics metabolomics and enzyme complex data to map functional microdomains
ncems-ai-0017,ncems_criteria,ai,ncems_reviews_rephrased.json,mesoscale metabolic channeling synthesizing spatial proteomics metabolomics and enzyme complex data to map functional microdomains,"Mesoscale Metabolic Channeling: Synthesizing Spatial Proteomics, Metabolomics, and Enzyme Complex Data to Map Functional Microdomains",mesoscale metabolic channeling synthesizing spatial proteomics metabolomics and enzyme complex data to map functional microdomains,gpt-5.2,claude-opus-4-5,4.2,"This proposal is strong and directly aligns with the mission of understanding emergent phenomena through the synthesis of public data, focusing on metabolic channeling as a key emergent property. The project is innovative in its approach to mapping metabolic microdomains and demonstrates exemplary commitment to open science principles. While the scientific merit and data synthesis are compelling, the feasibility of harmonizing diverse data modalities within the proposed timeline presents a significant challenge.",5.0,4.0,4.0,3.0,5.0,4.0,5.0,gpt-5.2::mesoscale metabolic channeling synthesizing spatial proteomics metabolomics and enzyme complex data to map functional microdomains
ncems-ai-0018,ncems_criteria,ai,ncems_reviews_rephrased.json,emergent robustness in gene regulatory networks a synthesis of singlecell perturbation atlases across cell types,Emergent Robustness in Gene Regulatory Networks: A Synthesis of Single-Cell Perturbation Atlases Across Cell Types,emergent robustness in gene regulatory networks a synthesis of singlecell perturbation atlases across cell types,gpt-5.2,gpt-5.2,4.0,"This proposal is a strong candidate for the call, focusing on emergent mesoscale behaviors in gene regulatory networks using a synthesis-only approach. It aims to integrate single-cell perturbation data with external priors to create a harmonized atlas, robustness metric library, and benchmarking framework. Key concerns revolve around the feasibility of harmonizing heterogeneous data and validating complex constructs, suggesting a need for a more phased plan and clearer success criteria.",5.0,4.0,4.0,3.0,5.0,4.0,4.0,gpt-5.2::emergent robustness in gene regulatory networks a synthesis of singlecell perturbation atlases across cell types
ncems-ai-0019,ncems_criteria,ai,ncems_reviews_rephrased.json,emergent robustness in gene regulatory networks a synthesis of singlecell perturbation atlases across cell types,Emergent Robustness in Gene Regulatory Networks: A Synthesis of Single-Cell Perturbation Atlases Across Cell Types,emergent robustness in gene regulatory networks a synthesis of singlecell perturbation atlases across cell types,gpt-5.2,gemini-3-pro-preview,4.6,"This proposal is rated as outstanding, aligning well with the call's focus on data synthesis and emergent phenomena. It aims to integrate single-cell perturbation datasets to uncover gene regulatory network architecture, promising significant insights into cellular robustness and state transitions. The methodology is rigorous, employing advanced causal inference and a strong benchmarking framework, with a comprehensive open science commitment.",5.0,5.0,5.0,4.0,5.0,4.0,5.0,gpt-5.2::emergent robustness in gene regulatory networks a synthesis of singlecell perturbation atlases across cell types
ncems-ai-0020,ncems_criteria,ai,ncems_reviews_rephrased.json,emergent robustness in gene regulatory networks a synthesis of singlecell perturbation atlases across cell types,Emergent Robustness in Gene Regulatory Networks: A Synthesis of Single-Cell Perturbation Atlases Across Cell Types,emergent robustness in gene regulatory networks a synthesis of singlecell perturbation atlases across cell types,gpt-5.2,claude-opus-4-5,4.2,"This proposal presents a strong synthesis project focused on emergent robustness in gene regulatory networks, effectively linking network architecture to system-level stability. The scientific framing, methodological approach integrating causal inference and epigenomic priors, and exemplary commitment to open science are significant strengths. However, areas for improvement include providing more explicit timelines, detailing the handling of perturbation efficacy heterogeneity, and addressing potential data limitations.",5.0,4.0,4.0,3.0,5.0,4.0,5.0,gpt-5.2::emergent robustness in gene regulatory networks a synthesis of singlecell perturbation atlases across cell types
ncems-ai-0021,ncems_criteria,ai,ncems_reviews_rephrased.json,a community synthesis of mesoscale protein quality control integrating proteostasis networks aggregation data and stress responses,"A Community Synthesis of Mesoscale Protein Quality Control: Integrating Proteostasis Networks, Aggregation Data, and Stress Responses",a community synthesis of mesoscale protein quality control integrating proteostasis networks aggregation data and stress responses,gpt-5.2,gpt-5.2,4.0,"This proposal is a strong candidate for the call, focusing on emergent phenomena in proteostasis by inferring discrete states and transition rules. The synthesis-only approach using public data is commendable, and the planned deliverables are expected to benefit the research community. However, concerns regarding feasibility and integration risks, particularly with assay heterogeneity and aligning imaging to omics data, need to be addressed.",5.0,4.0,4.0,3.0,5.0,4.0,4.0,gpt-5.2::a community synthesis of mesoscale protein quality control integrating proteostasis networks aggregation data and stress responses
ncems-ai-0022,ncems_criteria,ai,ncems_reviews_rephrased.json,a community synthesis of mesoscale protein quality control integrating proteostasis networks aggregation data and stress responses,"A Community Synthesis of Mesoscale Protein Quality Control: Integrating Proteostasis Networks, Aggregation Data, and Stress Responses",a community synthesis of mesoscale protein quality control integrating proteostasis networks aggregation data and stress responses,gpt-5.2,gemini-3-pro-preview,4.8,"This proposal is highly rated for its direct relevance to emergent phenomena, innovative approach to defining proteostasis states, and rigorous methodology. It excels as a synthesis project, leveraging existing data with a strong commitment to open science and training. The ambitious scope is deemed feasible due to robust planning and resource allocation.",5.0,5.0,5.0,4.0,5.0,5.0,5.0,gpt-5.2::a community synthesis of mesoscale protein quality control integrating proteostasis networks aggregation data and stress responses
ncems-ai-0023,ncems_criteria,ai,ncems_reviews_rephrased.json,a community synthesis of mesoscale protein quality control integrating proteostasis networks aggregation data and stress responses,"A Community Synthesis of Mesoscale Protein Quality Control: Integrating Proteostasis Networks, Aggregation Data, and Stress Responses",a community synthesis of mesoscale protein quality control integrating proteostasis networks aggregation data and stress responses,gpt-5.2,claude-opus-4-5,4.2,"This proposal is strong and well-aligned with the funding call's mission, focusing on emergent phenomena in protein quality control using a community-scale data synthesis approach. Key strengths include its explicit focus on emergence, comprehensive use of public data, and exemplary commitment to open science. Areas for improvement involve providing more detailed timeline milestones, contingency plans for ambitious data integration, and enhanced validation strategies for harmonizing heterogeneous datasets.",5.0,4.0,4.0,3.0,5.0,4.0,5.0,gpt-5.2::a community synthesis of mesoscale protein quality control integrating proteostasis networks aggregation data and stress responses
ncems-ai-0024,ncems_criteria,ai,ncems_reviews_rephrased.json,emergent cell polarity from molecular interactions synthesizing spatial transcriptomics proteomics and imaging across epithelia,"Emergent Cell Polarity from Molecular Interactions: Synthesizing Spatial Transcriptomics, Proteomics, and Imaging Across Epithelia",emergent cell polarity from molecular interactions synthesizing spatial transcriptomics proteomics and imaging across epithelia,gpt-5.2,gpt-5.2,4.0,"This proposal is a strong candidate, focusing on epithelial polarity as an emergent mesoscale phenomenon. It aims to synthesize diverse spatial omics and perturbation data into a harmonized atlas with quantitative metrics, offering significant potential to unify epithelial systems and provide valuable tools. Key concerns revolve around the ambitious scope and timeline, requiring careful prioritization and phased deliverables, as well as the need for more detailed specifications regarding algorithmic choices, data handling, and open science implementation.",5.0,4.0,4.0,3.0,5.0,4.0,4.0,gpt-5.2::emergent cell polarity from molecular interactions synthesizing spatial transcriptomics proteomics and imaging across epithelia
ncems-ai-0025,ncems_criteria,ai,ncems_reviews_rephrased.json,emergent cell polarity from molecular interactions synthesizing spatial transcriptomics proteomics and imaging across epithelia,"Emergent Cell Polarity from Molecular Interactions: Synthesizing Spatial Transcriptomics, Proteomics, and Imaging Across Epithelia",emergent cell polarity from molecular interactions synthesizing spatial transcriptomics proteomics and imaging across epithelia,gpt-5.2,gemini-3-pro-preview,4.8,"This proposal is outstanding, aligning perfectly with the call's focus on emergent phenomena, data synthesis, and open science. It offers a transformative, cross-tissue understanding of epithelial cell polarity through rigorous computational methodology and integration of multi-modal data. The commitment to open-source deliverables is exemplary, with a minor suggestion for a more granular timeline to enhance feasibility assessment.",5.0,5.0,5.0,4.0,5.0,5.0,5.0,gpt-5.2::emergent cell polarity from molecular interactions synthesizing spatial transcriptomics proteomics and imaging across epithelia
ncems-ai-0026,ncems_criteria,ai,ncems_reviews_rephrased.json,emergent cell polarity from molecular interactions synthesizing spatial transcriptomics proteomics and imaging across epithelia,"Emergent Cell Polarity from Molecular Interactions: Synthesizing Spatial Transcriptomics, Proteomics, and Imaging Across Epithelia",emergent cell polarity from molecular interactions synthesizing spatial transcriptomics proteomics and imaging across epithelia,gpt-5.2,claude-opus-4-5,4.2,"This proposal offers a compelling synthesis of existing data to investigate cell polarity as an emergent phenomenon across epithelial tissues. It demonstrates strong scientific merit by linking molecular interactions to mesoscale organization and exhibits exemplary commitment to open science principles. While the approach is innovative and the proposed deliverables valuable, further detail on timelines, specific data limitations, and technical harmonization challenges would strengthen the proposal.",5.0,4.0,4.0,3.0,5.0,4.0,5.0,gpt-5.2::emergent cell polarity from molecular interactions synthesizing spatial transcriptomics proteomics and imaging across epithelia
ncems-ai-0027,ncems_criteria,ai,ncems_reviews_rephrased.json,a synthesis of mitochondrial network emergence linking morphodynamics proteostasis and bioenergetics across cell types,"A Synthesis of Mitochondrial Network Emergence: Linking Morphodynamics, Proteostasis, and Bioenergetics Across Cell Types",a synthesis of mitochondrial network emergence linking morphodynamics proteostasis and bioenergetics across cell types,gpt-5.2,gpt-5.2,4.0,"This proposal is a strong candidate for the call, focusing on mesoscale emergent phenomena by defining mitochondrial network states and integrating diverse omics data. The project aims to create a community-scale synthesis and an open atlas, which is likely to be broadly enabling. However, concerns exist regarding the feasibility of integrating heterogeneous datasets and inferring dynamical parameters from snapshot data, suggesting a need for clearer inclusion criteria and contingency planning.",5.0,4.0,4.0,3.0,5.0,4.0,4.0,gpt-5.2::a synthesis of mitochondrial network emergence linking morphodynamics proteostasis and bioenergetics across cell types
ncems-ai-0028,ncems_criteria,ai,ncems_reviews_rephrased.json,a synthesis of mitochondrial network emergence linking morphodynamics proteostasis and bioenergetics across cell types,"A Synthesis of Mitochondrial Network Emergence: Linking Morphodynamics, Proteostasis, and Bioenergetics Across Cell Types",a synthesis of mitochondrial network emergence linking morphodynamics proteostasis and bioenergetics across cell types,gpt-5.2,gemini-3-pro-preview,4.8,"This proposal is highly rated for its direct relevance to emergent phenomena, innovative approach to mitochondrial data synthesis, and rigorous methodology. It effectively leverages existing public datasets and demonstrates a strong commitment to open science principles. While the project is well-structured and feasible, a more detailed timeline would enhance logistical clarity.",5.0,5.0,5.0,4.0,5.0,5.0,5.0,gpt-5.2::a synthesis of mitochondrial network emergence linking morphodynamics proteostasis and bioenergetics across cell types
ncems-ai-0029,ncems_criteria,ai,ncems_reviews_rephrased.json,a synthesis of mitochondrial network emergence linking morphodynamics proteostasis and bioenergetics across cell types,"A Synthesis of Mitochondrial Network Emergence: Linking Morphodynamics, Proteostasis, and Bioenergetics Across Cell Types",a synthesis of mitochondrial network emergence linking morphodynamics proteostasis and bioenergetics across cell types,gpt-5.2,claude-opus-4-5,4.2,"This proposal is strong and aligns well with the mission of synthesizing public data to understand emergent phenomena, particularly focusing on mitochondrial network emergence. It excels in its synthesis approach, data integration, and commitment to open science. However, concerns exist regarding the ambitious scope, timeline specificity, and detailed technical solutions for data harmonization, particularly for imaging and bioenergetic data.",5.0,4.0,4.0,3.0,5.0,4.0,5.0,gpt-5.2::a synthesis of mitochondrial network emergence linking morphodynamics proteostasis and bioenergetics across cell types
ncems-ai-0030,ncems_criteria,ai,ncems_reviews_rephrased.json,emergent signaling specificity integrating singlecell phosphoproteomics kinase networks and imaging to decode pathway crosstalk,"Emergent Signaling Specificity: Integrating Single-Cell Phospho-Proteomics, Kinase Networks, and Imaging to Decode Pathway Crosstalk",emergent signaling specificity integrating singlecell phosphoproteomics kinase networks and imaging to decode pathway crosstalk,gpt-5.2,gpt-5.2,4.0,"This proposal presents a strong and well-aligned approach to investigating emergent signaling specificity by integrating diverse public datasets and knowledge bases. The conceptual framework is compelling, and the planned deliverables are valuable community infrastructure. However, the breadth of the project introduces feasibility risks, particularly concerning cross-modal harmonization and the complexity of neural ODE models.",5.0,4.0,4.0,3.0,5.0,4.0,4.0,gpt-5.2::emergent signaling specificity integrating singlecell phosphoproteomics kinase networks and imaging to decode pathway crosstalk
ncems-ai-0031,ncems_criteria,ai,ncems_reviews_rephrased.json,emergent signaling specificity integrating singlecell phosphoproteomics kinase networks and imaging to decode pathway crosstalk,"Emergent Signaling Specificity: Integrating Single-Cell Phospho-Proteomics, Kinase Networks, and Imaging to Decode Pathway Crosstalk",emergent signaling specificity integrating singlecell phosphoproteomics kinase networks and imaging to decode pathway crosstalk,gpt-5.2,gemini-3-pro-preview,4.8,"This proposal is outstanding and strongly aligns with the call's focus on data synthesis and emergent mesoscale phenomena. The innovative integration of diverse data modalities using advanced dynamical models holds significant potential for advancing the understanding of signaling specificity. While the scope of data harmonization is ambitious and presents a potential timeline risk, the project's structure and commitment to open science are exemplary.",5.0,5.0,5.0,4.0,5.0,5.0,5.0,gpt-5.2::emergent signaling specificity integrating singlecell phosphoproteomics kinase networks and imaging to decode pathway crosstalk
ncems-ai-0032,ncems_criteria,ai,ncems_reviews_rephrased.json,emergent signaling specificity integrating singlecell phosphoproteomics kinase networks and imaging to decode pathway crosstalk,"Emergent Signaling Specificity: Integrating Single-Cell Phospho-Proteomics, Kinase Networks, and Imaging to Decode Pathway Crosstalk",emergent signaling specificity integrating singlecell phosphoproteomics kinase networks and imaging to decode pathway crosstalk,gpt-5.2,claude-opus-4-5,4.2,"This proposal presents a strong, synthesis-focused project addressing emergent signaling specificity using a novel integration of multiple data modalities and graph-constrained dynamical modeling. The project aligns well with the mission, demonstrates exemplary open science practices, and clearly identifies data sources and limitations. The primary concern is the ambitious scope and feasibility, particularly regarding data harmonization and the breadth of modeling approaches within the proposed timeframe.",5.0,4.0,4.0,3.0,5.0,4.0,5.0,gpt-5.2::emergent signaling specificity integrating singlecell phosphoproteomics kinase networks and imaging to decode pathway crosstalk
