article_idx,pmid,title,bertopic_topic,display_label
29,24376223,Molecular mechanisms of paralogous compensation and the robustness of cellular networks.,0,0_cells_cell_abstract_title
30,27382620,Corticosteroid Treatment Impact on Spinal Deformity in Duchenne Muscular Dystrophy.,2,2_cells_cancer_cell_expression
31,25353349,A generator-produced gallium-68 radiopharmaceutical for PET imaging of myocardial perfusion.,2,2_cells_cancer_cell_expression
32,25386411,Interrelationship between type three secretion system and metabolism in pathogenic bacteria.,10,10_resistance_isolates_strains_study
33,25343582,Species-specific viromes in the ancestral holobiont Hydra.,8,8_abstract_title_biology_molecular
34,25340817,Cross-border sexual transmission of the newly emerging HIV-1 clade CRF51_01B.,9,9_sarscov2_virus_viral_covid19
35,25340781,Up-regulated microRNA499a by hepatitis B virus induced hepatocellular carcinogenesis via targeting MAPK6.,4,4_abstract_title_cells_cell
36,25374531,Fetal functional imaging portrays heterogeneous development of emerging human brain networks.,1,1_abstract_title_cells_cell
37,25364264,Targeting the epithelial to mesenchymal transition in glioblastoma: the emerging role of MET signaling.,1,1_abstract_title_cells_cell
38,25473422,"Modules, networks and systems medicine for understanding disease and aiding diagnosis.",5,5_abstract_title_cells_cancer
39,25329998,Correlation of apical fluid-regulating channel proteins with lung function in human COPD lungs.,2,2_cells_cancer_cell_expression
40,25329342,Basophil activation test using recombinant allergens: highly specific diagnostic method complementing routine tests in wasp venom allergy.,4,4_abstract_title_cells_cell
41,24240682,MicroRNAs and cancer stem cells: the sword and the shield.,1,1_abstract_title_cells_cell
42,25314118,"Strain classification of Mycobacterium tuberculosis isolates in Brazil based on genotypes obtained by spoligotyping, mycobacterial interspersed repetitive unit typing and the presence of large sequence and single nucleotide polymorphism.",10,10_resistance_isolates_strains_study
43,25299187,Intragenic recombination has a critical role on the evolution of Legionella pneumophila virulence-related effector sidJ.,5,5_abstract_title_cells_cancer
44,25339948,"Early Carcinogenesis Involves the Establishment of Immune Privilege via Intrinsic and Extrinsic Regulation of Indoleamine 2,3-dioxygenase-1: Translational Implications in Cancer Immunotherapy.",0,0_cells_cell_abstract_title
45,25339904,Protein redox chemistry: post-translational cysteine modifications that regulate signal transduction and drug pharmacology.,7,7_title_abstract_cell_cells
46,25324833,The chimerical and multifaceted marine acoel Symsagittifera roscoffensis: from photosymbiosis to brain regeneration.,8,8_abstract_title_biology_molecular
47,25275514,Contribution of the nos-pdt operon to virulence phenotypes in methicillin-sensitive Staphylococcus aureus.,10,10_resistance_isolates_strains_study
48,28324382,"Over-expression, purification and isotopic labeling of a tag-less human glucose-dependent insulinotropic polypeptide (hGIP).",4,4_abstract_title_cells_cell
49,25324861,MicroRNAs and the regulation of intestinal homeostasis.,5,5_abstract_title_cells_cancer
50,24429583,Detection of bacterial DNA in lymph nodes of Crohn's disease patients using high throughput sequencing.,11,11_patients_study_95_risk
51,24352616,PTEN antagonises Tcl1/hnRNPK-mediated G6PD pre-mRNA splicing which contributes to hepatocarcinogenesis.,2,2_cells_cancer_cell_expression
52,23831316,Brain tumor stem cells: Molecular characteristics and their impact on therapy.,5,5_abstract_title_cells_cancer
53,25289188,GroopM: an automated tool for the recovery of population genomes from related metagenomes.,8,8_abstract_title_biology_molecular
54,25264628,Long non-coding RNAs differentially expressed between normal versus primary breast tumor tissues disclose converse changes to breast cancer-related protein-coding genes.,2,2_cells_cancer_cell_expression
55,25309529,"L,L-diaminopimelate aminotransferase (DapL): a putative target for the development of narrow-spectrum antibacterial compounds.",10,10_resistance_isolates_strains_study
56,25295042,Extracellular signals and receptor-like kinases regulating ROP GTPases in plants.,5,5_abstract_title_cells_cancer
57,25352737,Electronic medical records and genomics (eMERGE) network exploration in cataract: several new potential susceptibility loci.,11,11_patients_study_95_risk
58,25285067,Biology of adeno-associated viral vectors in the central nervous system.,9,9_sarscov2_virus_viral_covid19
59,25233094,An integrated ontology resource to explore and study host-virus relationships.,7,7_title_abstract_cell_cells
60,25279370,The Australian Public is Still Vulnerable to Emerging Virulent Strains of West Nile Virus.,9,9_sarscov2_virus_viral_covid19
61,25228926,O-GlcNAc modification is associated with insulin sensitivity in the whole blood of healthy young adult males.,3,3_abstract_title_cells_cell
62,25198773,Caspase-1-independent interleukin-1β is required for clearance of Bordetella pertussis infections and whole-cell vaccine-mediated immunity.,1,1_abstract_title_cells_cell
63,25198066,Chromatin accessibility mapping identifies mediators of basal transcription and retinoid-induced repression of OTX2 in medulloblastoma.,3,3_abstract_title_cells_cell
64,25188507,"Platform comparison for evaluation of ALK protein immunohistochemical expression, genomic copy number and hotspot mutation status in neuroblastomas.",0,0_cells_cell_abstract_title
65,25181487,Spared piriform cortical single-unit odor processing and odor discrimination in the Tg2576 mouse model of Alzheimer's disease.,2,2_cells_cancer_cell_expression
66,25183937,What if Fleming had not discovered penicillin?,4,4_abstract_title_cells_cell
67,25035580,"Emergence of a new focus of visceral leishmaniasis due to Leishmania infantum in Golestan Province, north-eastern of Iran.",10,10_resistance_isolates_strains_study
68,24491506,Non-coding RNAs in cardiovascular ageing.,3,3_abstract_title_cells_cell
69,24485945,Cultured primary human fetal retinal pigment epithelium (hfRPE) as a model for evaluating RPE metabolism.,2,2_cells_cancer_cell_expression
70,23915130,Drosophila oogenesis as a bio-marker responding to EMF sources.,0,0_cells_cell_abstract_title
71,25197261,Sphingosine kinase 1 mediates head & neck squamous cell carcinoma invasion through sphingosine 1-phosphate receptor 1.,4,4_abstract_title_cells_cell
72,25210469,Skin resurfacing procedures: new and emerging options.,2,2_cells_cancer_cell_expression
73,25166274,Inducible resistance to maize streak virus.,3,3_abstract_title_cells_cell
74,25162594,The MEC1 and MEC2 lines represent two CLL subclones in different stages of progression towards prolymphocytic leukemia.,2,2_cells_cancer_cell_expression
75,25207271,Magnetic biocatalysts and their uses to obtain biodiesel and biosurfactants.,8,8_abstract_title_biology_molecular
76,27774471,Modulation of hydrogen sulfide by vascular hypoxia.,6,6_proteins_cell_protein_abstract
77,25148385,Inhibition of c-Abl kinase activity renders cancer cells highly sensitive to mitoxantrone.,4,4_abstract_title_cells_cell
78,25147952,Phosphorylation site dynamics of early T-cell receptor signaling.,3,3_abstract_title_cells_cell
79,25141135,GBA2-encoded β-glucosidase activity is involved in the inflammatory response to Pseudomonas aeruginosa.,3,3_abstract_title_cells_cell
80,25221772,"Effects of Lactobacillus reuteri-derived biosurfactant on the gene expression profile of essential adhesion genes (gtfB, gtfC and ftf) of Streptococcus mutans.",7,7_title_abstract_cell_cells
81,25143867,MicroRNA-570-3p regulates HuR and cytokine expression in airway epithelial cells.,2,2_cells_cancer_cell_expression
82,25127379,"Impacts of groundwater discharge at Myora Springs (North Stradbroke Island, Australia) on the phenolic metabolism of eelgrass, Zostera muelleri, and grazing by the juvenile rabbitfish, Siganus fuscescens.",3,3_abstract_title_cells_cell
83,25122499,Thermostability of in vitro evolved Bacillus subtilis lipase A: a network and dynamics perspective.,6,6_proteins_cell_protein_abstract
84,25122166,In vitro and in vivo studies for assessing the immune response and protection-inducing ability conferred by Fasciola hepatica-derived synthetic peptides containing B- and T-cell epitopes.,10,10_resistance_isolates_strains_study
85,25610756,"Claudin-7, -16, and -19 during mouse kidney development.",0,0_cells_cell_abstract_title
86,25177340,Phenome-wide association studies demonstrating pleiotropy of genetic variants within FTO with and without adjustment for body mass index.,11,11_patients_study_95_risk
87,25140166,"ER stress, autophagy, and RNA viruses.",5,5_abstract_title_cells_cancer
88,25084170,Rapid phenotypic and genomic change in response to therapeutic pressure in prostate cancer inferred by high content analysis of single circulating tumor cells.,4,4_abstract_title_cells_cell
89,24344232,Systematic review of randomised clinical trials on topical ciclosporin A for the treatment of dry eye disease.,4,4_abstract_title_cells_cell
90,25077614,Cell cycle-dependent phosphorylation of Theileria annulata schizont surface proteins.,10,10_resistance_isolates_strains_study
91,25621146,From dinosaurs to birds: a tail of evolution.,1,1_abstract_title_cells_cell
92,25161878,mTOR inhibition increases cell viability via autophagy induction during endoplasmic reticulum stress - An experimental and modeling study.,1,1_abstract_title_cells_cell
93,25072253,Identification of polyketide inhibitors targeting 3-dehydroquinate dehydratase in the shikimate pathway of Enterococcus faecalis.,4,4_abstract_title_cells_cell
94,25825669,Risk adjustment and observation time: comparison between cross-sectional and 2-year panel data from the Medical Expenditure Panel Survey (MEPS).,11,11_patients_study_95_risk
95,25101059,Killing two birds with one stone: trans-kingdom suppression of PAMP/MAMP-induced immunity by T3E from enteropathogenic bacteria.,8,8_abstract_title_biology_molecular
96,25036370,Production of the Escherichia coli common pilus by uropathogenic E. coli is associated with adherence to HeLa and HTB-4 cells and invasion of mouse bladder urothelium.,4,4_abstract_title_cells_cell
97,25033084,An attenuated herpes simplex virus type 1 (HSV1) encoding the HIV-1 Tat protein protects mice from a deadly mucosal HSV1 challenge.,9,9_sarscov2_virus_viral_covid19
98,25076945,The dichotomy of pathogens and allergens in vaccination approaches.,1,1_abstract_title_cells_cell
99,25077072,Small RNA functions in carbon metabolism and virulence of enteric pathogens.,3,3_abstract_title_cells_cell
100,25076948,"Organ-specific and memory treg cells: specificity, development, function, and maintenance.",4,4_abstract_title_cells_cell
101,25019613,Substitution at aspartic acid 1128 in the SARS coronavirus spike glycoprotein mediates escape from a S2 domain-targeting neutralizing monoclonal antibody.,9,9_sarscov2_virus_viral_covid19
102,25009976,A 6K-deletion variant of salmonid alphavirus is non-viable but can be rescued through RNA recombination.,9,9_sarscov2_virus_viral_covid19
103,25071809,A model for an early role of auxin in Arabidopsis gynoecium morphogenesis.,8,8_abstract_title_biology_molecular
104,24999634,The effect of STDP temporal kernel structure on the learning dynamics of single excitatory and inhibitory synapses.,6,6_proteins_cell_protein_abstract
105,25071823,Roles of lncRNAs in pancreatic beta cell identity and diabetes susceptibility.,5,5_abstract_title_cells_cancer
106,24500794,Cell type related differences in staining with pentameric thiophene derivatives.,8,8_abstract_title_biology_molecular
107,24496644,Regulatory mechanisms of RNA function: emerging roles of DNA repair enzymes.,3,3_abstract_title_cells_cell
108,24491422,"Comorbid Aβ toxicity and stroke: hippocampal atrophy, pathology, and cognitive deficit.",2,2_cells_cancer_cell_expression
109,24477476,"Novel roles for the MiTF/TFE family of transcription factors in organelle biogenesis, nutrient sensing, and energy homeostasis.",3,3_abstract_title_cells_cell
110,24429402,Relaxin requires the angiotensin II type 2 receptor to abrogate renal interstitial fibrosis.,1,1_abstract_title_cells_cell
111,24372973,The microtubule associated protein tau H1 haplotype and risk of essential tremor.,1,1_abstract_title_cells_cell
112,24158730,Hsa-miR-132 regulates apoptosis in non-small cell lung cancer independent of acetylcholinesterase.,3,3_abstract_title_cells_cell
113,25071606,The role of cannabinoid transmission in emotional memory formation: implications for addiction and schizophrenia.,7,7_title_abstract_cell_cells
114,24959830,Age-Related Hearing Impairment (ARHI) associated with GJB2 single mutation IVS1+1G>A in the Yakut population isolate in Eastern Siberia.,11,11_patients_study_95_risk
115,25002963,Evolution of the Pax-Six-Eya-Dach network: the calcisponge case study.,6,6_proteins_cell_protein_abstract
116,24256207,Protein S-nitrosylation in Plasmodium falciparum.,3,3_abstract_title_cells_cell
117,24945530,Rapid molecular identification of human taeniid cestodes by pyrosequencing approach.,10,10_resistance_isolates_strains_study
118,24945395,Secretory vesicles deliver Cdc42p to sites of polarized growth in S. cerevisiae.,6,6_proteins_cell_protein_abstract
119,24940871,P2X(7) receptor in the kidneys of diabetic rats submitted to aerobic training or to N-acetylcysteine supplementation [corrected].,4,4_abstract_title_cells_cell
120,24987407,eMERGEing progress in genomics-the first seven years.,11,11_patients_study_95_risk
121,24936658,"The human orphan nuclear receptor tailless (TLX, NR2E1) is druggable.",4,4_abstract_title_cells_cell
122,24982654,Polyploidy in haloarchaea: advantages for growth and survival.,8,8_abstract_title_biology_molecular
123,25083344,FUS-regulated RNA metabolism and DNA damage repair: Implications for amyotrophic lateral sclerosis and frontotemporal dementia pathogenesis.,2,2_cells_cancer_cell_expression
124,24919067,"Pharmacological investigations of N-substituent variation in morphine and oxymorphone: opioid receptor binding, signaling and antinociceptive activity.",2,2_cells_cancer_cell_expression
125,24915191,Speckle-tracking echocardiography elucidates the effect of pacing site on left ventricular synchronization in the normal and infarcted rat myocardium.,2,2_cells_cancer_cell_expression
126,24926435,Analysis of extracellular RNA by digital PCR.,2,2_cells_cancer_cell_expression
127,28510181,Integrins in development and cancer.,0,0_cells_cell_abstract_title
128,24495071,The genesis of craniofacial biology as a health science discipline.,8,8_abstract_title_biology_molecular
129,24457024,Perilous journey: a tour of the ubiquitin-proteasome system.,6,6_proteins_cell_protein_abstract
130,24440552,Delayed BDNF alterations in the prefrontal cortex of rats exposed to prenatal stress: preventive effect of lurasidone treatment during adolescence.,0,0_cells_cell_abstract_title
131,24412806,How Parkinson's disease meets nucleolar stress.,1,1_abstract_title_cells_cell
132,24389329,Targeting the nucleolus for cancer intervention.,0,0_cells_cell_abstract_title
133,24327094,"The molecular biology of nairoviruses, an emerging group of tick-borne arboviruses.",7,7_title_abstract_cell_cells
134,24269586,Reactive nucleolar and Cajal body responses to proteasome inhibition in sensory ganglion neurons.,6,6_proteins_cell_protein_abstract
135,23958065,"Phylogenetic analysis and victim contact tracing of rabies virus from humans and dogs in Bali, Indonesia.",5,5_abstract_title_cells_cancer
136,24904301,Historical first descriptions of Cajal-Retzius cells: from pioneer studies to current knowledge.,8,8_abstract_title_biology_molecular
137,25136402,Lung cell-specific modulation of LPS-induced TLR4 receptor and adaptor localization.,4,4_abstract_title_cells_cell
138,24991263,"Synthesis of zearalenone-16-β,D-glucoside and zearalenone-16-sulfate: A tale of protecting resorcylic acid lactones for regiocontrolled conjugation.",4,4_abstract_title_cells_cell
139,24823948,ANP32B is a nuclear target of henipavirus M proteins.,5,5_abstract_title_cells_cancer
140,24819950,Addressing RNA integrity to determine the impact of mitochondrial DNA mutations on brain mitochondrial function with age.,0,0_cells_cell_abstract_title
141,24819600,Long-term increased carnitine palmitoyltransferase 1A expression in ventromedial hypotalamus causes hyperphagia and alters the hypothalamic lipidomic profile.,0,0_cells_cell_abstract_title
142,24847305,Baby schema in human and animal faces induces cuteness perception and gaze allocation in children.,11,11_patients_study_95_risk
143,24834023,OX1 and OX2 orexin/hypocretin receptor pharmacogenetics.,1,1_abstract_title_cells_cell
144,24800852,Targeted knockdown of IQGAP1 inhibits the progression of esophageal squamous cell carcinoma in vitro and in vivo.,0,0_cells_cell_abstract_title
145,24787386,Conserved noncoding elements follow power-law-like distributions in several genomes as a result of genome dynamics.,5,5_abstract_title_cells_cancer
146,24789143,Expression patterns and subcellular localization of carbonic anhydrases are developmentally regulated during tooth formation.,6,6_proteins_cell_protein_abstract
147,24746211,The use of Yes-associated protein expression in the diagnosis of persistent neonatal cholestatic liver disease.,4,4_abstract_title_cells_cell
148,24593875,miRNA cargo within exosome-like vesicle transfer influences metastatic bone colonization.,2,2_cells_cancer_cell_expression
149,24486428,Opiorphin increases blood pressure of conscious rats through renin-angiotensin system (RAS).,7,7_title_abstract_cell_cells
150,24474431,Genomic variations between colistin-susceptible and -resistant Pseudomonas aeruginosa clinical isolates and their effects on colistin resistance.,10,10_resistance_isolates_strains_study
151,24463761,IS2-mediated overexpression of kfoC in E. coli K4 increases chondroitin-like capsular polysaccharide production.,5,5_abstract_title_cells_cancer
152,24423384,Prevalence and control of H7 avian influenza viruses in birds and humans.,9,9_sarscov2_virus_viral_covid19
153,24418527,The response to inositol: regulation of glycerolipid metabolism and stress response signaling in yeast.,6,6_proteins_cell_protein_abstract
154,24413672,The EBI RDF platform: linked open data for the life sciences.,8,8_abstract_title_biology_molecular
155,24355909,"The role of sphingomyelin and sphingomyelin synthases in cell death, proliferation and migration-from cell and animal models to human disorders.",1,1_abstract_title_cells_cell
156,24354618,Regulated proteolysis in bacterial development.,8,8_abstract_title_biology_molecular
157,24321819,"Setting appropriate boundaries: fate, patterning and competence at the neural plate border.",3,3_abstract_title_cells_cell
158,24262030,Intersex condition and molecular markers of endocrine disruption in relation with burdens of emerging pollutants in thicklip grey mullets (Chelon labrosus) from Basque estuaries (South-East Bay of Biscay).,3,3_abstract_title_cells_cell
159,24220222,A short review on the implications of base excision repair pathway for neurons: relevance to neurodegenerative diseases.,1,1_abstract_title_cells_cell
160,23996967,Graphene for improved femtosecond laser based pluripotent stem cell transfection.,2,2_cells_cancer_cell_expression
161,23916961,Farnesoid X receptor agonists attenuate colonic epithelial secretory function and prevent experimental diarrhoea in vivo.,2,2_cells_cancer_cell_expression
162,23307632,Dynamics of centrosome translocation and microtubule organization in neocortical neurons during distinct modes of polarization.,6,6_proteins_cell_protein_abstract
163,24808893,Clostridium difficile phages: still difficult?,10,10_resistance_isolates_strains_study
164,23728348,The ribosomal protein S26 regulates p53 activity in response to DNA damage.,4,4_abstract_title_cells_cell
165,24760038,IgG1 and IgG4 antibody responses to the Anopheles gambiae salivary protein gSG6 in the sympatric ethnic groups Mossi and Fulani in a malaria hyperhendemic area of Burkina Faso.,0,0_cells_cell_abstract_title
166,24759936,Contractile and mechanical properties of epithelia with perturbed actomyosin dynamics.,3,3_abstract_title_cells_cell
167,24795650,Recent advances in the involvement of long non-coding RNAs in neural stem cell biology and brain pathophysiology.,7,7_title_abstract_cell_cells
168,24756028,"Structural, kinetic and proteomic characterization of acetyl phosphate-dependent bacterial protein acetylation.",6,6_proteins_cell_protein_abstract
169,24473271,Ultrafast dynamics of single molecules.,0,0_cells_cell_abstract_title
170,24748274,Human immunodeficiency virus type 1 (HIV-1) subtype B epidemic in Panama is mainly driven by dissemination of country-specific clades.,4,4_abstract_title_cells_cell
171,24747944,"Correlated miR-mRNA expression signatures of mouse hematopoietic stem and progenitor cell subsets predict ""Stemness"" and ""Myeloid"" interaction networks.",1,1_abstract_title_cells_cell
172,23624918,The molecular and cell biology of pediatric low-grade gliomas.,5,5_abstract_title_cells_cancer
173,24740104,Foreign body reaction associated with PET and PET/chitosan electrospun nanofibrous abdominal meshes.,2,2_cells_cancer_cell_expression
174,24736495,Myo/Nog cells: targets for preventing the accumulation of skeletal muscle-like cells in the human lens.,2,2_cells_cancer_cell_expression
175,24725457,Glycoproteomic and glycomic databases.,8,8_abstract_title_biology_molecular
176,24722186,Emergence of motor circuit activity.,0,0_cells_cell_abstract_title
177,24782779,Molecular and cell-based therapies for muscle degenerations: a road under construction.,2,2_cells_cancer_cell_expression
178,24705352,"Establishing and applying a schistosomiasis early warning index (SEWI) in the lower Yangtze River Region of Jiangsu Province, China.",9,9_sarscov2_virus_viral_covid19
179,24125730,Proteomic protease specificity profiling of clostridial collagenases reveals their intrinsic nature as dedicated degraders of collagen.,1,1_abstract_title_cells_cell
180,23954725,False start: cotranslational protein ubiquitination and cytosolic protein quality control.,6,6_proteins_cell_protein_abstract
181,24699281,Genetic signatures for enhanced olfaction in the African mole-rats.,8,8_abstract_title_biology_molecular
182,25031659,Chromosome imbalance as a driver of sex disparity in disease.,3,3_abstract_title_cells_cell
183,24680430,Tuning up the right signal: chemical and genetic approaches to study GPCR functions.,6,6_proteins_cell_protein_abstract
184,24530770,Identification of a cytoplasmic linker protein as a potential target for neovascularization.,2,2_cells_cancer_cell_expression
185,24507996,Emerging roles of hematopoietic cells in the pathobiology of diabetic complications.,0,0_cells_cell_abstract_title
186,24496016,"Targeting the unfolded protein response, XBP1, and the NLRP3 inflammasome in fibrosis and cancer.",0,0_cells_cell_abstract_title
187,24487341,Emerging principles of population coding: in search for the neural code.,6,6_proteins_cell_protein_abstract
188,24480426,Global warming and environmental contaminants in aquatic organisms: the need of the etho-toxicology approach.,0,0_cells_cell_abstract_title
189,24464219,Fra-2/AP-1 controls adipocyte differentiation and survival by regulating PPARγ and hypoxia.,4,4_abstract_title_cells_cell
190,24457825,Fertile approaches to dissecting mechanisms of premating and postmating prezygotic reproductive isolation.,3,3_abstract_title_cells_cell
191,24452601,FOXO1-dependent DNA damage repair is regulated by JNK in lung cancer cells.,4,4_abstract_title_cells_cell
192,24441036,Emergence and evolutionary analysis of the human DDR network: implications in comparative genomics and downstream analyses.,1,1_abstract_title_cells_cell
193,24421116,Arboretum and Puerto Almendras viruses: two novel rhabdoviruses isolated from mosquitoes in Peru.,3,3_abstract_title_cells_cell
194,24395280,Novel effects of Rosa damascena extract on memory and neurogenesis in a rat model of Alzheimer's disease.,2,2_cells_cancer_cell_expression
195,24394699,The PB2 E627K mutation contributes to the high polymerase activity and enhanced replication of H7N9 influenza virus.,9,9_sarscov2_virus_viral_covid19
196,24389248,Regulation of histone modifying enzymes by the ubiquitin-proteasome system.,6,6_proteins_cell_protein_abstract
197,24388148,Cellular and molecular longevity pathways: the old and the new.,7,7_title_abstract_cell_cells
198,24365749,"Delineating the relationships among the formation of reactive oxygen species, cell membrane instability and innate autoimmunity in intestinal reperfusion injury.",1,1_abstract_title_cells_cell
199,24290649,Current and emerging technologies for rapid detection and characterization of Salmonella in poultry and poultry products.,1,1_abstract_title_cells_cell
200,24220932,Antitumor effects of recombinant antivascular protein ABRaA-VEGF121 combined with IL-12 gene therapy.,5,5_abstract_title_cells_cancer
201,24176789,Targeted therapies for squamous cell carcinoma of the head and neck: current knowledge and future directions.,4,4_abstract_title_cells_cell
202,24147838,Structure meets function: actin filaments and myosin motors in the axon.,6,6_proteins_cell_protein_abstract
203,24126844,Fibronectin peptides that bind PDGF-BB enhance survival of cells and tissue under stress.,2,2_cells_cancer_cell_expression
204,24115229,Fluorescence spectroscopy of soluble E. coli SPase I Δ2-75 reveals conformational changes in response to ligand binding.,6,6_proteins_cell_protein_abstract
205,24064036,Chromatin immunoprecipitation and deep sequencing in Xenopus tropicalis and Xenopus laevis.,8,8_abstract_title_biology_molecular
206,24016605,MicroRNAs as regulators of mitochondrial function: role in cancer suppression.,7,7_title_abstract_cell_cells
207,23934094,Of mice and men: molecular genetics of congenital heart disease.,2,2_cells_cancer_cell_expression
208,23843081,The neuroimmune response to West Nile virus.,9,9_sarscov2_virus_viral_covid19
209,23781896,Emerging landscape of non-coding RNAs in oral health and disease.,6,6_proteins_cell_protein_abstract
210,23659319,Viral/plasmid captures in Crenarchaea.,10,10_resistance_isolates_strains_study
211,24753999,C9ORF72 hexanucleotide repeats in behavioral and motor neuron disease: clinical heterogeneity and pathological diversity.,2,2_cells_cancer_cell_expression
212,24262659,Cancer stem-like cell characteristics induced by EB virus-encoded LMP1 contribute to radioresistance in nasopharyngeal carcinoma by suppressing the p53-mediated apoptosis pathway.,2,2_cells_cancer_cell_expression
213,24675636,Discovering aptamers by cell-SELEX against human soluble growth factors ectopically expressed on yeast cell surface.,8,8_abstract_title_biology_molecular
214,24412804,Glucocorticoid receptor-mediated regulation of Rfrp (GnIH) and Gpr147 (GnIH-R) synthesis in immortalized hypothalamic neurons.,0,0_cells_cell_abstract_title
215,24493754,Ion channels and anti-cancer immunity.,3,3_abstract_title_cells_cell
216,24637808,De novo structure prediction of globular proteins aided by sequence variation-derived contacts.,8,8_abstract_title_biology_molecular
217,24486586,Preclinical activity of the oral proteasome inhibitor MLN9708 in Myeloma bone disease.,2,2_cells_cancer_cell_expression
218,24439864,Cilostazol enhances mobilization and proliferation of endothelial progenitor cells and collateral formation by modifying vasculo-angiogenic biomarkers in peripheral arterial disease.,2,2_cells_cancer_cell_expression
219,24140832,Enhanced nucleic acid amplification with blood in situ by wire-guided droplet manipulation (WDM).,1,1_abstract_title_cells_cell
220,24339188,Integrated micro/nanoengineered functional biomaterials for cell mechanics and mechanobiology: a materials perspective.,0,0_cells_cell_abstract_title
221,24614173,Redefining the human oral mycobiome with improved practices in amplicon-based taxonomy: discovery of Malassezia as a prominent commensal.,11,11_patients_study_95_risk
222,24443566,Cryo-electron microscopic structure of SecA protein bound to the 70S ribosome.,6,6_proteins_cell_protein_abstract
223,24429286,Lysophosphatidic acid receptor type 1 (LPA1) plays a functional role in osteoclast differentiation and bone resorption activity.,2,2_cells_cancer_cell_expression
224,24425868,"Misfolded polyglutamine, polyalanine, and superoxide dismutase 1 aggregate via distinct pathways in the cell.",6,6_proteins_cell_protein_abstract
225,23524582,Palladin promotes invasion of pancreatic cancer cells by enhancing invadopodia formation in cancer-associated fibroblasts.,2,2_cells_cancer_cell_expression
226,24634675,The nucleic acid revolution continues - will forensic biology become forensic molecular biology?,7,7_title_abstract_cell_cells
227,24634674,Quality assessment and control of tissue specific RNA-seq libraries of Drosophila transgenic RNAi models.,4,4_abstract_title_cells_cell
